subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A12J4IRF5Z06BT",3,0,"VCS_260","c","VCS_350","d","VCS_80","a","VCS_170","b",1068,19224,"VCS_350","d"
"A12J4IRF5Z06BT",3,1,"VCS_250","c","VCS_70","a","VCS_160","b","VCS_340","d",1095,21333,"VCS_340","d"
"A12J4IRF5Z06BT",3,2,"VCS_160","b","VCS_340","d","VCS_70","a","VCS_250","c",1297,23687,"VCS_250","c"
"A12J4IRF5Z06BT",3,3,"VCS_340","d","VCS_160","b","VCS_70","a","VCS_250","c",1248,25938,"VCS_70","a"
"A12J4IRF5Z06BT",3,4,"VCS_170","b","VCS_250","c","VCS_90","a","VCS_350","d",1725,28683,"VCS_90","a"
"A12J4IRF5Z06BT",3,5,"VCS_90","a","VCS_360","d","VCS_180","b","VCS_270","c",2198,31892,"VCS_180","b"
"A12J4IRF5Z06BT",3,6,"VCS_150","b","VCS_240","c","VCS_60","a","VCS_330","d",1823,34730,"VCS_60","a"
"A12J4IRF5Z06BT",3,7,"VCS_250","c","VCS_70","a","VCS_330","d","VCS_170","b",1764,37507,"VCS_330","d"
"A12J4IRF5Z06BT",3,8,"VCS_70","a","VCS_170","b","VCS_330","d","VCS_250","c",2182,40696,"VCS_170","b"
"A12J4IRF5Z06BT",3,9,"VCS_350","d","VCS_260","c","VCS_170","b","VCS_80","a",1311,43026,"VCS_80","a"
"A12J4IRF5Z06BT",3,10,"VCS_240","c","VCS_150","b","VCS_330","d","VCS_60","a",1460,45495,"VCS_150","b"
"A12J4IRF5Z06BT",3,11,"VCS_250","c","VCS_70","a","VCS_150","b","VCS_350","d",2456,48963,"VCS_150","b"
"A12J4IRF5Z06BT",3,12,"VCS_350","d","VCS_250","c","VCS_90","a","VCS_170","b",1779,51759,"VCS_250","c"
"A12J4IRF5Z06BT",3,13,"VCS_360","d","VCS_270","c","VCS_90","a","VCS_180","b",1705,54487,"VCS_270","c"
"A12J4IRF5Z06BT",3,14,"VCS_160","b","VCS_260","c","VCS_340","d","VCS_60","a",2492,57992,"VCS_260","c"
"A12J4IRF5Z06BT",3,15,"VCS_80","a","VCS_260","c","VCS_180","b","VCS_340","d",2945,61951,"VCS_180","b"
"A12J4IRF5Z06BT",3,16,"VCS_80","a","VCS_160","b","VCS_360","d","VCS_260","c",1673,64641,"VCS_160","b"
"A12J4IRF5Z06BT",3,17,"VCS_80","a","VCS_170","b","VCS_260","c","VCS_350","d",1552,67211,"VCS_170","b"
"A12J4IRF5Z06BT",3,18,"VCS_340","d","VCS_240","c","VCS_80","a","VCS_160","b",2275,70503,"VCS_240","c"
"A12J4IRF5Z06BT",3,19,"VCS_170","b","VCS_270","c","VCS_70","a","VCS_350","d",2350,73871,"VCS_70","a"
"A12J4IRF5Z06BT",3,20,"VCS_260","c","VCS_340","d","VCS_180","b","VCS_80","a",2342,77239,"VCS_340","d"
"A12J4IRF5Z06BT",3,21,"VCS_70","a","VCS_250","c","VCS_350","d","VCS_150","b",2458,80708,"VCS_150","b"
"A12J4IRF5Z06BT",3,22,"VCS_350","d","VCS_170","b","VCS_270","c","VCS_70","a",1341,83068,"VCS_70","a"
"A12J4IRF5Z06BT",3,23,"VCS_170","b","VCS_260","c","VCS_350","d","VCS_80","a",1138,85226,"VCS_80","a"
"A12J4IRF5Z06BT",3,24,"VCS_260","c","VCS_80","a","VCS_160","b","VCS_360","d",1217,87464,"VCS_360","d"
"A12J4IRF5Z06BT",3,25,"VCS_180","b","VCS_360","d","VCS_90","a","VCS_270","c",894,89372,"VCS_90","a"
"A12J4IRF5Z06BT",3,26,"VCS_70","a","VCS_160","b","VCS_250","c","VCS_340","d",1039,91428,"VCS_160","b"
"A12J4IRF5Z06BT",3,27,"VCS_330","d","VCS_150","b","VCS_60","a","VCS_240","c",1115,93563,"VCS_240","c"
"A12J4IRF5Z06BT",3,28,"VCS_270","c","VCS_360","d","VCS_90","a","VCS_180","b",1071,95649,"VCS_360","d"
"A12J4IRF5Z06BT",3,29,"VCS_340","d","VCS_60","a","VCS_260","c","VCS_160","b",708,97374,"VCS_60","a"
"A12J4IRF5Z06BT",3,30,"VCS_60","a","VCS_150","b","VCS_240","c","VCS_330","d",1141,99526,"VCS_150","b"
"A12J4IRF5Z06BT",3,31,"VCS_160","b","VCS_240","c","VCS_340","d","VCS_80","a",1087,101619,"VCS_80","a"
