subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A150MDVC0C92OT",1,0,"VCS_340","d","VCS_240","c","VCS_160","b","VCS_80","a",3660,12128,"VCS_240","c"
"A150MDVC0C92OT",1,1,"VCS_360","d","VCS_90","a","VCS_180","b","VCS_270","c",2798,15944,"VCS_270","c"
"A150MDVC0C92OT",1,2,"VCS_330","d","VCS_240","c","VCS_60","a","VCS_150","b",1943,18908,"VCS_60","a"
"A150MDVC0C92OT",1,3,"VCS_70","a","VCS_350","d","VCS_250","c","VCS_150","b",1869,21792,"VCS_150","b"
"A150MDVC0C92OT",1,4,"VCS_340","d","VCS_160","b","VCS_260","c","VCS_60","a",2227,25037,"VCS_260","c"
"A150MDVC0C92OT",1,5,"VCS_240","c","VCS_330","d","VCS_150","b","VCS_60","a",1230,27296,"VCS_330","d"
"A150MDVC0C92OT",1,6,"VCS_180","b","VCS_270","c","VCS_90","a","VCS_360","d",2890,31230,"VCS_90","a"
"A150MDVC0C92OT",1,7,"VCS_260","c","VCS_350","d","VCS_170","b","VCS_80","a",2914,35168,"VCS_350","d"
"A150MDVC0C92OT",1,8,"VCS_170","b","VCS_90","a","VCS_350","d","VCS_250","c",3550,39732,"VCS_90","a"
"A150MDVC0C92OT",1,9,"VCS_60","a","VCS_330","d","VCS_240","c","VCS_150","b",2126,42882,"VCS_150","b"
"A150MDVC0C92OT",1,10,"VCS_160","b","VCS_80","a","VCS_340","d","VCS_240","c",1609,45518,"VCS_80","a"
"A150MDVC0C92OT",1,11,"VCS_270","c","VCS_360","d","VCS_90","a","VCS_180","b",875,47425,"VCS_360","d"
"A150MDVC0C92OT",1,12,"VCS_160","b","VCS_250","c","VCS_70","a","VCS_340","d",1984,50425,"VCS_70","a"
"A150MDVC0C92OT",1,13,"VCS_250","c","VCS_170","b","VCS_330","d","VCS_70","a",774,52241,"VCS_330","d"
"A150MDVC0C92OT",1,14,"VCS_250","c","VCS_70","a","VCS_350","d","VCS_150","b",1024,54293,"VCS_350","d"
"A150MDVC0C92OT",1,15,"VCS_170","b","VCS_260","c","VCS_350","d","VCS_80","a",1758,57075,"VCS_80","a"
"A150MDVC0C92OT",1,16,"VCS_350","d","VCS_170","b","VCS_90","a","VCS_250","c",2867,60962,"VCS_250","c"
"A150MDVC0C92OT",1,17,"VCS_80","a","VCS_260","c","VCS_350","d","VCS_170","b",1905,63885,"VCS_170","b"
"A150MDVC0C92OT",1,18,"VCS_350","d","VCS_170","b","VCS_270","c","VCS_70","a",1106,66010,"VCS_270","c"
"A150MDVC0C92OT",1,19,"VCS_70","a","VCS_160","b","VCS_340","d","VCS_250","c",1250,68286,"VCS_160","b"
"A150MDVC0C92OT",1,20,"VCS_350","d","VCS_260","c","VCS_80","a","VCS_170","b",1152,70451,"VCS_260","c"
"A150MDVC0C92OT",1,21,"VCS_150","b","VCS_330","d","VCS_240","c","VCS_60","a",5075,76567,"VCS_60","a"
"A150MDVC0C92OT",1,22,"VCS_260","c","VCS_80","a","VCS_180","b","VCS_340","d",1074,78671,"VCS_340","d"
"A150MDVC0C92OT",1,23,"VCS_80","a","VCS_160","b","VCS_360","d","VCS_260","c",1255,80954,"VCS_160","b"
"A150MDVC0C92OT",1,24,"VCS_80","a","VCS_340","d","VCS_180","b","VCS_260","c",2195,84176,"VCS_180","b"
"A150MDVC0C92OT",1,25,"VCS_260","c","VCS_360","d","VCS_80","a","VCS_160","b",988,86204,"VCS_360","d"
"A150MDVC0C92OT",1,26,"VCS_90","a","VCS_270","c","VCS_180","b","VCS_360","d",3218,90443,"VCS_180","b"
"A150MDVC0C92OT",1,27,"VCS_250","c","VCS_340","d","VCS_160","b","VCS_70","a",2854,94320,"VCS_340","d"
"A150MDVC0C92OT",1,28,"VCS_70","a","VCS_250","c","VCS_170","b","VCS_330","d",3259,98622,"VCS_170","b"
"A150MDVC0C92OT",1,29,"VCS_160","b","VCS_260","c","VCS_340","d","VCS_60","a",1693,101337,"VCS_60","a"
"A150MDVC0C92OT",1,30,"VCS_170","b","VCS_270","c","VCS_70","a","VCS_350","d",1066,103423,"VCS_70","a"
"A150MDVC0C92OT",1,31,"VCS_340","d","VCS_160","b","VCS_70","a","VCS_250","c",1585,106033,"VCS_250","c"
