subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A17TKHT8FEVH0R",3,0,"VCS_330","d","VCS_150","b","VCS_240","c","VCS_60","a",3299,21249,"VCS_240","c"
"A17TKHT8FEVH0R",3,1,"VCS_260","c","VCS_360","d","VCS_160","b","VCS_80","a",1110,23363,"VCS_360","d"
"A17TKHT8FEVH0R",3,2,"VCS_170","b","VCS_350","d","VCS_270","c","VCS_70","a",2747,27114,"VCS_70","a"
"A17TKHT8FEVH0R",3,3,"VCS_160","b","VCS_250","c","VCS_340","d","VCS_70","a",1258,29378,"VCS_70","a"
"A17TKHT8FEVH0R",3,4,"VCS_250","c","VCS_350","d","VCS_70","a","VCS_150","b",2034,32415,"VCS_350","d"
"A17TKHT8FEVH0R",3,5,"VCS_250","c","VCS_170","b","VCS_70","a","VCS_330","d",1027,34448,"VCS_330","d"
"A17TKHT8FEVH0R",3,6,"VCS_70","a","VCS_330","d","VCS_250","c","VCS_170","b",1518,36970,"VCS_170","b"
"A17TKHT8FEVH0R",3,7,"VCS_260","c","VCS_350","d","VCS_80","a","VCS_170","b",1557,39531,"VCS_80","a"
"A17TKHT8FEVH0R",3,8,"VCS_260","c","VCS_180","b","VCS_80","a","VCS_340","d",1149,41684,"VCS_340","d"
"A17TKHT8FEVH0R",3,9,"VCS_70","a","VCS_250","c","VCS_340","d","VCS_160","b",1581,44271,"VCS_160","b"
"A17TKHT8FEVH0R",3,10,"VCS_340","d","VCS_160","b","VCS_240","c","VCS_80","a",1821,47097,"VCS_80","a"
"A17TKHT8FEVH0R",3,11,"VCS_250","c","VCS_160","b","VCS_340","d","VCS_70","a",1312,49414,"VCS_340","d"
"A17TKHT8FEVH0R",3,12,"VCS_270","c","VCS_360","d","VCS_90","a","VCS_180","b",1038,51457,"VCS_360","d"
"A17TKHT8FEVH0R",3,13,"VCS_60","a","VCS_330","d","VCS_150","b","VCS_240","c",1043,53504,"VCS_150","b"
"A17TKHT8FEVH0R",3,14,"VCS_350","d","VCS_250","c","VCS_170","b","VCS_90","a",2843,57350,"VCS_250","c"
"A17TKHT8FEVH0R",3,15,"VCS_80","a","VCS_160","b","VCS_260","c","VCS_360","d",1125,59478,"VCS_160","b"
"A17TKHT8FEVH0R",3,16,"VCS_350","d","VCS_260","c","VCS_80","a","VCS_170","b",1600,62081,"VCS_260","c"
"A17TKHT8FEVH0R",3,17,"VCS_350","d","VCS_270","c","VCS_70","a","VCS_170","b",930,64014,"VCS_270","c"
"A17TKHT8FEVH0R",3,18,"VCS_150","b","VCS_240","c","VCS_60","a","VCS_330","d",1647,66665,"VCS_60","a"
"A17TKHT8FEVH0R",3,19,"VCS_170","b","VCS_80","a","VCS_260","c","VCS_350","d",1348,69017,"VCS_80","a"
"A17TKHT8FEVH0R",3,20,"VCS_160","b","VCS_340","d","VCS_80","a","VCS_240","c",968,70988,"VCS_80","a"
"A17TKHT8FEVH0R",3,21,"VCS_160","b","VCS_340","d","VCS_260","c","VCS_60","a",1962,73956,"VCS_60","a"
"A17TKHT8FEVH0R",3,22,"VCS_340","d","VCS_260","c","VCS_60","a","VCS_160","b",1146,76108,"VCS_260","c"
"A17TKHT8FEVH0R",3,23,"VCS_360","d","VCS_270","c","VCS_90","a","VCS_180","b",1005,78116,"VCS_270","c"
"A17TKHT8FEVH0R",3,24,"VCS_180","b","VCS_90","a","VCS_360","d","VCS_270","c",1512,80633,"VCS_90","a"
"A17TKHT8FEVH0R",3,25,"VCS_340","d","VCS_160","b","VCS_70","a","VCS_250","c",1541,83180,"VCS_250","c"
"A17TKHT8FEVH0R",3,26,"VCS_240","c","VCS_150","b","VCS_60","a","VCS_330","d",1247,85432,"VCS_330","d"
"A17TKHT8FEVH0R",3,27,"VCS_90","a","VCS_270","c","VCS_180","b","VCS_360","d",998,87434,"VCS_180","b"
"A17TKHT8FEVH0R",3,28,"VCS_170","b","VCS_90","a","VCS_250","c","VCS_350","d",1191,89630,"VCS_90","a"
"A17TKHT8FEVH0R",3,29,"VCS_70","a","VCS_150","b","VCS_350","d","VCS_250","c",792,91425,"VCS_150","b"
"A17TKHT8FEVH0R",3,30,"VCS_80","a","VCS_340","d","VCS_180","b","VCS_260","c",4688,97117,"VCS_340","d"
"A17TKHT8FEVH0R",3,31,"VCS_80","a","VCS_260","c","VCS_350","d","VCS_170","b",1132,99253,"VCS_350","d"
