subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A1AMGHYG5PT0L2",3,0,"VCS_180","b","VCS_90","a","VCS_360","d","VCS_270","c",3083,8781,"VCS_270","c"
"A1AMGHYG5PT0L2",3,1,"VCS_250","c","VCS_70","a","VCS_340","d","VCS_160","b",1614,11421,"VCS_160","b"
"A1AMGHYG5PT0L2",3,2,"VCS_70","a","VCS_250","c","VCS_330","d","VCS_170","b",900,13332,"VCS_170","b"
"A1AMGHYG5PT0L2",3,3,"VCS_160","b","VCS_240","c","VCS_340","d","VCS_80","a",2293,16645,"VCS_240","c"
"A1AMGHYG5PT0L2",3,4,"VCS_330","d","VCS_60","a","VCS_150","b","VCS_240","c",988,18645,"VCS_60","a"
"A1AMGHYG5PT0L2",3,5,"VCS_250","c","VCS_70","a","VCS_350","d","VCS_150","b",2014,21684,"VCS_150","b"
"A1AMGHYG5PT0L2",3,6,"VCS_360","d","VCS_180","b","VCS_270","c","VCS_90","a",1056,23756,"VCS_270","c"
"A1AMGHYG5PT0L2",3,7,"VCS_80","a","VCS_170","b","VCS_350","d","VCS_260","c",649,25436,"VCS_260","c"
"A1AMGHYG5PT0L2",3,8,"VCS_170","b","VCS_70","a","VCS_350","d","VCS_270","c",1221,27661,"VCS_70","a"
"A1AMGHYG5PT0L2",3,9,"VCS_170","b","VCS_260","c","VCS_350","d","VCS_80","a",630,29316,"VCS_80","a"
"A1AMGHYG5PT0L2",3,10,"VCS_90","a","VCS_180","b","VCS_270","c","VCS_360","d",888,31221,"VCS_180","b"
"A1AMGHYG5PT0L2",3,11,"VCS_340","d","VCS_60","a","VCS_260","c","VCS_160","b",733,32973,"VCS_260","c"
"A1AMGHYG5PT0L2",3,12,"VCS_80","a","VCS_160","b","VCS_360","d","VCS_260","c",806,34796,"VCS_260","c"
"A1AMGHYG5PT0L2",3,13,"VCS_350","d","VCS_260","c","VCS_80","a","VCS_170","b",886,36708,"VCS_260","c"
"A1AMGHYG5PT0L2",3,14,"VCS_70","a","VCS_340","d","VCS_250","c","VCS_160","b",746,38468,"VCS_160","b"
"A1AMGHYG5PT0L2",3,15,"VCS_340","d","VCS_80","a","VCS_160","b","VCS_240","c",1312,40796,"VCS_240","c"
"A1AMGHYG5PT0L2",3,16,"VCS_60","a","VCS_240","c","VCS_330","d","VCS_150","b",1047,42860,"VCS_150","b"
"A1AMGHYG5PT0L2",3,17,"VCS_70","a","VCS_350","d","VCS_250","c","VCS_150","b",639,44516,"VCS_150","b"
"A1AMGHYG5PT0L2",3,18,"VCS_350","d","VCS_170","b","VCS_70","a","VCS_270","c",829,46356,"VCS_270","c"
"A1AMGHYG5PT0L2",3,19,"VCS_260","c","VCS_160","b","VCS_360","d","VCS_80","a",766,48140,"VCS_360","d"
"A1AMGHYG5PT0L2",3,20,"VCS_160","b","VCS_70","a","VCS_340","d","VCS_250","c",1643,50804,"VCS_250","c"
"A1AMGHYG5PT0L2",3,21,"VCS_260","c","VCS_80","a","VCS_350","d","VCS_170","b",501,52325,"VCS_350","d"
"A1AMGHYG5PT0L2",3,22,"VCS_260","c","VCS_340","d","VCS_180","b","VCS_80","a",833,54164,"VCS_340","d"
"A1AMGHYG5PT0L2",3,23,"VCS_80","a","VCS_340","d","VCS_260","c","VCS_180","b",590,55780,"VCS_260","c"
"A1AMGHYG5PT0L2",3,24,"VCS_340","d","VCS_160","b","VCS_70","a","VCS_250","c",827,57620,"VCS_250","c"
"A1AMGHYG5PT0L2",3,25,"VCS_270","c","VCS_360","d","VCS_90","a","VCS_180","b",621,59268,"VCS_180","b"
"A1AMGHYG5PT0L2",3,26,"VCS_240","c","VCS_150","b","VCS_60","a","VCS_330","d",891,61173,"VCS_150","b"
"A1AMGHYG5PT0L2",3,27,"VCS_170","b","VCS_250","c","VCS_90","a","VCS_350","d",924,63117,"VCS_90","a"
"A1AMGHYG5PT0L2",3,28,"VCS_150","b","VCS_240","c","VCS_330","d","VCS_60","a",1046,65189,"VCS_60","a"
"A1AMGHYG5PT0L2",3,29,"VCS_160","b","VCS_340","d","VCS_260","c","VCS_60","a",982,67189,"VCS_60","a"
"A1AMGHYG5PT0L2",3,30,"VCS_350","d","VCS_250","c","VCS_170","b","VCS_90","a",779,68981,"VCS_250","c"
"A1AMGHYG5PT0L2",3,31,"VCS_250","c","VCS_70","a","VCS_170","b","VCS_330","d",872,70877,"VCS_330","d"
