subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A1F1X57CUVKKLP",1,0,"VCS_240","c","VCS_60","a","VCS_330","d","VCS_150","b",1918,20520,"VCS_330","d"
"A1F1X57CUVKKLP",1,1,"VCS_350","d","VCS_250","c","VCS_90","a","VCS_170","b",2093,23633,"VCS_250","c"
"A1F1X57CUVKKLP",1,2,"VCS_160","b","VCS_340","d","VCS_260","c","VCS_60","a",3172,27825,"VCS_260","c"
"A1F1X57CUVKKLP",1,3,"VCS_170","b","VCS_260","c","VCS_350","d","VCS_80","a",4535,33384,"VCS_260","c"
"A1F1X57CUVKKLP",1,4,"VCS_260","c","VCS_180","b","VCS_340","d","VCS_80","a",3210,37614,"VCS_340","d"
"A1F1X57CUVKKLP",1,5,"VCS_160","b","VCS_340","d","VCS_80","a","VCS_240","c",1259,39892,"VCS_80","a"
"A1F1X57CUVKKLP",1,6,"VCS_250","c","VCS_70","a","VCS_350","d","VCS_150","b",3783,44700,"VCS_150","b"
"A1F1X57CUVKKLP",1,7,"VCS_260","c","VCS_170","b","VCS_80","a","VCS_350","d",3471,49195,"VCS_170","b"
"A1F1X57CUVKKLP",1,8,"VCS_180","b","VCS_90","a","VCS_270","c","VCS_360","d",1908,52124,"VCS_90","a"
"A1F1X57CUVKKLP",1,9,"VCS_80","a","VCS_350","d","VCS_170","b","VCS_260","c",6656,59801,"VCS_170","b"
"A1F1X57CUVKKLP",1,10,"VCS_340","d","VCS_260","c","VCS_160","b","VCS_60","a",2543,63363,"VCS_260","c"
"A1F1X57CUVKKLP",1,11,"VCS_70","a","VCS_340","d","VCS_160","b","VCS_250","c",2580,66967,"VCS_160","b"
"A1F1X57CUVKKLP",1,12,"VCS_250","c","VCS_70","a","VCS_170","b","VCS_330","d",1761,69743,"VCS_330","d"
"A1F1X57CUVKKLP",1,13,"VCS_360","d","VCS_180","b","VCS_90","a","VCS_270","c",1583,72349,"VCS_270","c"
"A1F1X57CUVKKLP",1,14,"VCS_170","b","VCS_350","d","VCS_250","c","VCS_90","a",2138,75510,"VCS_90","a"
"A1F1X57CUVKKLP",1,15,"VCS_60","a","VCS_240","c","VCS_150","b","VCS_330","d",1193,77725,"VCS_150","b"
"A1F1X57CUVKKLP",1,16,"VCS_340","d","VCS_70","a","VCS_250","c","VCS_160","b",1427,80171,"VCS_250","c"
"A1F1X57CUVKKLP",1,17,"VCS_80","a","VCS_340","d","VCS_260","c","VCS_180","b",1692,82890,"VCS_180","b"
"A1F1X57CUVKKLP",1,18,"VCS_70","a","VCS_350","d","VCS_150","b","VCS_250","c",1097,84999,"VCS_150","b"
"A1F1X57CUVKKLP",1,19,"VCS_70","a","VCS_170","b","VCS_330","d","VCS_250","c",1192,87214,"VCS_170","b"
"A1F1X57CUVKKLP",1,20,"VCS_350","d","VCS_170","b","VCS_270","c","VCS_70","a",1090,89322,"VCS_270","c"
"A1F1X57CUVKKLP",1,21,"VCS_80","a","VCS_260","c","VCS_360","d","VCS_160","b",1811,92151,"VCS_160","b"
"A1F1X57CUVKKLP",1,22,"VCS_330","d","VCS_150","b","VCS_60","a","VCS_240","c",1420,94596,"VCS_240","c"
"A1F1X57CUVKKLP",1,23,"VCS_150","b","VCS_330","d","VCS_60","a","VCS_240","c",1303,96922,"VCS_60","a"
"A1F1X57CUVKKLP",1,24,"VCS_350","d","VCS_170","b","VCS_260","c","VCS_80","a",1222,99166,"VCS_260","c"
"A1F1X57CUVKKLP",1,25,"VCS_340","d","VCS_80","a","VCS_240","c","VCS_160","b",963,101151,"VCS_240","c"
"A1F1X57CUVKKLP",1,26,"VCS_260","c","VCS_80","a","VCS_360","d","VCS_160","b",777,102945,"VCS_360","d"
"A1F1X57CUVKKLP",1,27,"VCS_250","c","VCS_340","d","VCS_70","a","VCS_160","b",1398,105363,"VCS_340","d"
"A1F1X57CUVKKLP",1,28,"VCS_160","b","VCS_70","a","VCS_250","c","VCS_340","d",1131,107510,"VCS_70","a"
"A1F1X57CUVKKLP",1,29,"VCS_90","a","VCS_180","b","VCS_360","d","VCS_270","c",809,109343,"VCS_180","b"
"A1F1X57CUVKKLP",1,30,"VCS_170","b","VCS_70","a","VCS_270","c","VCS_350","d",1162,111521,"VCS_70","a"
"A1F1X57CUVKKLP",1,31,"VCS_270","c","VCS_360","d","VCS_180","b","VCS_90","a",1090,113632,"VCS_360","d"
