subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A1FCCYX1R42IK0",3,0,"VCS_330","d","VCS_150","b","VCS_60","a","VCS_240","c",1276,7297,"VCS_60","a"
"A1FCCYX1R42IK0",3,1,"VCS_180","b","VCS_360","d","VCS_90","a","VCS_270","c",696,8995,"VCS_360","d"
"A1FCCYX1R42IK0",3,2,"VCS_70","a","VCS_160","b","VCS_340","d","VCS_250","c",582,10607,"VCS_340","d"
"A1FCCYX1R42IK0",3,3,"VCS_80","a","VCS_360","d","VCS_160","b","VCS_260","c",738,12360,"VCS_260","c"
"A1FCCYX1R42IK0",3,4,"VCS_80","a","VCS_260","c","VCS_170","b","VCS_350","d",362,13727,"VCS_350","d"
"A1FCCYX1R42IK0",3,5,"VCS_350","d","VCS_170","b","VCS_270","c","VCS_70","a",952,15767,"VCS_270","c"
"A1FCCYX1R42IK0",3,6,"VCS_80","a","VCS_340","d","VCS_180","b","VCS_260","c",959,17743,"VCS_260","c"
"A1FCCYX1R42IK0",3,7,"VCS_360","d","VCS_90","a","VCS_180","b","VCS_270","c",985,19744,"VCS_90","a"
"A1FCCYX1R42IK0",3,8,"VCS_350","d","VCS_170","b","VCS_80","a","VCS_260","c",1381,22141,"VCS_80","a"
"A1FCCYX1R42IK0",3,9,"VCS_350","d","VCS_170","b","VCS_90","a","VCS_250","c",921,24090,"VCS_250","c"
"A1FCCYX1R42IK0",3,10,"VCS_340","d","VCS_260","c","VCS_60","a","VCS_160","b",886,25979,"VCS_60","a"
"A1FCCYX1R42IK0",3,11,"VCS_270","c","VCS_180","b","VCS_90","a","VCS_360","d",704,27710,"VCS_90","a"
"A1FCCYX1R42IK0",3,12,"VCS_90","a","VCS_270","c","VCS_360","d","VCS_180","b",351,29080,"VCS_180","b"
"A1FCCYX1R42IK0",3,13,"VCS_340","d","VCS_160","b","VCS_240","c","VCS_80","a",196,30511,"VCS_240","c"
"A1FCCYX1R42IK0",3,14,"VCS_170","b","VCS_260","c","VCS_80","a","VCS_350","d",1267,32997,"VCS_260","c"
"A1FCCYX1R42IK0",3,15,"VCS_160","b","VCS_60","a","VCS_340","d","VCS_260","c",1477,35484,"VCS_340","d"
"A1FCCYX1R42IK0",3,16,"VCS_170","b","VCS_250","c","VCS_350","d","VCS_90","a",4504,41079,"VCS_90","a"
"A1FCCYX1R42IK0",3,17,"VCS_170","b","VCS_350","d","VCS_270","c","VCS_70","a",1044,43159,"VCS_270","c"
"A1FCCYX1R42IK0",3,18,"VCS_260","c","VCS_80","a","VCS_340","d","VCS_180","b",873,45088,"VCS_180","b"
"A1FCCYX1R42IK0",3,19,"VCS_160","b","VCS_70","a","VCS_250","c","VCS_340","d",960,47102,"VCS_250","c"
"A1FCCYX1R42IK0",3,20,"VCS_160","b","VCS_240","c","VCS_340","d","VCS_80","a",1001,49111,"VCS_80","a"
"A1FCCYX1R42IK0",3,21,"VCS_70","a","VCS_250","c","VCS_350","d","VCS_150","b",94,50367,"VCS_150","b"
"A1FCCYX1R42IK0",3,22,"VCS_340","d","VCS_250","c","VCS_70","a","VCS_160","b",1001,52397,"VCS_70","a"
"A1FCCYX1R42IK0",3,23,"VCS_250","c","VCS_70","a","VCS_150","b","VCS_350","d",3653,57071,"VCS_150","b"
"A1FCCYX1R42IK0",3,24,"VCS_150","b","VCS_240","c","VCS_330","d","VCS_60","a",850,58943,"VCS_60","a"
"A1FCCYX1R42IK0",3,25,"VCS_70","a","VCS_250","c","VCS_170","b","VCS_330","d",672,60762,"VCS_170","b"
"A1FCCYX1R42IK0",3,26,"VCS_250","c","VCS_70","a","VCS_160","b","VCS_340","d",348,62231,"VCS_160","b"
"A1FCCYX1R42IK0",3,27,"VCS_240","c","VCS_60","a","VCS_150","b","VCS_330","d",862,64220,"VCS_150","b"
"A1FCCYX1R42IK0",3,28,"VCS_260","c","VCS_80","a","VCS_170","b","VCS_350","d",1411,66648,"VCS_170","b"
"A1FCCYX1R42IK0",3,29,"VCS_250","c","VCS_330","d","VCS_170","b","VCS_70","a",1064,68943,"VCS_170","b"
"A1FCCYX1R42IK0",3,30,"VCS_260","c","VCS_80","a","VCS_160","b","VCS_360","d",691,70855,"VCS_160","b"
"A1FCCYX1R42IK0",3,31,"VCS_60","a","VCS_150","b","VCS_240","c","VCS_330","d",1176,73096,"VCS_330","d"
