subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A1HJCRM8YZME8",3,0,"VCS_160","b","VCS_240","c","VCS_340","d","VCS_80","a",1750,354390,"VCS_240","c"
"A1HJCRM8YZME8",3,1,"VCS_240","c","VCS_150","b","VCS_60","a","VCS_330","d",896,356304,"VCS_330","d"
"A1HJCRM8YZME8",3,2,"VCS_260","c","VCS_350","d","VCS_80","a","VCS_170","b",1318,358632,"VCS_170","b"
"A1HJCRM8YZME8",3,3,"VCS_260","c","VCS_340","d","VCS_80","a","VCS_180","b",894,360546,"VCS_80","a"
"A1HJCRM8YZME8",3,4,"VCS_170","b","VCS_70","a","VCS_350","d","VCS_270","c",772,362321,"VCS_270","c"
"A1HJCRM8YZME8",3,5,"VCS_260","c","VCS_160","b","VCS_80","a","VCS_360","d",1130,364465,"VCS_160","b"
"A1HJCRM8YZME8",3,6,"VCS_80","a","VCS_360","d","VCS_160","b","VCS_260","c",761,366231,"VCS_160","b"
"A1HJCRM8YZME8",3,7,"VCS_170","b","VCS_80","a","VCS_350","d","VCS_260","c",944,368326,"VCS_260","c"
"A1HJCRM8YZME8",3,8,"VCS_340","d","VCS_260","c","VCS_160","b","VCS_60","a",669,369998,"VCS_160","b"
"A1HJCRM8YZME8",3,9,"VCS_170","b","VCS_350","d","VCS_90","a","VCS_250","c",528,371530,"VCS_250","c"
"A1HJCRM8YZME8",3,10,"VCS_150","b","VCS_60","a","VCS_330","d","VCS_240","c",443,372983,"VCS_240","c"
"A1HJCRM8YZME8",3,11,"VCS_60","a","VCS_330","d","VCS_150","b","VCS_240","c",805,374818,"VCS_150","b"
"A1HJCRM8YZME8",3,12,"VCS_360","d","VCS_90","a","VCS_270","c","VCS_180","b",295,376127,"VCS_180","b"
"A1HJCRM8YZME8",3,13,"VCS_250","c","VCS_70","a","VCS_340","d","VCS_160","b",540,377694,"VCS_340","d"
"A1HJCRM8YZME8",3,14,"VCS_160","b","VCS_250","c","VCS_340","d","VCS_70","a",339,379051,"VCS_70","a"
"A1HJCRM8YZME8",3,15,"VCS_330","d","VCS_150","b","VCS_240","c","VCS_60","a",964,381031,"VCS_240","c"
"A1HJCRM8YZME8",3,16,"VCS_70","a","VCS_250","c","VCS_170","b","VCS_330","d",533,382582,"VCS_330","d"
"A1HJCRM8YZME8",3,17,"VCS_80","a","VCS_260","c","VCS_170","b","VCS_350","d",212,384094,"VCS_350","d"
"A1HJCRM8YZME8",3,18,"VCS_160","b","VCS_60","a","VCS_340","d","VCS_260","c",794,385903,"VCS_260","c"
"A1HJCRM8YZME8",3,19,"VCS_250","c","VCS_70","a","VCS_170","b","VCS_330","d",3123,390038,"VCS_170","b"
"A1HJCRM8YZME8",3,20,"VCS_70","a","VCS_160","b","VCS_250","c","VCS_340","d",920,391962,"VCS_160","b"
"A1HJCRM8YZME8",3,21,"VCS_70","a","VCS_250","c","VCS_350","d","VCS_150","b",986,393974,"VCS_150","b"
"A1HJCRM8YZME8",3,22,"VCS_80","a","VCS_260","c","VCS_180","b","VCS_340","d",465,395449,"VCS_340","d"
"A1HJCRM8YZME8",3,23,"VCS_180","b","VCS_270","c","VCS_90","a","VCS_360","d",1326,397783,"VCS_270","c"
"A1HJCRM8YZME8",3,24,"VCS_350","d","VCS_170","b","VCS_70","a","VCS_270","c",920,399710,"VCS_270","c"
"A1HJCRM8YZME8",3,25,"VCS_350","d","VCS_170","b","VCS_80","a","VCS_260","c",896,401616,"VCS_80","a"
"A1HJCRM8YZME8",3,26,"VCS_350","d","VCS_90","a","VCS_170","b","VCS_250","c",1115,403752,"VCS_90","a"
"A1HJCRM8YZME8",3,27,"VCS_250","c","VCS_70","a","VCS_150","b","VCS_350","d",894,405662,"VCS_150","b"
"A1HJCRM8YZME8",3,28,"VCS_270","c","VCS_360","d","VCS_90","a","VCS_180","b",985,407671,"VCS_90","a"
"A1HJCRM8YZME8",3,29,"VCS_340","d","VCS_80","a","VCS_160","b","VCS_240","c",445,409133,"VCS_240","c"
"A1HJCRM8YZME8",3,30,"VCS_90","a","VCS_360","d","VCS_270","c","VCS_180","b",546,410705,"VCS_270","c"
"A1HJCRM8YZME8",3,31,"VCS_340","d","VCS_250","c","VCS_160","b","VCS_70","a",708,412417,"VCS_160","b"
