subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A1PHDT66U6IK4Q",3,0,"VCS_260","c","VCS_80","a","VCS_340","d","VCS_180","b",5180,85649,"VCS_340","d"
"A1PHDT66U6IK4Q",3,1,"VCS_270","c","VCS_360","d","VCS_180","b","VCS_90","a",3305,89968,"VCS_360","d"
"A1PHDT66U6IK4Q",3,2,"VCS_160","b","VCS_60","a","VCS_260","c","VCS_340","d",5371,96362,"VCS_260","c"
"A1PHDT66U6IK4Q",3,3,"VCS_250","c","VCS_170","b","VCS_330","d","VCS_70","a",3375,100744,"VCS_330","d"
"A1PHDT66U6IK4Q",3,4,"VCS_260","c","VCS_80","a","VCS_360","d","VCS_160","b",2127,103886,"VCS_360","d"
"A1PHDT66U6IK4Q",3,5,"VCS_70","a","VCS_250","c","VCS_330","d","VCS_170","b",5427,110318,"VCS_170","b"
"A1PHDT66U6IK4Q",3,6,"VCS_150","b","VCS_60","a","VCS_240","c","VCS_330","d",3014,114354,"VCS_60","a"
"A1PHDT66U6IK4Q",3,7,"VCS_80","a","VCS_170","b","VCS_350","d","VCS_260","c",4045,119412,"VCS_170","b"
"A1PHDT66U6IK4Q",3,8,"VCS_250","c","VCS_70","a","VCS_160","b","VCS_340","d",5915,126338,"VCS_70","a"
"A1PHDT66U6IK4Q",3,9,"VCS_180","b","VCS_90","a","VCS_270","c","VCS_360","d",6818,134168,"VCS_270","c"
"A1PHDT66U6IK4Q",3,10,"VCS_250","c","VCS_70","a","VCS_350","d","VCS_150","b",8462,143646,"VCS_70","a"
"A1PHDT66U6IK4Q",3,11,"VCS_350","d","VCS_270","c","VCS_170","b","VCS_70","a",3557,148216,"VCS_270","c"
"A1PHDT66U6IK4Q",3,12,"VCS_260","c","VCS_350","d","VCS_170","b","VCS_80","a",9335,158576,"VCS_170","b"
"A1PHDT66U6IK4Q",3,13,"VCS_80","a","VCS_260","c","VCS_360","d","VCS_160","b",5158,164748,"VCS_160","b"
"A1PHDT66U6IK4Q",3,14,"VCS_340","d","VCS_160","b","VCS_250","c","VCS_70","a",6753,172516,"VCS_70","a"
"A1PHDT66U6IK4Q",3,15,"VCS_330","d","VCS_240","c","VCS_60","a","VCS_150","b",9453,182984,"VCS_60","a"
"A1PHDT66U6IK4Q",3,16,"VCS_350","d","VCS_250","c","VCS_90","a","VCS_170","b",10038,194040,"VCS_250","c"
"A1PHDT66U6IK4Q",3,17,"VCS_170","b","VCS_260","c","VCS_80","a","VCS_350","d",6708,201773,"VCS_80","a"
"A1PHDT66U6IK4Q",3,18,"VCS_70","a","VCS_350","d","VCS_250","c","VCS_150","b",3212,206008,"VCS_150","b"
"A1PHDT66U6IK4Q",3,19,"VCS_360","d","VCS_270","c","VCS_180","b","VCS_90","a",6863,213878,"VCS_270","c"
"A1PHDT66U6IK4Q",3,20,"VCS_240","c","VCS_330","d","VCS_60","a","VCS_150","b",12116,227008,"VCS_150","b"
"A1PHDT66U6IK4Q",3,21,"VCS_160","b","VCS_250","c","VCS_70","a","VCS_340","d",5577,233588,"VCS_70","a"
"A1PHDT66U6IK4Q",3,22,"VCS_60","a","VCS_150","b","VCS_330","d","VCS_240","c",4236,238841,"VCS_150","b"
"A1PHDT66U6IK4Q",3,23,"VCS_340","d","VCS_260","c","VCS_160","b","VCS_60","a",6862,246727,"VCS_60","a"
"A1PHDT66U6IK4Q",3,24,"VCS_340","d","VCS_80","a","VCS_240","c","VCS_160","b",14915,262654,"VCS_80","a"
"A1PHDT66U6IK4Q",3,25,"VCS_170","b","VCS_270","c","VCS_70","a","VCS_350","d",4818,268488,"VCS_70","a"
"A1PHDT66U6IK4Q",3,26,"VCS_350","d","VCS_80","a","VCS_260","c","VCS_170","b",1800,271308,"VCS_80","a"
"A1PHDT66U6IK4Q",3,27,"VCS_160","b","VCS_80","a","VCS_340","d","VCS_240","c",4430,276758,"VCS_80","a"
"A1PHDT66U6IK4Q",3,28,"VCS_70","a","VCS_340","d","VCS_250","c","VCS_160","b",2769,280552,"VCS_160","b"
"A1PHDT66U6IK4Q",3,29,"VCS_90","a","VCS_270","c","VCS_360","d","VCS_180","b",8781,290338,"VCS_360","d"
"A1PHDT66U6IK4Q",3,30,"VCS_170","b","VCS_250","c","VCS_90","a","VCS_350","d",6698,298064,"VCS_90","a"
"A1PHDT66U6IK4Q",3,31,"VCS_80","a","VCS_180","b","VCS_340","d","VCS_260","c",4173,303240,"VCS_340","d"
