subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A1SN7EOZUW5VP3",1,0,"VCS_150","b","VCS_60","a","VCS_330","d","VCS_240","c",4306,89090,"VCS_60","a"
"A1SN7EOZUW5VP3",1,1,"VCS_170","b","VCS_350","d","VCS_80","a","VCS_260","c",5758,95865,"VCS_260","c"
"A1SN7EOZUW5VP3",1,2,"VCS_80","a","VCS_340","d","VCS_180","b","VCS_260","c",4096,100970,"VCS_340","d"
"A1SN7EOZUW5VP3",1,3,"VCS_160","b","VCS_340","d","VCS_60","a","VCS_260","c",2648,104632,"VCS_260","c"
"A1SN7EOZUW5VP3",1,4,"VCS_170","b","VCS_70","a","VCS_350","d","VCS_270","c",1771,107409,"VCS_270","c"
"A1SN7EOZUW5VP3",1,5,"VCS_70","a","VCS_170","b","VCS_330","d","VCS_250","c",1504,109929,"VCS_330","d"
"A1SN7EOZUW5VP3",1,6,"VCS_350","d","VCS_90","a","VCS_250","c","VCS_170","b",3184,114129,"VCS_90","a"
"A1SN7EOZUW5VP3",1,7,"VCS_260","c","VCS_340","d","VCS_80","a","VCS_180","b",6645,121784,"VCS_180","b"
"A1SN7EOZUW5VP3",1,8,"VCS_360","d","VCS_90","a","VCS_180","b","VCS_270","c",3120,125921,"VCS_270","c"
"A1SN7EOZUW5VP3",1,9,"VCS_250","c","VCS_70","a","VCS_160","b","VCS_340","d",2006,128937,"VCS_340","d"
"A1SN7EOZUW5VP3",1,10,"VCS_350","d","VCS_170","b","VCS_80","a","VCS_260","c",7007,136953,"VCS_260","c"
"A1SN7EOZUW5VP3",1,11,"VCS_80","a","VCS_260","c","VCS_160","b","VCS_360","d",5497,143456,"VCS_360","d"
"A1SN7EOZUW5VP3",1,12,"VCS_350","d","VCS_170","b","VCS_70","a","VCS_270","c",3520,147983,"VCS_70","a"
"A1SN7EOZUW5VP3",1,13,"VCS_340","d","VCS_80","a","VCS_240","c","VCS_160","b",1790,150784,"VCS_80","a"
"A1SN7EOZUW5VP3",1,14,"VCS_160","b","VCS_340","d","VCS_70","a","VCS_250","c",1138,152928,"VCS_250","c"
"A1SN7EOZUW5VP3",1,15,"VCS_160","b","VCS_240","c","VCS_340","d","VCS_80","a",1417,155352,"VCS_240","c"
"A1SN7EOZUW5VP3",1,16,"VCS_90","a","VCS_360","d","VCS_270","c","VCS_180","b",1111,157473,"VCS_360","d"
"A1SN7EOZUW5VP3",1,17,"VCS_250","c","VCS_150","b","VCS_70","a","VCS_350","d",1615,160096,"VCS_150","b"
"A1SN7EOZUW5VP3",1,18,"VCS_70","a","VCS_250","c","VCS_150","b","VCS_350","d",1280,162384,"VCS_350","d"
"A1SN7EOZUW5VP3",1,19,"VCS_170","b","VCS_350","d","VCS_250","c","VCS_90","a",968,164359,"VCS_250","c"
"A1SN7EOZUW5VP3",1,20,"VCS_260","c","VCS_170","b","VCS_80","a","VCS_350","d",1401,166767,"VCS_170","b"
"A1SN7EOZUW5VP3",1,21,"VCS_240","c","VCS_330","d","VCS_150","b","VCS_60","a",1894,169672,"VCS_150","b"
"A1SN7EOZUW5VP3",1,22,"VCS_250","c","VCS_330","d","VCS_170","b","VCS_70","a",1073,171816,"VCS_170","b"
"A1SN7EOZUW5VP3",1,23,"VCS_330","d","VCS_60","a","VCS_150","b","VCS_240","c",1556,174392,"VCS_60","a"
"A1SN7EOZUW5VP3",1,24,"VCS_180","b","VCS_360","d","VCS_90","a","VCS_270","c",1114,176513,"VCS_270","c"
"A1SN7EOZUW5VP3",1,25,"VCS_340","d","VCS_160","b","VCS_250","c","VCS_70","a",1022,178544,"VCS_70","a"
"A1SN7EOZUW5VP3",1,26,"VCS_260","c","VCS_160","b","VCS_360","d","VCS_80","a",1497,181047,"VCS_160","b"
"A1SN7EOZUW5VP3",1,27,"VCS_60","a","VCS_330","d","VCS_240","c","VCS_150","b",961,183024,"VCS_330","d"
"A1SN7EOZUW5VP3",1,28,"VCS_340","d","VCS_60","a","VCS_260","c","VCS_160","b",778,184807,"VCS_60","a"
"A1SN7EOZUW5VP3",1,29,"VCS_80","a","VCS_170","b","VCS_350","d","VCS_260","c",1619,187432,"VCS_350","d"
"A1SN7EOZUW5VP3",1,30,"VCS_270","c","VCS_180","b","VCS_360","d","VCS_90","a",2258,190704,"VCS_180","b"
"A1SN7EOZUW5VP3",1,31,"VCS_70","a","VCS_250","c","VCS_160","b","VCS_340","d",1058,192768,"VCS_340","d"
