subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A25PFSORDO3SWQ",3,0,"VCS_330","d","VCS_240","c","VCS_150","b","VCS_60","a",7704,68897,"VCS_240","c"
"A25PFSORDO3SWQ",3,1,"VCS_70","a","VCS_250","c","VCS_340","d","VCS_160","b",4096,74011,"VCS_160","b"
"A25PFSORDO3SWQ",3,2,"VCS_60","a","VCS_330","d","VCS_150","b","VCS_240","c",4331,79362,"VCS_150","b"
"A25PFSORDO3SWQ",3,3,"VCS_360","d","VCS_180","b","VCS_270","c","VCS_90","a",3249,83634,"VCS_270","c"
"A25PFSORDO3SWQ",3,4,"VCS_350","d","VCS_80","a","VCS_260","c","VCS_170","b",8385,93031,"VCS_260","c"
"A25PFSORDO3SWQ",3,5,"VCS_180","b","VCS_270","c","VCS_360","d","VCS_90","a",9015,103056,"VCS_90","a"
"A25PFSORDO3SWQ",3,6,"VCS_260","c","VCS_80","a","VCS_180","b","VCS_340","d",5724,109790,"VCS_340","d"
"A25PFSORDO3SWQ",3,7,"VCS_270","c","VCS_360","d","VCS_180","b","VCS_90","a",4231,115040,"VCS_360","d"
"A25PFSORDO3SWQ",3,8,"VCS_170","b","VCS_90","a","VCS_350","d","VCS_250","c",7547,123600,"VCS_90","a"
"A25PFSORDO3SWQ",3,9,"VCS_260","c","VCS_350","d","VCS_80","a","VCS_170","b",3986,128608,"VCS_350","d"
"A25PFSORDO3SWQ",3,10,"VCS_250","c","VCS_170","b","VCS_330","d","VCS_70","a",4574,134208,"VCS_330","d"
"A25PFSORDO3SWQ",3,11,"VCS_160","b","VCS_250","c","VCS_70","a","VCS_340","d",4220,139483,"VCS_70","a"
"A25PFSORDO3SWQ",3,12,"VCS_80","a","VCS_260","c","VCS_160","b","VCS_360","d",4522,145028,"VCS_160","b"
"A25PFSORDO3SWQ",3,13,"VCS_340","d","VCS_70","a","VCS_250","c","VCS_160","b",2160,148196,"VCS_250","c"
"A25PFSORDO3SWQ",3,14,"VCS_90","a","VCS_360","d","VCS_270","c","VCS_180","b",5002,154215,"VCS_180","b"
"A25PFSORDO3SWQ",3,15,"VCS_250","c","VCS_350","d","VCS_150","b","VCS_70","a",2786,158014,"VCS_350","d"
"A25PFSORDO3SWQ",3,16,"VCS_150","b","VCS_240","c","VCS_330","d","VCS_60","a",2882,161912,"VCS_60","a"
"A25PFSORDO3SWQ",3,17,"VCS_170","b","VCS_350","d","VCS_80","a","VCS_260","c",2753,165676,"VCS_80","a"
"A25PFSORDO3SWQ",3,18,"VCS_350","d","VCS_170","b","VCS_90","a","VCS_250","c",1268,167989,"VCS_250","c"
"A25PFSORDO3SWQ",3,19,"VCS_170","b","VCS_270","c","VCS_350","d","VCS_70","a",2091,171087,"VCS_70","a"
"A25PFSORDO3SWQ",3,20,"VCS_350","d","VCS_270","c","VCS_70","a","VCS_170","b",1727,173832,"VCS_270","c"
"A25PFSORDO3SWQ",3,21,"VCS_160","b","VCS_340","d","VCS_60","a","VCS_260","c",2406,177249,"VCS_60","a"
"A25PFSORDO3SWQ",3,22,"VCS_70","a","VCS_250","c","VCS_330","d","VCS_170","b",1999,180252,"VCS_170","b"
"A25PFSORDO3SWQ",3,23,"VCS_340","d","VCS_160","b","VCS_260","c","VCS_60","a",1148,182423,"VCS_260","c"
"A25PFSORDO3SWQ",3,24,"VCS_160","b","VCS_340","d","VCS_80","a","VCS_240","c",2015,185512,"VCS_80","a"
"A25PFSORDO3SWQ",3,25,"VCS_340","d","VCS_160","b","VCS_240","c","VCS_80","a",2467,188996,"VCS_240","c"
"A25PFSORDO3SWQ",3,26,"VCS_240","c","VCS_150","b","VCS_60","a","VCS_330","d",3885,193941,"VCS_330","d"
"A25PFSORDO3SWQ",3,27,"VCS_80","a","VCS_260","c","VCS_340","d","VCS_180","b",2800,197750,"VCS_180","b"
"A25PFSORDO3SWQ",3,28,"VCS_80","a","VCS_170","b","VCS_350","d","VCS_260","c",2460,201220,"VCS_170","b"
"A25PFSORDO3SWQ",3,29,"VCS_250","c","VCS_160","b","VCS_70","a","VCS_340","d",2217,204439,"VCS_340","d"
"A25PFSORDO3SWQ",3,30,"VCS_70","a","VCS_350","d","VCS_150","b","VCS_250","c",1924,207373,"VCS_150","b"
"A25PFSORDO3SWQ",3,31,"VCS_260","c","VCS_360","d","VCS_80","a","VCS_160","b",2952,211340,"VCS_360","d"
