subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A29P011QEF23G8",1,0,"VCS_80","a","VCS_170","b","VCS_260","c","VCS_350","d",5562,25358,"VCS_170","b"
"A29P011QEF23G8",1,1,"VCS_240","c","VCS_330","d","VCS_60","a","VCS_150","b",1220,27598,"VCS_330","d"
"A29P011QEF23G8",1,2,"VCS_260","c","VCS_170","b","VCS_350","d","VCS_80","a",1158,29775,"VCS_350","d"
"A29P011QEF23G8",1,3,"VCS_150","b","VCS_60","a","VCS_330","d","VCS_240","c",1276,32070,"VCS_60","a"
"A29P011QEF23G8",1,4,"VCS_90","a","VCS_360","d","VCS_180","b","VCS_270","c",2187,35270,"VCS_180","b"
"A29P011QEF23G8",1,5,"VCS_250","c","VCS_150","b","VCS_350","d","VCS_70","a",1260,37558,"VCS_350","d"
"A29P011QEF23G8",1,6,"VCS_170","b","VCS_250","c","VCS_350","d","VCS_90","a",2041,40614,"VCS_90","a"
"A29P011QEF23G8",1,7,"VCS_350","d","VCS_250","c","VCS_90","a","VCS_170","b",973,42606,"VCS_250","c"
"A29P011QEF23G8",1,8,"VCS_360","d","VCS_90","a","VCS_180","b","VCS_270","c",1061,44686,"VCS_270","c"
"A29P011QEF23G8",1,9,"VCS_270","c","VCS_180","b","VCS_360","d","VCS_90","a",920,46630,"VCS_360","d"
"A29P011QEF23G8",1,10,"VCS_170","b","VCS_270","c","VCS_70","a","VCS_350","d",1541,49182,"VCS_70","a"
"A29P011QEF23G8",1,11,"VCS_160","b","VCS_340","d","VCS_240","c","VCS_80","a",921,51134,"VCS_80","a"
"A29P011QEF23G8",1,12,"VCS_70","a","VCS_250","c","VCS_160","b","VCS_340","d",1044,53206,"VCS_160","b"
"A29P011QEF23G8",1,13,"VCS_60","a","VCS_240","c","VCS_150","b","VCS_330","d",640,54854,"VCS_150","b"
"A29P011QEF23G8",1,14,"VCS_340","d","VCS_70","a","VCS_160","b","VCS_250","c",1238,57110,"VCS_250","c"
"A29P011QEF23G8",1,15,"VCS_170","b","VCS_260","c","VCS_350","d","VCS_80","a",1156,59286,"VCS_80","a"
"A29P011QEF23G8",1,16,"VCS_180","b","VCS_360","d","VCS_270","c","VCS_90","a",1929,62238,"VCS_90","a"
"A29P011QEF23G8",1,17,"VCS_80","a","VCS_360","d","VCS_160","b","VCS_260","c",1846,65102,"VCS_160","b"
"A29P011QEF23G8",1,18,"VCS_350","d","VCS_170","b","VCS_70","a","VCS_270","c",876,66990,"VCS_270","c"
"A29P011QEF23G8",1,19,"VCS_250","c","VCS_170","b","VCS_330","d","VCS_70","a",996,68998,"VCS_330","d"
"A29P011QEF23G8",1,20,"VCS_70","a","VCS_250","c","VCS_350","d","VCS_150","b",883,70894,"VCS_150","b"
"A29P011QEF23G8",1,21,"VCS_340","d","VCS_240","c","VCS_80","a","VCS_160","b",1070,72974,"VCS_240","c"
"A29P011QEF23G8",1,22,"VCS_70","a","VCS_330","d","VCS_250","c","VCS_170","b",1123,75111,"VCS_170","b"
"A29P011QEF23G8",1,23,"VCS_80","a","VCS_180","b","VCS_340","d","VCS_260","c",2195,78310,"VCS_180","b"
"A29P011QEF23G8",1,24,"VCS_160","b","VCS_60","a","VCS_260","c","VCS_340","d",712,80054,"VCS_60","a"
"A29P011QEF23G8",1,25,"VCS_330","d","VCS_240","c","VCS_150","b","VCS_60","a",1501,82574,"VCS_240","c"
"A29P011QEF23G8",1,26,"VCS_250","c","VCS_340","d","VCS_70","a","VCS_160","b",883,84478,"VCS_340","d"
"A29P011QEF23G8",1,27,"VCS_260","c","VCS_360","d","VCS_80","a","VCS_160","b",757,86262,"VCS_360","d"
"A29P011QEF23G8",1,28,"VCS_350","d","VCS_260","c","VCS_80","a","VCS_170","b",715,87998,"VCS_260","c"
"A29P011QEF23G8",1,29,"VCS_160","b","VCS_250","c","VCS_340","d","VCS_70","a",1000,90014,"VCS_70","a"
"A29P011QEF23G8",1,30,"VCS_260","c","VCS_340","d","VCS_180","b","VCS_80","a",780,91806,"VCS_340","d"
"A29P011QEF23G8",1,31,"VCS_340","d","VCS_60","a","VCS_160","b","VCS_260","c",630,93446,"VCS_60","a"
