subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A2BL4RTTHHBA72",1,0,"VCS_90","a","VCS_270","c","VCS_180","b","VCS_360","d",1225,7283,"VCS_180","b"
"A2BL4RTTHHBA72",1,1,"VCS_150","b","VCS_60","a","VCS_240","c","VCS_330","d",1326,9975,"VCS_240","c"
"A2BL4RTTHHBA72",1,2,"VCS_250","c","VCS_350","d","VCS_150","b","VCS_70","a",777,11825,"VCS_150","b"
"A2BL4RTTHHBA72",1,3,"VCS_250","c","VCS_70","a","VCS_330","d","VCS_170","b",858,13848,"VCS_170","b"
"A2BL4RTTHHBA72",1,4,"VCS_70","a","VCS_350","d","VCS_150","b","VCS_250","c",1099,16014,"VCS_250","c"
"A2BL4RTTHHBA72",1,5,"VCS_260","c","VCS_170","b","VCS_80","a","VCS_350","d",823,17840,"VCS_80","a"
"A2BL4RTTHHBA72",1,6,"VCS_250","c","VCS_70","a","VCS_340","d","VCS_160","b",522,19504,"VCS_70","a"
"A2BL4RTTHHBA72",1,7,"VCS_60","a","VCS_240","c","VCS_150","b","VCS_330","d",172,20905,"VCS_150","b"
"A2BL4RTTHHBA72",1,8,"VCS_160","b","VCS_80","a","VCS_340","d","VCS_240","c",490,22537,"VCS_240","c"
"A2BL4RTTHHBA72",1,9,"VCS_170","b","VCS_70","a","VCS_270","c","VCS_350","d",535,24137,"VCS_270","c"
"A2BL4RTTHHBA72",1,10,"VCS_160","b","VCS_250","c","VCS_70","a","VCS_340","d",445,25605,"VCS_340","d"
"A2BL4RTTHHBA72",1,11,"VCS_80","a","VCS_340","d","VCS_180","b","VCS_260","c",349,27232,"VCS_180","b"
"A2BL4RTTHHBA72",1,12,"VCS_170","b","VCS_350","d","VCS_260","c","VCS_80","a",1868,30296,"VCS_260","c"
"A2BL4RTTHHBA72",1,13,"VCS_340","d","VCS_240","c","VCS_160","b","VCS_80","a",1519,32842,"VCS_80","a"
"A2BL4RTTHHBA72",1,14,"VCS_70","a","VCS_160","b","VCS_250","c","VCS_340","d",1141,35305,"VCS_340","d"
"A2BL4RTTHHBA72",1,15,"VCS_360","d","VCS_270","c","VCS_180","b","VCS_90","a",848,37257,"VCS_90","a"
"A2BL4RTTHHBA72",1,16,"VCS_270","c","VCS_180","b","VCS_90","a","VCS_360","d",816,39133,"VCS_90","a"
"A2BL4RTTHHBA72",1,17,"VCS_350","d","VCS_260","c","VCS_80","a","VCS_170","b",632,40791,"VCS_170","b"
"A2BL4RTTHHBA72",1,18,"VCS_260","c","VCS_80","a","VCS_180","b","VCS_340","d",297,42198,"VCS_180","b"
"A2BL4RTTHHBA72",1,19,"VCS_160","b","VCS_340","d","VCS_60","a","VCS_260","c",673,43888,"VCS_60","a"
"A2BL4RTTHHBA72",1,20,"VCS_350","d","VCS_170","b","VCS_70","a","VCS_270","c",1106,46001,"VCS_270","c"
"A2BL4RTTHHBA72",1,21,"VCS_340","d","VCS_160","b","VCS_250","c","VCS_70","a",1519,48749,"VCS_70","a"
"A2BL4RTTHHBA72",1,22,"VCS_260","c","VCS_160","b","VCS_360","d","VCS_80","a",1364,51120,"VCS_80","a"
"A2BL4RTTHHBA72",1,23,"VCS_80","a","VCS_160","b","VCS_360","d","VCS_260","c",1439,53577,"VCS_160","b"
"A2BL4RTTHHBA72",1,24,"VCS_350","d","VCS_250","c","VCS_170","b","VCS_90","a",880,55460,"VCS_90","a"
"A2BL4RTTHHBA72",1,25,"VCS_170","b","VCS_250","c","VCS_350","d","VCS_90","a",1156,57645,"VCS_250","c"
"A2BL4RTTHHBA72",1,26,"VCS_180","b","VCS_90","a","VCS_270","c","VCS_360","d",893,59704,"VCS_270","c"
"A2BL4RTTHHBA72",1,27,"VCS_70","a","VCS_250","c","VCS_330","d","VCS_170","b",707,61417,"VCS_170","b"
"A2BL4RTTHHBA72",1,28,"VCS_240","c","VCS_330","d","VCS_60","a","VCS_150","b",926,63464,"VCS_150","b"
"A2BL4RTTHHBA72",1,29,"VCS_330","d","VCS_240","c","VCS_60","a","VCS_150","b",1007,65563,"VCS_60","a"
"A2BL4RTTHHBA72",1,30,"VCS_80","a","VCS_260","c","VCS_350","d","VCS_170","b",1065,67644,"VCS_350","d"
"A2BL4RTTHHBA72",1,31,"VCS_340","d","VCS_260","c","VCS_60","a","VCS_160","b",929,69593,"VCS_60","a"
