subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A2EI075XZT9Y2S",3,0,"VCS_250","c","VCS_350","d","VCS_150","b","VCS_70","a",2771,22443,"VCS_150","b"
"A2EI075XZT9Y2S",3,1,"VCS_170","b","VCS_350","d","VCS_270","c","VCS_70","a",1794,25247,"VCS_70","a"
"A2EI075XZT9Y2S",3,2,"VCS_170","b","VCS_260","c","VCS_350","d","VCS_80","a",2251,28520,"VCS_80","a"
"A2EI075XZT9Y2S",3,3,"VCS_80","a","VCS_160","b","VCS_260","c","VCS_360","d",954,30487,"VCS_160","b"
"A2EI075XZT9Y2S",3,4,"VCS_80","a","VCS_350","d","VCS_260","c","VCS_170","b",1637,33138,"VCS_170","b"
"A2EI075XZT9Y2S",3,5,"VCS_90","a","VCS_270","c","VCS_360","d","VCS_180","b",1071,35222,"VCS_180","b"
"A2EI075XZT9Y2S",3,6,"VCS_240","c","VCS_60","a","VCS_150","b","VCS_330","d",2168,38413,"VCS_60","a"
"A2EI075XZT9Y2S",3,7,"VCS_80","a","VCS_180","b","VCS_260","c","VCS_340","d",2000,41419,"VCS_180","b"
"A2EI075XZT9Y2S",3,8,"VCS_180","b","VCS_270","c","VCS_90","a","VCS_360","d",1004,43434,"VCS_90","a"
"A2EI075XZT9Y2S",3,9,"VCS_150","b","VCS_60","a","VCS_330","d","VCS_240","c",1166,45618,"VCS_60","a"
"A2EI075XZT9Y2S",3,10,"VCS_350","d","VCS_170","b","VCS_70","a","VCS_270","c",1564,48193,"VCS_270","c"
"A2EI075XZT9Y2S",3,11,"VCS_330","d","VCS_150","b","VCS_60","a","VCS_240","c",1648,50863,"VCS_240","c"
"A2EI075XZT9Y2S",3,12,"VCS_70","a","VCS_250","c","VCS_340","d","VCS_160","b",1335,53205,"VCS_160","b"
"A2EI075XZT9Y2S",3,13,"VCS_250","c","VCS_340","d","VCS_70","a","VCS_160","b",3691,57917,"VCS_340","d"
"A2EI075XZT9Y2S",3,14,"VCS_170","b","VCS_90","a","VCS_350","d","VCS_250","c",941,59861,"VCS_90","a"
"A2EI075XZT9Y2S",3,15,"VCS_350","d","VCS_80","a","VCS_260","c","VCS_170","b",1091,61970,"VCS_260","c"
"A2EI075XZT9Y2S",3,16,"VCS_340","d","VCS_260","c","VCS_60","a","VCS_160","b",1045,64035,"VCS_260","c"
"A2EI075XZT9Y2S",3,17,"VCS_340","d","VCS_80","a","VCS_160","b","VCS_240","c",1618,66673,"VCS_240","c"
"A2EI075XZT9Y2S",3,18,"VCS_250","c","VCS_330","d","VCS_170","b","VCS_70","a",1107,68802,"VCS_330","d"
"A2EI075XZT9Y2S",3,19,"VCS_340","d","VCS_250","c","VCS_70","a","VCS_160","b",1159,70972,"VCS_250","c"
"A2EI075XZT9Y2S",3,20,"VCS_70","a","VCS_350","d","VCS_150","b","VCS_250","c",914,72902,"VCS_150","b"
"A2EI075XZT9Y2S",3,21,"VCS_260","c","VCS_80","a","VCS_360","d","VCS_160","b",1062,74988,"VCS_360","d"
"A2EI075XZT9Y2S",3,22,"VCS_60","a","VCS_330","d","VCS_150","b","VCS_240","c",1025,77031,"VCS_150","b"
"A2EI075XZT9Y2S",3,23,"VCS_160","b","VCS_340","d","VCS_80","a","VCS_240","c",943,78998,"VCS_80","a"
"A2EI075XZT9Y2S",3,24,"VCS_360","d","VCS_180","b","VCS_270","c","VCS_90","a",1606,81617,"VCS_270","c"
"A2EI075XZT9Y2S",3,25,"VCS_260","c","VCS_180","b","VCS_340","d","VCS_80","a",1127,83761,"VCS_340","d"
"A2EI075XZT9Y2S",3,26,"VCS_70","a","VCS_250","c","VCS_330","d","VCS_170","b",1005,85791,"VCS_170","b"
"A2EI075XZT9Y2S",3,27,"VCS_350","d","VCS_250","c","VCS_170","b","VCS_90","a",1043,87849,"VCS_250","c"
"A2EI075XZT9Y2S",3,28,"VCS_270","c","VCS_180","b","VCS_90","a","VCS_360","d",914,89782,"VCS_360","d"
"A2EI075XZT9Y2S",3,29,"VCS_160","b","VCS_60","a","VCS_260","c","VCS_340","d",2150,92948,"VCS_60","a"
"A2EI075XZT9Y2S",3,30,"VCS_160","b","VCS_70","a","VCS_250","c","VCS_340","d",1850,95822,"VCS_70","a"
"A2EI075XZT9Y2S",3,31,"VCS_260","c","VCS_350","d","VCS_80","a","VCS_170","b",2471,99305,"VCS_350","d"
