subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A2FP41BSPG0Y4A",3,0,"VCS_340","d","VCS_80","a","VCS_240","c","VCS_160","b",4091,108765,"VCS_240","c"
"A2FP41BSPG0Y4A",3,1,"VCS_250","c","VCS_70","a","VCS_170","b","VCS_330","d",1434,111203,"VCS_330","d"
"A2FP41BSPG0Y4A",3,2,"VCS_80","a","VCS_180","b","VCS_340","d","VCS_260","c",4370,116576,"VCS_260","c"
"A2FP41BSPG0Y4A",3,3,"VCS_80","a","VCS_170","b","VCS_260","c","VCS_350","d",5626,123213,"VCS_170","b"
"A2FP41BSPG0Y4A",3,4,"VCS_160","b","VCS_250","c","VCS_340","d","VCS_70","a",2380,126604,"VCS_70","a"
"A2FP41BSPG0Y4A",3,5,"VCS_80","a","VCS_360","d","VCS_260","c","VCS_160","b",2458,130074,"VCS_360","d"
"A2FP41BSPG0Y4A",3,6,"VCS_160","b","VCS_240","c","VCS_80","a","VCS_340","d",1358,132456,"VCS_80","a"
"A2FP41BSPG0Y4A",3,7,"VCS_240","c","VCS_60","a","VCS_150","b","VCS_330","d",1158,134624,"VCS_330","d"
"A2FP41BSPG0Y4A",3,8,"VCS_70","a","VCS_250","c","VCS_170","b","VCS_330","d",1338,136967,"VCS_330","d"
"A2FP41BSPG0Y4A",3,9,"VCS_340","d","VCS_250","c","VCS_70","a","VCS_160","b",709,138687,"VCS_70","a"
"A2FP41BSPG0Y4A",3,10,"VCS_340","d","VCS_260","c","VCS_60","a","VCS_160","b",674,140380,"VCS_60","a"
"A2FP41BSPG0Y4A",3,11,"VCS_170","b","VCS_350","d","VCS_90","a","VCS_250","c",668,142068,"VCS_90","a"
"A2FP41BSPG0Y4A",3,12,"VCS_360","d","VCS_270","c","VCS_180","b","VCS_90","a",1952,145043,"VCS_270","c"
"A2FP41BSPG0Y4A",3,13,"VCS_70","a","VCS_250","c","VCS_160","b","VCS_340","d",850,146899,"VCS_340","d"
"A2FP41BSPG0Y4A",3,14,"VCS_160","b","VCS_60","a","VCS_260","c","VCS_340","d",2479,150392,"VCS_60","a"
"A2FP41BSPG0Y4A",3,15,"VCS_170","b","VCS_270","c","VCS_350","d","VCS_70","a",7424,158844,"VCS_70","a"
"A2FP41BSPG0Y4A",3,16,"VCS_150","b","VCS_240","c","VCS_60","a","VCS_330","d",6635,166504,"VCS_240","c"
"A2FP41BSPG0Y4A",3,17,"VCS_270","c","VCS_180","b","VCS_360","d","VCS_90","a",12057,179586,"VCS_360","d"
"A2FP41BSPG0Y4A",3,18,"VCS_330","d","VCS_150","b","VCS_240","c","VCS_60","a",1076,181690,"VCS_240","c"
"A2FP41BSPG0Y4A",3,19,"VCS_60","a","VCS_240","c","VCS_150","b","VCS_330","d",800,183506,"VCS_330","d"
"A2FP41BSPG0Y4A",3,20,"VCS_90","a","VCS_360","d","VCS_270","c","VCS_180","b",739,185248,"VCS_270","c"
"A2FP41BSPG0Y4A",3,21,"VCS_260","c","VCS_80","a","VCS_180","b","VCS_340","d",2340,188598,"VCS_80","a"
"A2FP41BSPG0Y4A",3,22,"VCS_250","c","VCS_70","a","VCS_150","b","VCS_350","d",3578,193180,"VCS_350","d"
"A2FP41BSPG0Y4A",3,23,"VCS_260","c","VCS_350","d","VCS_170","b","VCS_80","a",1591,195796,"VCS_350","d"
"A2FP41BSPG0Y4A",3,24,"VCS_260","c","VCS_160","b","VCS_80","a","VCS_360","d",1675,198482,"VCS_360","d"
"A2FP41BSPG0Y4A",3,25,"VCS_350","d","VCS_250","c","VCS_170","b","VCS_90","a",1965,201466,"VCS_170","b"
"A2FP41BSPG0Y4A",3,26,"VCS_180","b","VCS_270","c","VCS_360","d","VCS_90","a",1725,204216,"VCS_270","c"
"A2FP41BSPG0Y4A",3,27,"VCS_170","b","VCS_80","a","VCS_260","c","VCS_350","d",4140,209358,"VCS_80","a"
"A2FP41BSPG0Y4A",3,28,"VCS_250","c","VCS_70","a","VCS_340","d","VCS_160","b",1930,212309,"VCS_340","d"
"A2FP41BSPG0Y4A",3,29,"VCS_350","d","VCS_170","b","VCS_80","a","VCS_260","c",1476,214803,"VCS_260","c"
"A2FP41BSPG0Y4A",3,30,"VCS_70","a","VCS_350","d","VCS_250","c","VCS_150","b",1285,217107,"VCS_350","d"
"A2FP41BSPG0Y4A",3,31,"VCS_350","d","VCS_270","c","VCS_170","b","VCS_70","a",888,219002,"VCS_70","a"
