subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A2KDYSLV030FVX",3,0,"VCS_170","b","VCS_250","c","VCS_90","a","VCS_350","d",1318,19999,"VCS_250","c"
"A2KDYSLV030FVX",3,1,"VCS_260","c","VCS_340","d","VCS_180","b","VCS_80","a",875,21901,"VCS_340","d"
"A2KDYSLV030FVX",3,2,"VCS_160","b","VCS_260","c","VCS_340","d","VCS_60","a",959,23885,"VCS_260","c"
"A2KDYSLV030FVX",3,3,"VCS_340","d","VCS_250","c","VCS_160","b","VCS_70","a",958,25861,"VCS_70","a"
"A2KDYSLV030FVX",3,4,"VCS_260","c","VCS_80","a","VCS_350","d","VCS_170","b",930,27821,"VCS_80","a"
"A2KDYSLV030FVX",3,5,"VCS_70","a","VCS_170","b","VCS_330","d","VCS_250","c",898,29725,"VCS_170","b"
"A2KDYSLV030FVX",3,6,"VCS_160","b","VCS_250","c","VCS_340","d","VCS_70","a",905,31638,"VCS_70","a"
"A2KDYSLV030FVX",3,7,"VCS_70","a","VCS_340","d","VCS_160","b","VCS_250","c",951,33605,"VCS_340","d"
"A2KDYSLV030FVX",3,8,"VCS_350","d","VCS_170","b","VCS_260","c","VCS_80","a",1070,35693,"VCS_80","a"
"A2KDYSLV030FVX",3,9,"VCS_80","a","VCS_350","d","VCS_260","c","VCS_170","b",908,37606,"VCS_350","d"
"A2KDYSLV030FVX",3,10,"VCS_70","a","VCS_350","d","VCS_150","b","VCS_250","c",803,39429,"VCS_350","d"
"A2KDYSLV030FVX",3,11,"VCS_340","d","VCS_240","c","VCS_80","a","VCS_160","b",825,41267,"VCS_240","c"
"A2KDYSLV030FVX",3,12,"VCS_350","d","VCS_250","c","VCS_170","b","VCS_90","a",877,43157,"VCS_250","c"
"A2KDYSLV030FVX",3,13,"VCS_160","b","VCS_240","c","VCS_340","d","VCS_80","a",826,45005,"VCS_80","a"
"A2KDYSLV030FVX",3,14,"VCS_170","b","VCS_350","d","VCS_80","a","VCS_260","c",1931,47965,"VCS_260","c"
"A2KDYSLV030FVX",3,15,"VCS_340","d","VCS_160","b","VCS_60","a","VCS_260","c",1127,50101,"VCS_260","c"
"A2KDYSLV030FVX",3,16,"VCS_250","c","VCS_350","d","VCS_70","a","VCS_150","b",1109,52213,"VCS_350","d"
"A2KDYSLV030FVX",3,17,"VCS_90","a","VCS_270","c","VCS_360","d","VCS_180","b",885,54117,"VCS_270","c"
"A2KDYSLV030FVX",3,18,"VCS_60","a","VCS_240","c","VCS_150","b","VCS_330","d",1224,56349,"VCS_330","d"
"A2KDYSLV030FVX",3,19,"VCS_350","d","VCS_170","b","VCS_270","c","VCS_70","a",991,58365,"VCS_70","a"
"A2KDYSLV030FVX",3,20,"VCS_260","c","VCS_160","b","VCS_360","d","VCS_80","a",1126,60518,"VCS_360","d"
"A2KDYSLV030FVX",3,21,"VCS_250","c","VCS_160","b","VCS_70","a","VCS_340","d",1016,62565,"VCS_340","d"
"A2KDYSLV030FVX",3,22,"VCS_80","a","VCS_360","d","VCS_260","c","VCS_160","b",1027,64613,"VCS_260","c"
"A2KDYSLV030FVX",3,23,"VCS_80","a","VCS_180","b","VCS_340","d","VCS_260","c",1059,66677,"VCS_340","d"
"A2KDYSLV030FVX",3,24,"VCS_170","b","VCS_70","a","VCS_270","c","VCS_350","d",1035,68733,"VCS_270","c"
"A2KDYSLV030FVX",3,25,"VCS_150","b","VCS_330","d","VCS_240","c","VCS_60","a",1039,70781,"VCS_330","d"
"A2KDYSLV030FVX",3,26,"VCS_180","b","VCS_270","c","VCS_90","a","VCS_360","d",1012,72822,"VCS_90","a"
"A2KDYSLV030FVX",3,27,"VCS_250","c","VCS_330","d","VCS_170","b","VCS_70","a",1080,74909,"VCS_70","a"
"A2KDYSLV030FVX",3,28,"VCS_240","c","VCS_60","a","VCS_150","b","VCS_330","d",904,76837,"VCS_150","b"
"A2KDYSLV030FVX",3,29,"VCS_270","c","VCS_90","a","VCS_360","d","VCS_180","b",1429,79285,"VCS_360","d"
"A2KDYSLV030FVX",3,30,"VCS_360","d","VCS_270","c","VCS_90","a","VCS_180","b",979,81269,"VCS_270","c"
"A2KDYSLV030FVX",3,31,"VCS_330","d","VCS_240","c","VCS_60","a","VCS_150","b",1004,83285,"VCS_60","a"
