subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A2M183CETUMR96",3,0,"VCS_270","c","VCS_360","d","VCS_90","a","VCS_180","b",1843,20581,"VCS_360","d"
"A2M183CETUMR96",3,1,"VCS_160","b","VCS_70","a","VCS_250","c","VCS_340","d",2425,24007,"VCS_70","a"
"A2M183CETUMR96",3,2,"VCS_340","d","VCS_70","a","VCS_250","c","VCS_160","b",1604,26613,"VCS_250","c"
"A2M183CETUMR96",3,3,"VCS_260","c","VCS_80","a","VCS_350","d","VCS_170","b",916,28531,"VCS_350","d"
"A2M183CETUMR96",3,4,"VCS_240","c","VCS_150","b","VCS_60","a","VCS_330","d",3067,32599,"VCS_330","d"
"A2M183CETUMR96",3,5,"VCS_250","c","VCS_160","b","VCS_340","d","VCS_70","a",2779,36380,"VCS_340","d"
"A2M183CETUMR96",3,6,"VCS_250","c","VCS_70","a","VCS_350","d","VCS_150","b",2033,39415,"VCS_350","d"
"A2M183CETUMR96",3,7,"VCS_90","a","VCS_360","d","VCS_180","b","VCS_270","c",2684,43101,"VCS_180","b"
"A2M183CETUMR96",3,8,"VCS_170","b","VCS_350","d","VCS_70","a","VCS_270","c",2312,46415,"VCS_70","a"
"A2M183CETUMR96",3,9,"VCS_340","d","VCS_160","b","VCS_80","a","VCS_240","c",1235,48652,"VCS_240","c"
"A2M183CETUMR96",3,10,"VCS_360","d","VCS_270","c","VCS_90","a","VCS_180","b",929,50583,"VCS_270","c"
"A2M183CETUMR96",3,11,"VCS_330","d","VCS_240","c","VCS_150","b","VCS_60","a",1366,52950,"VCS_240","c"
"A2M183CETUMR96",3,12,"VCS_170","b","VCS_90","a","VCS_250","c","VCS_350","d",1549,55500,"VCS_90","a"
"A2M183CETUMR96",3,13,"VCS_160","b","VCS_340","d","VCS_240","c","VCS_80","a",1288,57789,"VCS_80","a"
"A2M183CETUMR96",3,14,"VCS_70","a","VCS_160","b","VCS_250","c","VCS_340","d",952,59742,"VCS_160","b"
"A2M183CETUMR96",3,15,"VCS_170","b","VCS_80","a","VCS_260","c","VCS_350","d",1094,61837,"VCS_80","a"
"A2M183CETUMR96",3,16,"VCS_350","d","VCS_70","a","VCS_270","c","VCS_170","b",1830,64668,"VCS_270","c"
"A2M183CETUMR96",3,17,"VCS_180","b","VCS_360","d","VCS_90","a","VCS_270","c",1333,67003,"VCS_90","a"
"A2M183CETUMR96",3,18,"VCS_350","d","VCS_80","a","VCS_170","b","VCS_260","c",934,68939,"VCS_260","c"
"A2M183CETUMR96",3,19,"VCS_260","c","VCS_360","d","VCS_80","a","VCS_160","b",855,70795,"VCS_360","d"
"A2M183CETUMR96",3,20,"VCS_80","a","VCS_170","b","VCS_260","c","VCS_350","d",936,72732,"VCS_170","b"
"A2M183CETUMR96",3,21,"VCS_80","a","VCS_160","b","VCS_360","d","VCS_260","c",1042,74775,"VCS_160","b"
"A2M183CETUMR96",3,22,"VCS_80","a","VCS_260","c","VCS_180","b","VCS_340","d",879,76655,"VCS_180","b"
"A2M183CETUMR96",3,23,"VCS_260","c","VCS_180","b","VCS_80","a","VCS_340","d",921,78578,"VCS_340","d"
"A2M183CETUMR96",3,24,"VCS_150","b","VCS_60","a","VCS_240","c","VCS_330","d",1394,80973,"VCS_60","a"
"A2M183CETUMR96",3,25,"VCS_340","d","VCS_160","b","VCS_60","a","VCS_260","c",898,82873,"VCS_260","c"
"A2M183CETUMR96",3,26,"VCS_70","a","VCS_150","b","VCS_350","d","VCS_250","c",769,84643,"VCS_150","b"
"A2M183CETUMR96",3,27,"VCS_60","a","VCS_150","b","VCS_330","d","VCS_240","c",974,86619,"VCS_150","b"
"A2M183CETUMR96",3,28,"VCS_160","b","VCS_60","a","VCS_260","c","VCS_340","d",1342,88963,"VCS_60","a"
"A2M183CETUMR96",3,29,"VCS_70","a","VCS_250","c","VCS_170","b","VCS_330","d",1064,91028,"VCS_170","b"
"A2M183CETUMR96",3,30,"VCS_250","c","VCS_70","a","VCS_170","b","VCS_330","d",1678,93707,"VCS_330","d"
"A2M183CETUMR96",3,31,"VCS_350","d","VCS_250","c","VCS_170","b","VCS_90","a",1087,95797,"VCS_250","c"
