subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A2NAKIXS3DVGAA",1,0,"VCS_180","b","VCS_360","d","VCS_90","a","VCS_270","c",2470,14103,"VCS_90","a"
"A2NAKIXS3DVGAA",1,1,"VCS_250","c","VCS_70","a","VCS_330","d","VCS_170","b",857,16006,"VCS_330","d"
"A2NAKIXS3DVGAA",1,2,"VCS_260","c","VCS_170","b","VCS_80","a","VCS_350","d",858,17873,"VCS_350","d"
"A2NAKIXS3DVGAA",1,3,"VCS_150","b","VCS_330","d","VCS_60","a","VCS_240","c",1782,20661,"VCS_60","a"
"A2NAKIXS3DVGAA",1,4,"VCS_250","c","VCS_150","b","VCS_350","d","VCS_70","a",711,22379,"VCS_350","d"
"A2NAKIXS3DVGAA",1,5,"VCS_340","d","VCS_160","b","VCS_240","c","VCS_80","a",675,24063,"VCS_240","c"
"A2NAKIXS3DVGAA",1,6,"VCS_170","b","VCS_90","a","VCS_350","d","VCS_250","c",1154,26230,"VCS_90","a"
"A2NAKIXS3DVGAA",1,7,"VCS_250","c","VCS_70","a","VCS_340","d","VCS_160","b",751,27989,"VCS_340","d"
"A2NAKIXS3DVGAA",1,8,"VCS_350","d","VCS_250","c","VCS_90","a","VCS_170","b",881,29917,"VCS_250","c"
"A2NAKIXS3DVGAA",1,9,"VCS_260","c","VCS_180","b","VCS_340","d","VCS_80","a",676,31603,"VCS_340","d"
"A2NAKIXS3DVGAA",1,10,"VCS_90","a","VCS_180","b","VCS_360","d","VCS_270","c",785,33404,"VCS_180","b"
"A2NAKIXS3DVGAA",1,11,"VCS_80","a","VCS_340","d","VCS_260","c","VCS_180","b",748,35181,"VCS_180","b"
"A2NAKIXS3DVGAA",1,12,"VCS_240","c","VCS_150","b","VCS_60","a","VCS_330","d",876,37074,"VCS_330","d"
"A2NAKIXS3DVGAA",1,13,"VCS_350","d","VCS_170","b","VCS_70","a","VCS_270","c",655,38774,"VCS_270","c"
"A2NAKIXS3DVGAA",1,14,"VCS_160","b","VCS_240","c","VCS_80","a","VCS_340","d",639,40432,"VCS_80","a"
"A2NAKIXS3DVGAA",1,15,"VCS_70","a","VCS_160","b","VCS_250","c","VCS_340","d",951,42420,"VCS_160","b"
"A2NAKIXS3DVGAA",1,16,"VCS_160","b","VCS_340","d","VCS_60","a","VCS_260","c",759,44222,"VCS_60","a"
"A2NAKIXS3DVGAA",1,17,"VCS_350","d","VCS_260","c","VCS_170","b","VCS_80","a",918,46143,"VCS_260","c"
"A2NAKIXS3DVGAA",1,18,"VCS_70","a","VCS_250","c","VCS_330","d","VCS_170","b",1030,48179,"VCS_170","b"
"A2NAKIXS3DVGAA",1,19,"VCS_340","d","VCS_70","a","VCS_160","b","VCS_250","c",1018,50204,"VCS_250","c"
"A2NAKIXS3DVGAA",1,20,"VCS_60","a","VCS_150","b","VCS_240","c","VCS_330","d",1057,52276,"VCS_150","b"
"A2NAKIXS3DVGAA",1,21,"VCS_70","a","VCS_150","b","VCS_350","d","VCS_250","c",610,53889,"VCS_150","b"
"A2NAKIXS3DVGAA",1,22,"VCS_170","b","VCS_80","a","VCS_260","c","VCS_350","d",599,55539,"VCS_80","a"
"A2NAKIXS3DVGAA",1,23,"VCS_160","b","VCS_340","d","VCS_250","c","VCS_70","a",835,57388,"VCS_70","a"
"A2NAKIXS3DVGAA",1,24,"VCS_170","b","VCS_350","d","VCS_270","c","VCS_70","a",610,59007,"VCS_70","a"
"A2NAKIXS3DVGAA",1,25,"VCS_80","a","VCS_360","d","VCS_260","c","VCS_160","b",710,60742,"VCS_160","b"
"A2NAKIXS3DVGAA",1,26,"VCS_340","d","VCS_60","a","VCS_160","b","VCS_260","c",1313,63063,"VCS_260","c"
"A2NAKIXS3DVGAA",1,27,"VCS_80","a","VCS_260","c","VCS_170","b","VCS_350","d",602,64694,"VCS_170","b"
"A2NAKIXS3DVGAA",1,28,"VCS_270","c","VCS_360","d","VCS_90","a","VCS_180","b",620,66322,"VCS_360","d"
"A2NAKIXS3DVGAA",1,29,"VCS_330","d","VCS_150","b","VCS_240","c","VCS_60","a",1030,68388,"VCS_240","c"
"A2NAKIXS3DVGAA",1,30,"VCS_360","d","VCS_270","c","VCS_90","a","VCS_180","b",616,70017,"VCS_270","c"
"A2NAKIXS3DVGAA",1,31,"VCS_260","c","VCS_80","a","VCS_360","d","VCS_160","b",622,71679,"VCS_360","d"
