subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A2NMAOYBBJTO0R",1,0,"VCS_150","b","VCS_60","a","VCS_240","c","VCS_330","d",2115,9682,"VCS_240","c"
"A2NMAOYBBJTO0R",1,1,"VCS_70","a","VCS_250","c","VCS_170","b","VCS_330","d",775,11481,"VCS_330","d"
"A2NMAOYBBJTO0R",1,2,"VCS_340","d","VCS_250","c","VCS_160","b","VCS_70","a",1620,14121,"VCS_70","a"
"A2NMAOYBBJTO0R",1,3,"VCS_330","d","VCS_240","c","VCS_60","a","VCS_150","b",613,15761,"VCS_60","a"
"A2NMAOYBBJTO0R",1,4,"VCS_70","a","VCS_150","b","VCS_350","d","VCS_250","c",1297,18073,"VCS_350","d"
"A2NMAOYBBJTO0R",1,5,"VCS_60","a","VCS_150","b","VCS_330","d","VCS_240","c",1301,20385,"VCS_330","d"
"A2NMAOYBBJTO0R",1,6,"VCS_260","c","VCS_80","a","VCS_360","d","VCS_160","b",1354,22761,"VCS_360","d"
"A2NMAOYBBJTO0R",1,7,"VCS_80","a","VCS_260","c","VCS_170","b","VCS_350","d",1522,25297,"VCS_350","d"
"A2NMAOYBBJTO0R",1,8,"VCS_350","d","VCS_170","b","VCS_70","a","VCS_270","c",1369,27681,"VCS_70","a"
"A2NMAOYBBJTO0R",1,9,"VCS_170","b","VCS_350","d","VCS_70","a","VCS_270","c",2857,31561,"VCS_270","c"
"A2NMAOYBBJTO0R",1,10,"VCS_160","b","VCS_60","a","VCS_340","d","VCS_260","c",2570,35177,"VCS_260","c"
"A2NMAOYBBJTO0R",1,11,"VCS_260","c","VCS_80","a","VCS_340","d","VCS_180","b",2400,38593,"VCS_340","d"
"A2NMAOYBBJTO0R",1,12,"VCS_180","b","VCS_90","a","VCS_360","d","VCS_270","c",1440,41049,"VCS_90","a"
"A2NMAOYBBJTO0R",1,13,"VCS_260","c","VCS_170","b","VCS_80","a","VCS_350","d",862,42921,"VCS_350","d"
"A2NMAOYBBJTO0R",1,14,"VCS_170","b","VCS_250","c","VCS_350","d","VCS_90","a",1444,45417,"VCS_250","c"
"A2NMAOYBBJTO0R",1,15,"VCS_250","c","VCS_70","a","VCS_160","b","VCS_340","d",1317,47769,"VCS_340","d"
"A2NMAOYBBJTO0R",1,16,"VCS_80","a","VCS_260","c","VCS_340","d","VCS_180","b",811,49586,"VCS_340","d"
"A2NMAOYBBJTO0R",1,17,"VCS_240","c","VCS_150","b","VCS_330","d","VCS_60","a",4632,55249,"VCS_330","d"
"A2NMAOYBBJTO0R",1,18,"VCS_160","b","VCS_340","d","VCS_70","a","VCS_250","c",691,56961,"VCS_250","c"
"A2NMAOYBBJTO0R",1,19,"VCS_80","a","VCS_160","b","VCS_260","c","VCS_360","d",803,58793,"VCS_360","d"
"A2NMAOYBBJTO0R",1,20,"VCS_350","d","VCS_170","b","VCS_90","a","VCS_250","c",2020,61825,"VCS_90","a"
"A2NMAOYBBJTO0R",1,21,"VCS_350","d","VCS_80","a","VCS_260","c","VCS_170","b",820,63689,"VCS_80","a"
"A2NMAOYBBJTO0R",1,22,"VCS_70","a","VCS_250","c","VCS_340","d","VCS_160","b",766,65465,"VCS_340","d"
"A2NMAOYBBJTO0R",1,23,"VCS_360","d","VCS_270","c","VCS_180","b","VCS_90","a",1806,68297,"VCS_90","a"
"A2NMAOYBBJTO0R",1,24,"VCS_250","c","VCS_170","b","VCS_70","a","VCS_330","d",1353,70673,"VCS_330","d"
"A2NMAOYBBJTO0R",1,25,"VCS_90","a","VCS_180","b","VCS_360","d","VCS_270","c",1039,72729,"VCS_270","c"
"A2NMAOYBBJTO0R",1,26,"VCS_160","b","VCS_240","c","VCS_80","a","VCS_340","d",4228,77969,"VCS_240","c"
"A2NMAOYBBJTO0R",1,27,"VCS_340","d","VCS_80","a","VCS_240","c","VCS_160","b",890,79881,"VCS_80","a"
"A2NMAOYBBJTO0R",1,28,"VCS_340","d","VCS_260","c","VCS_160","b","VCS_60","a",802,81697,"VCS_60","a"
"A2NMAOYBBJTO0R",1,29,"VCS_170","b","VCS_80","a","VCS_350","d","VCS_260","c",761,83489,"VCS_260","c"
"A2NMAOYBBJTO0R",1,30,"VCS_250","c","VCS_150","b","VCS_350","d","VCS_70","a",1128,85641,"VCS_150","b"
"A2NMAOYBBJTO0R",1,31,"VCS_270","c","VCS_180","b","VCS_90","a","VCS_360","d",1398,88057,"VCS_360","d"
