subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A2TR30V5KYFFSI",1,0,"VCS_160","b","VCS_240","c","VCS_340","d","VCS_80","a",2534,36984,"VCS_80","a"
"A2TR30V5KYFFSI",1,1,"VCS_360","d","VCS_90","a","VCS_270","c","VCS_180","b",1825,39828,"VCS_270","c"
"A2TR30V5KYFFSI",1,2,"VCS_170","b","VCS_90","a","VCS_250","c","VCS_350","d",1309,42205,"VCS_250","c"
"A2TR30V5KYFFSI",1,3,"VCS_350","d","VCS_170","b","VCS_70","a","VCS_270","c",1131,44630,"VCS_270","c"
"A2TR30V5KYFFSI",1,4,"VCS_270","c","VCS_180","b","VCS_90","a","VCS_360","d",1155,46982,"VCS_360","d"
"A2TR30V5KYFFSI",1,5,"VCS_340","d","VCS_160","b","VCS_240","c","VCS_80","a",1439,49526,"VCS_240","c"
"A2TR30V5KYFFSI",1,6,"VCS_160","b","VCS_60","a","VCS_340","d","VCS_260","c",3207,53967,"VCS_260","c"
"A2TR30V5KYFFSI",1,7,"VCS_260","c","VCS_80","a","VCS_180","b","VCS_340","d",1547,56821,"VCS_340","d"
"A2TR30V5KYFFSI",1,8,"VCS_80","a","VCS_180","b","VCS_260","c","VCS_340","d",4027,62385,"VCS_180","b"
"A2TR30V5KYFFSI",1,9,"VCS_60","a","VCS_240","c","VCS_150","b","VCS_330","d",2912,66632,"VCS_150","b"
"A2TR30V5KYFFSI",1,10,"VCS_70","a","VCS_330","d","VCS_170","b","VCS_250","c",1471,69121,"VCS_170","b"
"A2TR30V5KYFFSI",1,11,"VCS_150","b","VCS_60","a","VCS_240","c","VCS_330","d",2278,72423,"VCS_60","a"
"A2TR30V5KYFFSI",1,12,"VCS_240","c","VCS_330","d","VCS_60","a","VCS_150","b",5471,78900,"VCS_150","b"
"A2TR30V5KYFFSI",1,13,"VCS_80","a","VCS_170","b","VCS_260","c","VCS_350","d",2677,82794,"VCS_170","b"
"A2TR30V5KYFFSI",1,14,"VCS_340","d","VCS_70","a","VCS_250","c","VCS_160","b",2784,86710,"VCS_250","c"
"A2TR30V5KYFFSI",1,15,"VCS_170","b","VCS_70","a","VCS_270","c","VCS_350","d",1182,88909,"VCS_270","c"
"A2TR30V5KYFFSI",1,16,"VCS_350","d","VCS_80","a","VCS_260","c","VCS_170","b",2691,92668,"VCS_260","c"
"A2TR30V5KYFFSI",1,17,"VCS_250","c","VCS_350","d","VCS_70","a","VCS_150","b",1812,95765,"VCS_350","d"
"A2TR30V5KYFFSI",1,18,"VCS_250","c","VCS_170","b","VCS_330","d","VCS_70","a",4788,101765,"VCS_330","d"
"A2TR30V5KYFFSI",1,19,"VCS_180","b","VCS_270","c","VCS_360","d","VCS_90","a",1401,104172,"VCS_90","a"
"A2TR30V5KYFFSI",1,20,"VCS_70","a","VCS_250","c","VCS_340","d","VCS_160","b",2532,107973,"VCS_160","b"
"A2TR30V5KYFFSI",1,21,"VCS_260","c","VCS_350","d","VCS_80","a","VCS_170","b",1342,110343,"VCS_350","d"
"A2TR30V5KYFFSI",1,22,"VCS_260","c","VCS_160","b","VCS_360","d","VCS_80","a",1223,112935,"VCS_360","d"
"A2TR30V5KYFFSI",1,23,"VCS_250","c","VCS_340","d","VCS_70","a","VCS_160","b",1327,115288,"VCS_340","d"
"A2TR30V5KYFFSI",1,24,"VCS_80","a","VCS_360","d","VCS_260","c","VCS_160","b",5394,121699,"VCS_160","b"
"A2TR30V5KYFFSI",1,25,"VCS_90","a","VCS_180","b","VCS_270","c","VCS_360","d",4082,127098,"VCS_180","b"
"A2TR30V5KYFFSI",1,26,"VCS_350","d","VCS_250","c","VCS_90","a","VCS_170","b",2464,130766,"VCS_250","c"
"A2TR30V5KYFFSI",1,27,"VCS_160","b","VCS_340","d","VCS_250","c","VCS_70","a",2679,134622,"VCS_250","c"
"A2TR30V5KYFFSI",1,28,"VCS_330","d","VCS_240","c","VCS_150","b","VCS_60","a",2018,137765,"VCS_240","c"
"A2TR30V5KYFFSI",1,29,"VCS_70","a","VCS_150","b","VCS_350","d","VCS_250","c",1276,140067,"VCS_150","b"
"A2TR30V5KYFFSI",1,30,"VCS_170","b","VCS_80","a","VCS_350","d","VCS_260","c",2055,143134,"VCS_260","c"
"A2TR30V5KYFFSI",1,31,"VCS_340","d","VCS_260","c","VCS_160","b","VCS_60","a",4286,148557,"VCS_260","c"
