subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A2WNTI69VVVWMZ",1,0,"VCS_260","c","VCS_170","b","VCS_80","a","VCS_350","d",4496,13910,"VCS_170","b"
"A2WNTI69VVVWMZ",1,1,"VCS_340","d","VCS_160","b","VCS_80","a","VCS_240","c",3122,18049,"VCS_240","c"
"A2WNTI69VVVWMZ",1,2,"VCS_180","b","VCS_270","c","VCS_90","a","VCS_360","d",2507,21558,"VCS_270","c"
"A2WNTI69VVVWMZ",1,3,"VCS_70","a","VCS_160","b","VCS_340","d","VCS_250","c",2041,24629,"VCS_340","d"
"A2WNTI69VVVWMZ",1,4,"VCS_90","a","VCS_180","b","VCS_270","c","VCS_360","d",4438,30077,"VCS_180","b"
"A2WNTI69VVVWMZ",1,5,"VCS_240","c","VCS_150","b","VCS_330","d","VCS_60","a",2963,34059,"VCS_150","b"
"A2WNTI69VVVWMZ",1,6,"VCS_340","d","VCS_160","b","VCS_260","c","VCS_60","a",2793,37877,"VCS_260","c"
"A2WNTI69VVVWMZ",1,7,"VCS_270","c","VCS_90","a","VCS_180","b","VCS_360","d",3410,42311,"VCS_360","d"
"A2WNTI69VVVWMZ",1,8,"VCS_340","d","VCS_160","b","VCS_250","c","VCS_70","a",3419,46746,"VCS_70","a"
"A2WNTI69VVVWMZ",1,9,"VCS_60","a","VCS_330","d","VCS_240","c","VCS_150","b",1743,49509,"VCS_330","d"
"A2WNTI69VVVWMZ",1,10,"VCS_80","a","VCS_260","c","VCS_360","d","VCS_160","b",3492,54032,"VCS_160","b"
"A2WNTI69VVVWMZ",1,11,"VCS_250","c","VCS_160","b","VCS_70","a","VCS_340","d",4280,59324,"VCS_70","a"
"A2WNTI69VVVWMZ",1,12,"VCS_80","a","VCS_180","b","VCS_340","d","VCS_260","c",2707,63043,"VCS_260","c"
"A2WNTI69VVVWMZ",1,13,"VCS_330","d","VCS_240","c","VCS_150","b","VCS_60","a",3050,67114,"VCS_240","c"
"A2WNTI69VVVWMZ",1,14,"VCS_70","a","VCS_150","b","VCS_350","d","VCS_250","c",3915,72043,"VCS_150","b"
"A2WNTI69VVVWMZ",1,15,"VCS_80","a","VCS_170","b","VCS_260","c","VCS_350","d",2048,75114,"VCS_170","b"
"A2WNTI69VVVWMZ",1,16,"VCS_170","b","VCS_270","c","VCS_350","d","VCS_70","a",1377,77513,"VCS_70","a"
"A2WNTI69VVVWMZ",1,17,"VCS_170","b","VCS_80","a","VCS_350","d","VCS_260","c",2451,80979,"VCS_80","a"
"A2WNTI69VVVWMZ",1,18,"VCS_160","b","VCS_260","c","VCS_60","a","VCS_340","d",2063,84061,"VCS_60","a"
"A2WNTI69VVVWMZ",1,19,"VCS_160","b","VCS_80","a","VCS_340","d","VCS_240","c",1570,86648,"VCS_80","a"
"A2WNTI69VVVWMZ",1,20,"VCS_260","c","VCS_340","d","VCS_180","b","VCS_80","a",3083,90753,"VCS_180","b"
"A2WNTI69VVVWMZ",1,21,"VCS_250","c","VCS_330","d","VCS_70","a","VCS_170","b",1125,92888,"VCS_330","d"
"A2WNTI69VVVWMZ",1,22,"VCS_350","d","VCS_70","a","VCS_170","b","VCS_270","c",2529,96432,"VCS_70","a"
"A2WNTI69VVVWMZ",1,23,"VCS_160","b","VCS_70","a","VCS_340","d","VCS_250","c",2223,99669,"VCS_70","a"
"A2WNTI69VVVWMZ",1,24,"VCS_250","c","VCS_350","d","VCS_150","b","VCS_70","a",2125,102805,"VCS_350","d"
"A2WNTI69VVVWMZ",1,25,"VCS_350","d","VCS_90","a","VCS_170","b","VCS_250","c",1175,104997,"VCS_250","c"
"A2WNTI69VVVWMZ",1,26,"VCS_70","a","VCS_330","d","VCS_250","c","VCS_170","b",2063,108068,"VCS_170","b"
"A2WNTI69VVVWMZ",1,27,"VCS_350","d","VCS_170","b","VCS_80","a","VCS_260","c",1592,110676,"VCS_80","a"
"A2WNTI69VVVWMZ",1,28,"VCS_150","b","VCS_240","c","VCS_330","d","VCS_60","a",3572,115254,"VCS_240","c"
"A2WNTI69VVVWMZ",1,29,"VCS_170","b","VCS_350","d","VCS_90","a","VCS_250","c",1218,117489,"VCS_250","c"
"A2WNTI69VVVWMZ",1,30,"VCS_260","c","VCS_80","a","VCS_160","b","VCS_360","d",1658,120164,"VCS_160","b"
"A2WNTI69VVVWMZ",1,31,"VCS_360","d","VCS_180","b","VCS_270","c","VCS_90","a",2003,123180,"VCS_270","c"
