subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A2XFO0X6RCS98M",1,0,"VCS_80","a","VCS_260","c","VCS_340","d","VCS_180","b",3955,8802,"VCS_180","b"
"A2XFO0X6RCS98M",1,1,"VCS_330","d","VCS_150","b","VCS_60","a","VCS_240","c",2470,12276,"VCS_240","c"
"A2XFO0X6RCS98M",1,2,"VCS_80","a","VCS_260","c","VCS_160","b","VCS_360","d",3970,17250,"VCS_160","b"
"A2XFO0X6RCS98M",1,3,"VCS_170","b","VCS_90","a","VCS_250","c","VCS_350","d",4424,22680,"VCS_90","a"
"A2XFO0X6RCS98M",1,4,"VCS_60","a","VCS_240","c","VCS_150","b","VCS_330","d",1865,25558,"VCS_150","b"
"A2XFO0X6RCS98M",1,5,"VCS_160","b","VCS_60","a","VCS_340","d","VCS_260","c",2706,29266,"VCS_60","a"
"A2XFO0X6RCS98M",1,6,"VCS_360","d","VCS_270","c","VCS_90","a","VCS_180","b",972,31264,"VCS_270","c"
"A2XFO0X6RCS98M",1,7,"VCS_240","c","VCS_330","d","VCS_150","b","VCS_60","a",1068,33354,"VCS_330","d"
"A2XFO0X6RCS98M",1,8,"VCS_260","c","VCS_350","d","VCS_170","b","VCS_80","a",817,35196,"VCS_350","d"
"A2XFO0X6RCS98M",1,9,"VCS_350","d","VCS_170","b","VCS_270","c","VCS_70","a",1122,37337,"VCS_270","c"
"A2XFO0X6RCS98M",1,10,"VCS_180","b","VCS_270","c","VCS_90","a","VCS_360","d",1475,39826,"VCS_90","a"
"A2XFO0X6RCS98M",1,11,"VCS_80","a","VCS_170","b","VCS_350","d","VCS_260","c",1068,41908,"VCS_170","b"
"A2XFO0X6RCS98M",1,12,"VCS_350","d","VCS_260","c","VCS_170","b","VCS_80","a",768,43696,"VCS_260","c"
"A2XFO0X6RCS98M",1,13,"VCS_340","d","VCS_80","a","VCS_160","b","VCS_240","c",1800,46507,"VCS_80","a"
"A2XFO0X6RCS98M",1,14,"VCS_250","c","VCS_170","b","VCS_70","a","VCS_330","d",961,48484,"VCS_330","d"
"A2XFO0X6RCS98M",1,15,"VCS_250","c","VCS_70","a","VCS_350","d","VCS_150","b",577,50085,"VCS_350","d"
"A2XFO0X6RCS98M",1,16,"VCS_160","b","VCS_340","d","VCS_70","a","VCS_250","c",1415,52525,"VCS_70","a"
"A2XFO0X6RCS98M",1,17,"VCS_150","b","VCS_60","a","VCS_240","c","VCS_330","d",1895,55436,"VCS_60","a"
"A2XFO0X6RCS98M",1,18,"VCS_260","c","VCS_160","b","VCS_80","a","VCS_360","d",944,57403,"VCS_360","d"
"A2XFO0X6RCS98M",1,19,"VCS_170","b","VCS_260","c","VCS_80","a","VCS_350","d",1139,59554,"VCS_80","a"
"A2XFO0X6RCS98M",1,20,"VCS_250","c","VCS_160","b","VCS_340","d","VCS_70","a",644,61214,"VCS_340","d"
"A2XFO0X6RCS98M",1,21,"VCS_270","c","VCS_90","a","VCS_180","b","VCS_360","d",1048,63276,"VCS_360","d"
"A2XFO0X6RCS98M",1,22,"VCS_70","a","VCS_330","d","VCS_170","b","VCS_250","c",1307,65598,"VCS_170","b"
"A2XFO0X6RCS98M",1,23,"VCS_260","c","VCS_340","d","VCS_80","a","VCS_180","b",792,67406,"VCS_340","d"
"A2XFO0X6RCS98M",1,24,"VCS_340","d","VCS_160","b","VCS_260","c","VCS_60","a",717,69144,"VCS_260","c"
"A2XFO0X6RCS98M",1,25,"VCS_170","b","VCS_270","c","VCS_70","a","VCS_350","d",1061,71224,"VCS_70","a"
"A2XFO0X6RCS98M",1,26,"VCS_350","d","VCS_170","b","VCS_250","c","VCS_90","a",702,72939,"VCS_250","c"
"A2XFO0X6RCS98M",1,27,"VCS_70","a","VCS_250","c","VCS_350","d","VCS_150","b",871,74828,"VCS_350","d"
"A2XFO0X6RCS98M",1,28,"VCS_340","d","VCS_250","c","VCS_160","b","VCS_70","a",767,76622,"VCS_250","c"
"A2XFO0X6RCS98M",1,29,"VCS_160","b","VCS_240","c","VCS_80","a","VCS_340","d",1850,79498,"VCS_80","a"
"A2XFO0X6RCS98M",1,30,"VCS_70","a","VCS_250","c","VCS_340","d","VCS_160","b",1003,81525,"VCS_160","b"
"A2XFO0X6RCS98M",1,31,"VCS_90","a","VCS_180","b","VCS_270","c","VCS_360","d",1100,83650,"VCS_180","b"
