subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A2Z0D73YYRCGQE",3,0,"VCS_250","c","VCS_70","a","VCS_150","b","VCS_350","d",1198,18228,"VCS_150","b"
"A2Z0D73YYRCGQE",3,1,"VCS_160","b","VCS_70","a","VCS_250","c","VCS_340","d",2563,21804,"VCS_70","a"
"A2Z0D73YYRCGQE",3,2,"VCS_350","d","VCS_170","b","VCS_260","c","VCS_80","a",1287,24097,"VCS_80","a"
"A2Z0D73YYRCGQE",3,3,"VCS_360","d","VCS_90","a","VCS_180","b","VCS_270","c",1416,26516,"VCS_270","c"
"A2Z0D73YYRCGQE",3,4,"VCS_340","d","VCS_60","a","VCS_160","b","VCS_260","c",856,28388,"VCS_60","a"
"A2Z0D73YYRCGQE",3,5,"VCS_270","c","VCS_90","a","VCS_180","b","VCS_360","d",672,30078,"VCS_360","d"
"A2Z0D73YYRCGQE",3,6,"VCS_80","a","VCS_260","c","VCS_160","b","VCS_360","d",681,31771,"VCS_260","c"
"A2Z0D73YYRCGQE",3,7,"VCS_170","b","VCS_260","c","VCS_350","d","VCS_80","a",939,33723,"VCS_80","a"
"A2Z0D73YYRCGQE",3,8,"VCS_350","d","VCS_170","b","VCS_70","a","VCS_270","c",1877,36604,"VCS_270","c"
"A2Z0D73YYRCGQE",3,9,"VCS_70","a","VCS_170","b","VCS_330","d","VCS_250","c",1926,39535,"VCS_170","b"
"A2Z0D73YYRCGQE",3,10,"VCS_150","b","VCS_60","a","VCS_240","c","VCS_330","d",1514,42069,"VCS_60","a"
"A2Z0D73YYRCGQE",3,11,"VCS_80","a","VCS_260","c","VCS_340","d","VCS_180","b",927,43999,"VCS_180","b"
"A2Z0D73YYRCGQE",3,12,"VCS_350","d","VCS_170","b","VCS_90","a","VCS_250","c",1151,46154,"VCS_250","c"
"A2Z0D73YYRCGQE",3,13,"VCS_90","a","VCS_180","b","VCS_270","c","VCS_360","d",2287,49446,"VCS_180","b"
"A2Z0D73YYRCGQE",3,14,"VCS_70","a","VCS_250","c","VCS_350","d","VCS_150","b",912,51361,"VCS_150","b"
"A2Z0D73YYRCGQE",3,15,"VCS_80","a","VCS_350","d","VCS_170","b","VCS_260","c",1118,53483,"VCS_170","b"
"A2Z0D73YYRCGQE",3,16,"VCS_70","a","VCS_340","d","VCS_160","b","VCS_250","c",4999,60039,"VCS_160","b"
"A2Z0D73YYRCGQE",3,17,"VCS_260","c","VCS_350","d","VCS_170","b","VCS_80","a",1172,62219,"VCS_350","d"
"A2Z0D73YYRCGQE",3,18,"VCS_340","d","VCS_80","a","VCS_240","c","VCS_160","b",1253,64478,"VCS_240","c"
"A2Z0D73YYRCGQE",3,19,"VCS_250","c","VCS_170","b","VCS_70","a","VCS_330","d",2159,67655,"VCS_170","b"
"A2Z0D73YYRCGQE",3,20,"VCS_250","c","VCS_340","d","VCS_70","a","VCS_160","b",841,69506,"VCS_340","d"
"A2Z0D73YYRCGQE",3,21,"VCS_260","c","VCS_340","d","VCS_180","b","VCS_80","a",1255,71765,"VCS_340","d"
"A2Z0D73YYRCGQE",3,22,"VCS_240","c","VCS_150","b","VCS_60","a","VCS_330","d",1028,73799,"VCS_150","b"
"A2Z0D73YYRCGQE",3,23,"VCS_330","d","VCS_60","a","VCS_240","c","VCS_150","b",666,75473,"VCS_60","a"
"A2Z0D73YYRCGQE",3,24,"VCS_180","b","VCS_360","d","VCS_90","a","VCS_270","c",1257,77739,"VCS_270","c"
"A2Z0D73YYRCGQE",3,25,"VCS_260","c","VCS_360","d","VCS_80","a","VCS_160","b",1814,80555,"VCS_360","d"
"A2Z0D73YYRCGQE",3,26,"VCS_340","d","VCS_160","b","VCS_250","c","VCS_70","a",754,82315,"VCS_70","a"
"A2Z0D73YYRCGQE",3,27,"VCS_60","a","VCS_330","d","VCS_150","b","VCS_240","c",946,84276,"VCS_330","d"
"A2Z0D73YYRCGQE",3,28,"VCS_170","b","VCS_90","a","VCS_350","d","VCS_250","c",1517,86807,"VCS_90","a"
"A2Z0D73YYRCGQE",3,29,"VCS_160","b","VCS_60","a","VCS_340","d","VCS_260","c",705,88518,"VCS_260","c"
"A2Z0D73YYRCGQE",3,30,"VCS_160","b","VCS_80","a","VCS_240","c","VCS_340","d",2063,91597,"VCS_80","a"
"A2Z0D73YYRCGQE",3,31,"VCS_170","b","VCS_70","a","VCS_270","c","VCS_350","d",883,93483,"VCS_70","a"
