subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A30J4IZCMCR31F",1,0,"VCS_350","d","VCS_270","c","VCS_70","a","VCS_170","b",2650,68084,"VCS_270","c"
"A30J4IZCMCR31F",1,1,"VCS_90","a","VCS_180","b","VCS_270","c","VCS_360","d",1986,71074,"VCS_270","c"
"A30J4IZCMCR31F",1,2,"VCS_170","b","VCS_80","a","VCS_260","c","VCS_350","d",1894,73997,"VCS_260","c"
"A30J4IZCMCR31F",1,3,"VCS_70","a","VCS_150","b","VCS_350","d","VCS_250","c",1775,76782,"VCS_150","b"
"A30J4IZCMCR31F",1,4,"VCS_80","a","VCS_350","d","VCS_170","b","VCS_260","c",1444,79241,"VCS_170","b"
"A30J4IZCMCR31F",1,5,"VCS_340","d","VCS_240","c","VCS_160","b","VCS_80","a",3478,83733,"VCS_240","c"
"A30J4IZCMCR31F",1,6,"VCS_250","c","VCS_70","a","VCS_350","d","VCS_150","b",1631,86383,"VCS_350","d"
"A30J4IZCMCR31F",1,7,"VCS_150","b","VCS_60","a","VCS_330","d","VCS_240","c",6388,93777,"VCS_240","c"
"A30J4IZCMCR31F",1,8,"VCS_180","b","VCS_90","a","VCS_270","c","VCS_360","d",3817,98622,"VCS_90","a"
"A30J4IZCMCR31F",1,9,"VCS_60","a","VCS_330","d","VCS_150","b","VCS_240","c",1203,100843,"VCS_150","b"
"A30J4IZCMCR31F",1,10,"VCS_160","b","VCS_260","c","VCS_340","d","VCS_60","a",4089,105948,"VCS_260","c"
"A30J4IZCMCR31F",1,11,"VCS_330","d","VCS_60","a","VCS_240","c","VCS_150","b",1429,108397,"VCS_240","c"
"A30J4IZCMCR31F",1,12,"VCS_160","b","VCS_240","c","VCS_340","d","VCS_80","a",3102,112509,"VCS_240","c"
"A30J4IZCMCR31F",1,13,"VCS_70","a","VCS_340","d","VCS_160","b","VCS_250","c",1253,114778,"VCS_160","b"
"A30J4IZCMCR31F",1,14,"VCS_260","c","VCS_360","d","VCS_160","b","VCS_80","a",6111,121905,"VCS_160","b"
"A30J4IZCMCR31F",1,15,"VCS_170","b","VCS_90","a","VCS_250","c","VCS_350","d",1741,124670,"VCS_90","a"
"A30J4IZCMCR31F",1,16,"VCS_350","d","VCS_260","c","VCS_80","a","VCS_170","b",3310,129010,"VCS_260","c"
"A30J4IZCMCR31F",1,17,"VCS_340","d","VCS_70","a","VCS_250","c","VCS_160","b",2334,132355,"VCS_250","c"
"A30J4IZCMCR31F",1,18,"VCS_270","c","VCS_90","a","VCS_180","b","VCS_360","d",1398,134770,"VCS_180","b"
"A30J4IZCMCR31F",1,19,"VCS_260","c","VCS_180","b","VCS_340","d","VCS_80","a",2223,138009,"VCS_340","d"
"A30J4IZCMCR31F",1,20,"VCS_80","a","VCS_360","d","VCS_260","c","VCS_160","b",2700,141718,"VCS_160","b"
"A30J4IZCMCR31F",1,21,"VCS_250","c","VCS_70","a","VCS_160","b","VCS_340","d",1102,143838,"VCS_160","b"
"A30J4IZCMCR31F",1,22,"VCS_160","b","VCS_340","d","VCS_250","c","VCS_70","a",845,145696,"VCS_250","c"
"A30J4IZCMCR31F",1,23,"VCS_350","d","VCS_250","c","VCS_170","b","VCS_90","a",2371,149087,"VCS_250","c"
"A30J4IZCMCR31F",1,24,"VCS_340","d","VCS_260","c","VCS_60","a","VCS_160","b",1399,151500,"VCS_260","c"
"A30J4IZCMCR31F",1,25,"VCS_170","b","VCS_70","a","VCS_270","c","VCS_350","d",2584,155100,"VCS_270","c"
"A30J4IZCMCR31F",1,26,"VCS_250","c","VCS_70","a","VCS_330","d","VCS_170","b",5455,161571,"VCS_170","b"
"A30J4IZCMCR31F",1,27,"VCS_360","d","VCS_180","b","VCS_270","c","VCS_90","a",1131,163722,"VCS_270","c"
"A30J4IZCMCR31F",1,28,"VCS_80","a","VCS_180","b","VCS_340","d","VCS_260","c",5152,169887,"VCS_260","c"
"A30J4IZCMCR31F",1,29,"VCS_240","c","VCS_60","a","VCS_330","d","VCS_150","b",1354,172269,"VCS_60","a"
"A30J4IZCMCR31F",1,30,"VCS_260","c","VCS_170","b","VCS_80","a","VCS_350","d",1380,174678,"VCS_350","d"
"A30J4IZCMCR31F",1,31,"VCS_70","a","VCS_170","b","VCS_250","c","VCS_330","d",8553,184239,"VCS_170","b"
