subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A35XZRK8CZWYBN",3,0,"VCS_160","b","VCS_340","d","VCS_240","c","VCS_80","a",2064,60248,"VCS_240","c"
"A35XZRK8CZWYBN",3,1,"VCS_170","b","VCS_270","c","VCS_70","a","VCS_350","d",1973,63253,"VCS_270","c"
"A35XZRK8CZWYBN",3,2,"VCS_70","a","VCS_340","d","VCS_250","c","VCS_160","b",1831,66132,"VCS_160","b"
"A35XZRK8CZWYBN",3,3,"VCS_340","d","VCS_80","a","VCS_240","c","VCS_160","b",2499,69675,"VCS_240","c"
"A35XZRK8CZWYBN",3,4,"VCS_340","d","VCS_70","a","VCS_250","c","VCS_160","b",1458,72156,"VCS_250","c"
"A35XZRK8CZWYBN",3,5,"VCS_350","d","VCS_250","c","VCS_170","b","VCS_90","a",1373,74556,"VCS_250","c"
"A35XZRK8CZWYBN",3,6,"VCS_260","c","VCS_360","d","VCS_80","a","VCS_160","b",1755,77337,"VCS_360","d"
"A35XZRK8CZWYBN",3,7,"VCS_250","c","VCS_70","a","VCS_330","d","VCS_170","b",1208,79566,"VCS_330","d"
"A35XZRK8CZWYBN",3,8,"VCS_180","b","VCS_360","d","VCS_270","c","VCS_90","a",1860,82443,"VCS_270","c"
"A35XZRK8CZWYBN",3,9,"VCS_340","d","VCS_160","b","VCS_60","a","VCS_260","c",2444,85960,"VCS_260","c"
"A35XZRK8CZWYBN",3,10,"VCS_360","d","VCS_90","a","VCS_270","c","VCS_180","b",1362,88339,"VCS_270","c"
"A35XZRK8CZWYBN",3,11,"VCS_350","d","VCS_70","a","VCS_270","c","VCS_170","b",909,90264,"VCS_270","c"
"A35XZRK8CZWYBN",3,12,"VCS_250","c","VCS_160","b","VCS_70","a","VCS_340","d",1243,92517,"VCS_340","d"
"A35XZRK8CZWYBN",3,13,"VCS_160","b","VCS_60","a","VCS_340","d","VCS_260","c",2598,96138,"VCS_60","a"
"A35XZRK8CZWYBN",3,14,"VCS_350","d","VCS_170","b","VCS_260","c","VCS_80","a",1290,98496,"VCS_260","c"
"A35XZRK8CZWYBN",3,15,"VCS_150","b","VCS_330","d","VCS_60","a","VCS_240","c",1279,100798,"VCS_240","c"
"A35XZRK8CZWYBN",3,16,"VCS_70","a","VCS_170","b","VCS_250","c","VCS_330","d",2162,103977,"VCS_250","c"
"A35XZRK8CZWYBN",3,17,"VCS_270","c","VCS_90","a","VCS_360","d","VCS_180","b",1452,106453,"VCS_360","d"
"A35XZRK8CZWYBN",3,18,"VCS_60","a","VCS_330","d","VCS_240","c","VCS_150","b",2243,109774,"VCS_150","b"
"A35XZRK8CZWYBN",3,19,"VCS_250","c","VCS_350","d","VCS_150","b","VCS_70","a",1706,112492,"VCS_350","d"
"A35XZRK8CZWYBN",3,20,"VCS_70","a","VCS_350","d","VCS_150","b","VCS_250","c",1446,114951,"VCS_150","b"
"A35XZRK8CZWYBN",3,21,"VCS_170","b","VCS_90","a","VCS_250","c","VCS_350","d",2589,118562,"VCS_90","a"
"A35XZRK8CZWYBN",3,22,"VCS_80","a","VCS_170","b","VCS_350","d","VCS_260","c",1540,121180,"VCS_170","b"
"A35XZRK8CZWYBN",3,23,"VCS_90","a","VCS_360","d","VCS_180","b","VCS_270","c",1351,123553,"VCS_180","b"
"A35XZRK8CZWYBN",3,24,"VCS_80","a","VCS_260","c","VCS_340","d","VCS_180","b",1463,126027,"VCS_180","b"
"A35XZRK8CZWYBN",3,25,"VCS_260","c","VCS_180","b","VCS_80","a","VCS_340","d",1072,128110,"VCS_340","d"
"A35XZRK8CZWYBN",3,26,"VCS_170","b","VCS_350","d","VCS_80","a","VCS_260","c",2849,131970,"VCS_80","a"
"A35XZRK8CZWYBN",3,27,"VCS_260","c","VCS_80","a","VCS_170","b","VCS_350","d",1300,134290,"VCS_350","d"
"A35XZRK8CZWYBN",3,28,"VCS_160","b","VCS_250","c","VCS_340","d","VCS_70","a",1410,136707,"VCS_70","a"
"A35XZRK8CZWYBN",3,29,"VCS_240","c","VCS_330","d","VCS_150","b","VCS_60","a",1274,139044,"VCS_330","d"
"A35XZRK8CZWYBN",3,30,"VCS_80","a","VCS_260","c","VCS_360","d","VCS_160","b",1965,142018,"VCS_160","b"
"A35XZRK8CZWYBN",3,31,"VCS_330","d","VCS_60","a","VCS_240","c","VCS_150","b",1391,144431,"VCS_240","c"
