subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A3F51C49T9A34D",1,0,"VCS_170","b","VCS_90","a","VCS_350","d","VCS_250","c",8417,14695,"VCS_90","a"
"A3F51C49T9A34D",1,1,"VCS_150","b","VCS_60","a","VCS_240","c","VCS_330","d",3157,18857,"VCS_60","a"
"A3F51C49T9A34D",1,2,"VCS_160","b","VCS_80","a","VCS_340","d","VCS_240","c",2125,21996,"VCS_80","a"
"A3F51C49T9A34D",1,3,"VCS_250","c","VCS_160","b","VCS_340","d","VCS_70","a",1621,24626,"VCS_340","d"
"A3F51C49T9A34D",1,4,"VCS_350","d","VCS_170","b","VCS_260","c","VCS_80","a",1227,26866,"VCS_260","c"
"A3F51C49T9A34D",1,5,"VCS_170","b","VCS_350","d","VCS_80","a","VCS_260","c",1838,29717,"VCS_80","a"
"A3F51C49T9A34D",1,6,"VCS_260","c","VCS_170","b","VCS_80","a","VCS_350","d",1714,32440,"VCS_350","d"
"A3F51C49T9A34D",1,7,"VCS_360","d","VCS_180","b","VCS_270","c","VCS_90","a",1109,34556,"VCS_270","c"
"A3F51C49T9A34D",1,8,"VCS_340","d","VCS_240","c","VCS_160","b","VCS_80","a",1630,37196,"VCS_240","c"
"A3F51C49T9A34D",1,9,"VCS_160","b","VCS_250","c","VCS_70","a","VCS_340","d",1873,40079,"VCS_70","a"
"A3F51C49T9A34D",1,10,"VCS_90","a","VCS_360","d","VCS_270","c","VCS_180","b",3288,44375,"VCS_180","b"
"A3F51C49T9A34D",1,11,"VCS_80","a","VCS_260","c","VCS_350","d","VCS_170","b",1322,46705,"VCS_170","b"
"A3F51C49T9A34D",1,12,"VCS_170","b","VCS_350","d","VCS_70","a","VCS_270","c",1923,49634,"VCS_70","a"
"A3F51C49T9A34D",1,13,"VCS_250","c","VCS_70","a","VCS_350","d","VCS_150","b",1980,52627,"VCS_350","d"
"A3F51C49T9A34D",1,14,"VCS_340","d","VCS_70","a","VCS_250","c","VCS_160","b",2269,55908,"VCS_250","c"
"A3F51C49T9A34D",1,15,"VCS_60","a","VCS_240","c","VCS_330","d","VCS_150","b",1940,58859,"VCS_150","b"
"A3F51C49T9A34D",1,16,"VCS_240","c","VCS_60","a","VCS_150","b","VCS_330","d",1145,61016,"VCS_330","d"
"A3F51C49T9A34D",1,17,"VCS_80","a","VCS_180","b","VCS_340","d","VCS_260","c",1520,63543,"VCS_180","b"
"A3F51C49T9A34D",1,18,"VCS_70","a","VCS_350","d","VCS_150","b","VCS_250","c",1355,65906,"VCS_150","b"
"A3F51C49T9A34D",1,19,"VCS_250","c","VCS_70","a","VCS_170","b","VCS_330","d",1215,68134,"VCS_330","d"
"A3F51C49T9A34D",1,20,"VCS_70","a","VCS_160","b","VCS_250","c","VCS_340","d",1649,70792,"VCS_160","b"
"A3F51C49T9A34D",1,21,"VCS_70","a","VCS_330","d","VCS_250","c","VCS_170","b",1386,73184,"VCS_170","b"
"A3F51C49T9A34D",1,22,"VCS_260","c","VCS_180","b","VCS_340","d","VCS_80","a",1100,75290,"VCS_340","d"
"A3F51C49T9A34D",1,23,"VCS_270","c","VCS_180","b","VCS_90","a","VCS_360","d",1562,77865,"VCS_360","d"
"A3F51C49T9A34D",1,24,"VCS_350","d","VCS_250","c","VCS_90","a","VCS_170","b",1034,79905,"VCS_250","c"
"A3F51C49T9A34D",1,25,"VCS_340","d","VCS_260","c","VCS_160","b","VCS_60","a",1335,82243,"VCS_260","c"
"A3F51C49T9A34D",1,26,"VCS_80","a","VCS_260","c","VCS_160","b","VCS_360","d",1444,84699,"VCS_160","b"
"A3F51C49T9A34D",1,27,"VCS_350","d","VCS_270","c","VCS_170","b","VCS_70","a",1144,86855,"VCS_270","c"
"A3F51C49T9A34D",1,28,"VCS_260","c","VCS_360","d","VCS_80","a","VCS_160","b",1121,88984,"VCS_360","d"
"A3F51C49T9A34D",1,29,"VCS_180","b","VCS_90","a","VCS_270","c","VCS_360","d",1603,91594,"VCS_90","a"
"A3F51C49T9A34D",1,30,"VCS_160","b","VCS_60","a","VCS_260","c","VCS_340","d",1633,94240,"VCS_60","a"
"A3F51C49T9A34D",1,31,"VCS_330","d","VCS_240","c","VCS_60","a","VCS_150","b",1393,96640,"VCS_240","c"
