subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A3G5OWGKHW6OL5",1,0,"VCS_240","c","VCS_150","b","VCS_60","a","VCS_330","d",1206,16104,"VCS_330","d"
"A3G5OWGKHW6OL5",1,1,"VCS_250","c","VCS_160","b","VCS_340","d","VCS_70","a",2201,19310,"VCS_160","b"
"A3G5OWGKHW6OL5",1,2,"VCS_160","b","VCS_250","c","VCS_70","a","VCS_340","d",2534,22868,"VCS_250","c"
"A3G5OWGKHW6OL5",1,3,"VCS_70","a","VCS_150","b","VCS_350","d","VCS_250","c",832,24726,"VCS_150","b"
"A3G5OWGKHW6OL5",1,4,"VCS_250","c","VCS_170","b","VCS_330","d","VCS_70","a",2556,28302,"VCS_70","a"
"A3G5OWGKHW6OL5",1,5,"VCS_60","a","VCS_150","b","VCS_330","d","VCS_240","c",2932,32255,"VCS_330","d"
"A3G5OWGKHW6OL5",1,6,"VCS_270","c","VCS_90","a","VCS_360","d","VCS_180","b",2665,35941,"VCS_360","d"
"A3G5OWGKHW6OL5",1,7,"VCS_80","a","VCS_170","b","VCS_350","d","VCS_260","c",1360,38317,"VCS_170","b"
"A3G5OWGKHW6OL5",1,8,"VCS_260","c","VCS_350","d","VCS_170","b","VCS_80","a",2284,41629,"VCS_80","a"
"A3G5OWGKHW6OL5",1,9,"VCS_330","d","VCS_150","b","VCS_240","c","VCS_60","a",910,43557,"VCS_60","a"
"A3G5OWGKHW6OL5",1,10,"VCS_80","a","VCS_260","c","VCS_160","b","VCS_360","d",3256,47841,"VCS_260","c"
"A3G5OWGKHW6OL5",1,11,"VCS_350","d","VCS_170","b","VCS_270","c","VCS_70","a",935,49803,"VCS_70","a"
"A3G5OWGKHW6OL5",1,12,"VCS_350","d","VCS_80","a","VCS_260","c","VCS_170","b",2401,53231,"VCS_80","a"
"A3G5OWGKHW6OL5",1,13,"VCS_340","d","VCS_160","b","VCS_70","a","VCS_250","c",993,55256,"VCS_70","a"
"A3G5OWGKHW6OL5",1,14,"VCS_70","a","VCS_340","d","VCS_250","c","VCS_160","b",3391,59666,"VCS_250","c"
"A3G5OWGKHW6OL5",1,15,"VCS_250","c","VCS_70","a","VCS_150","b","VCS_350","d",1834,62530,"VCS_70","a"
"A3G5OWGKHW6OL5",1,16,"VCS_160","b","VCS_340","d","VCS_60","a","VCS_260","c",5018,68563,"VCS_260","c"
"A3G5OWGKHW6OL5",1,17,"VCS_180","b","VCS_360","d","VCS_270","c","VCS_90","a",3949,73535,"VCS_270","c"
"A3G5OWGKHW6OL5",1,18,"VCS_170","b","VCS_250","c","VCS_350","d","VCS_90","a",3333,77894,"VCS_250","c"
"A3G5OWGKHW6OL5",1,19,"VCS_90","a","VCS_270","c","VCS_180","b","VCS_360","d",3604,82518,"VCS_270","c"
"A3G5OWGKHW6OL5",1,20,"VCS_260","c","VCS_160","b","VCS_80","a","VCS_360","d",3946,87482,"VCS_160","b"
"A3G5OWGKHW6OL5",1,21,"VCS_80","a","VCS_340","d","VCS_180","b","VCS_260","c",2541,91043,"VCS_260","c"
"A3G5OWGKHW6OL5",1,22,"VCS_360","d","VCS_180","b","VCS_90","a","VCS_270","c",4024,96096,"VCS_270","c"
"A3G5OWGKHW6OL5",1,23,"VCS_260","c","VCS_340","d","VCS_80","a","VCS_180","b",10319,107439,"VCS_180","b"
"A3G5OWGKHW6OL5",1,24,"VCS_160","b","VCS_340","d","VCS_240","c","VCS_80","a",2711,111176,"VCS_240","c"
"A3G5OWGKHW6OL5",1,25,"VCS_150","b","VCS_330","d","VCS_60","a","VCS_240","c",1651,113843,"VCS_240","c"
"A3G5OWGKHW6OL5",1,26,"VCS_70","a","VCS_170","b","VCS_330","d","VCS_250","c",822,115689,"VCS_330","d"
"A3G5OWGKHW6OL5",1,27,"VCS_350","d","VCS_90","a","VCS_250","c","VCS_170","b",1193,117887,"VCS_90","a"
"A3G5OWGKHW6OL5",1,28,"VCS_340","d","VCS_160","b","VCS_260","c","VCS_60","a",677,119590,"VCS_60","a"
"A3G5OWGKHW6OL5",1,29,"VCS_340","d","VCS_80","a","VCS_160","b","VCS_240","c",620,121229,"VCS_80","a"
"A3G5OWGKHW6OL5",1,30,"VCS_170","b","VCS_260","c","VCS_350","d","VCS_80","a",2227,124487,"VCS_80","a"
"A3G5OWGKHW6OL5",1,31,"VCS_170","b","VCS_350","d","VCS_70","a","VCS_270","c",5477,130981,"VCS_70","a"
