subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A3G7QQTQIKYI2O",3,0,"VCS_80","a","VCS_170","b","VCS_350","d","VCS_260","c",3008,12140,"VCS_170","b"
"A3G7QQTQIKYI2O",3,1,"VCS_70","a","VCS_160","b","VCS_340","d","VCS_250","c",4969,18140,"VCS_160","b"
"A3G7QQTQIKYI2O",3,2,"VCS_350","d","VCS_170","b","VCS_90","a","VCS_250","c",3680,22846,"VCS_250","c"
"A3G7QQTQIKYI2O",3,3,"VCS_160","b","VCS_250","c","VCS_70","a","VCS_340","d",3070,26922,"VCS_250","c"
"A3G7QQTQIKYI2O",3,4,"VCS_170","b","VCS_270","c","VCS_70","a","VCS_350","d",6157,34119,"VCS_270","c"
"A3G7QQTQIKYI2O",3,5,"VCS_360","d","VCS_90","a","VCS_180","b","VCS_270","c",1518,36639,"VCS_90","a"
"A3G7QQTQIKYI2O",3,6,"VCS_160","b","VCS_60","a","VCS_260","c","VCS_340","d",4709,42381,"VCS_260","c"
"A3G7QQTQIKYI2O",3,7,"VCS_250","c","VCS_170","b","VCS_330","d","VCS_70","a",1321,44726,"VCS_170","b"
"A3G7QQTQIKYI2O",3,8,"VCS_170","b","VCS_80","a","VCS_350","d","VCS_260","c",1550,47304,"VCS_260","c"
"A3G7QQTQIKYI2O",3,9,"VCS_270","c","VCS_90","a","VCS_360","d","VCS_180","b",1269,49598,"VCS_180","b"
"A3G7QQTQIKYI2O",3,10,"VCS_170","b","VCS_350","d","VCS_90","a","VCS_250","c",923,51555,"VCS_250","c"
"A3G7QQTQIKYI2O",3,11,"VCS_330","d","VCS_240","c","VCS_150","b","VCS_60","a",1347,53922,"VCS_60","a"
"A3G7QQTQIKYI2O",3,12,"VCS_340","d","VCS_70","a","VCS_250","c","VCS_160","b",3008,57941,"VCS_70","a"
"A3G7QQTQIKYI2O",3,13,"VCS_260","c","VCS_80","a","VCS_180","b","VCS_340","d",3193,62173,"VCS_340","d"
"A3G7QQTQIKYI2O",3,14,"VCS_250","c","VCS_340","d","VCS_160","b","VCS_70","a",1465,64655,"VCS_340","d"
"A3G7QQTQIKYI2O",3,15,"VCS_160","b","VCS_340","d","VCS_80","a","VCS_240","c",1478,67154,"VCS_240","c"
"A3G7QQTQIKYI2O",3,16,"VCS_260","c","VCS_360","d","VCS_160","b","VCS_80","a",1395,69570,"VCS_160","b"
"A3G7QQTQIKYI2O",3,17,"VCS_80","a","VCS_180","b","VCS_260","c","VCS_340","d",2613,73213,"VCS_180","b"
"A3G7QQTQIKYI2O",3,18,"VCS_240","c","VCS_330","d","VCS_60","a","VCS_150","b",2088,76303,"VCS_150","b"
"A3G7QQTQIKYI2O",3,19,"VCS_340","d","VCS_260","c","VCS_60","a","VCS_160","b",1331,78654,"VCS_60","a"
"A3G7QQTQIKYI2O",3,20,"VCS_70","a","VCS_250","c","VCS_150","b","VCS_350","d",1383,81069,"VCS_350","d"
"A3G7QQTQIKYI2O",3,21,"VCS_60","a","VCS_240","c","VCS_330","d","VCS_150","b",1540,83619,"VCS_150","b"
"A3G7QQTQIKYI2O",3,22,"VCS_260","c","VCS_80","a","VCS_170","b","VCS_350","d",2558,87185,"VCS_170","b"
"A3G7QQTQIKYI2O",3,23,"VCS_90","a","VCS_180","b","VCS_360","d","VCS_270","c",5423,93630,"VCS_180","b"
"A3G7QQTQIKYI2O",3,24,"VCS_250","c","VCS_350","d","VCS_70","a","VCS_150","b",3037,97695,"VCS_150","b"
"A3G7QQTQIKYI2O",3,25,"VCS_180","b","VCS_360","d","VCS_90","a","VCS_270","c",973,99671,"VCS_270","c"
"A3G7QQTQIKYI2O",3,26,"VCS_80","a","VCS_360","d","VCS_260","c","VCS_160","b",1304,102006,"VCS_260","c"
"A3G7QQTQIKYI2O",3,27,"VCS_150","b","VCS_60","a","VCS_330","d","VCS_240","c",714,103741,"VCS_240","c"
"A3G7QQTQIKYI2O",3,28,"VCS_340","d","VCS_80","a","VCS_240","c","VCS_160","b",1672,106446,"VCS_80","a"
"A3G7QQTQIKYI2O",3,29,"VCS_350","d","VCS_260","c","VCS_80","a","VCS_170","b",1027,108485,"VCS_80","a"
"A3G7QQTQIKYI2O",3,30,"VCS_70","a","VCS_330","d","VCS_170","b","VCS_250","c",1968,111462,"VCS_330","d"
"A3G7QQTQIKYI2O",3,31,"VCS_350","d","VCS_70","a","VCS_170","b","VCS_270","c",996,113470,"VCS_70","a"
