subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A3H3BTRV6I3LYU",3,0,"VCS_70","a","VCS_250","c","VCS_150","b","VCS_350","d",968,18507,"VCS_150","b"
"A3H3BTRV6I3LYU",3,1,"VCS_350","d","VCS_170","b","VCS_70","a","VCS_270","c",1203,20727,"VCS_270","c"
"A3H3BTRV6I3LYU",3,2,"VCS_350","d","VCS_170","b","VCS_90","a","VCS_250","c",1192,22928,"VCS_250","c"
"A3H3BTRV6I3LYU",3,3,"VCS_170","b","VCS_350","d","VCS_260","c","VCS_80","a",2085,26034,"VCS_80","a"
"A3H3BTRV6I3LYU",3,4,"VCS_170","b","VCS_90","a","VCS_350","d","VCS_250","c",870,27915,"VCS_250","c"
"A3H3BTRV6I3LYU",3,5,"VCS_360","d","VCS_270","c","VCS_90","a","VCS_180","b",1277,30200,"VCS_90","a"
"A3H3BTRV6I3LYU",3,6,"VCS_270","c","VCS_360","d","VCS_90","a","VCS_180","b",1358,32570,"VCS_180","b"
"A3H3BTRV6I3LYU",3,7,"VCS_150","b","VCS_60","a","VCS_240","c","VCS_330","d",1369,34958,"VCS_240","c"
"A3H3BTRV6I3LYU",3,8,"VCS_260","c","VCS_360","d","VCS_160","b","VCS_80","a",1211,37184,"VCS_160","b"
"A3H3BTRV6I3LYU",3,9,"VCS_240","c","VCS_330","d","VCS_60","a","VCS_150","b",1036,39240,"VCS_150","b"
"A3H3BTRV6I3LYU",3,10,"VCS_160","b","VCS_240","c","VCS_340","d","VCS_80","a",1634,41891,"VCS_240","c"
"A3H3BTRV6I3LYU",3,11,"VCS_350","d","VCS_170","b","VCS_80","a","VCS_260","c",823,43734,"VCS_80","a"
"A3H3BTRV6I3LYU",3,12,"VCS_80","a","VCS_170","b","VCS_260","c","VCS_350","d",893,45634,"VCS_170","b"
"A3H3BTRV6I3LYU",3,13,"VCS_250","c","VCS_70","a","VCS_340","d","VCS_160","b",1022,47672,"VCS_160","b"
"A3H3BTRV6I3LYU",3,14,"VCS_340","d","VCS_160","b","VCS_80","a","VCS_240","c",1426,50138,"VCS_80","a"
"A3H3BTRV6I3LYU",3,15,"VCS_70","a","VCS_170","b","VCS_250","c","VCS_330","d",2199,53348,"VCS_330","d"
"A3H3BTRV6I3LYU",3,16,"VCS_80","a","VCS_180","b","VCS_260","c","VCS_340","d",1096,55459,"VCS_340","d"
"A3H3BTRV6I3LYU",3,17,"VCS_160","b","VCS_340","d","VCS_60","a","VCS_260","c",644,57122,"VCS_260","c"
"A3H3BTRV6I3LYU",3,18,"VCS_340","d","VCS_60","a","VCS_260","c","VCS_160","b",782,58908,"VCS_60","a"
"A3H3BTRV6I3LYU",3,19,"VCS_330","d","VCS_60","a","VCS_150","b","VCS_240","c",838,60765,"VCS_60","a"
"A3H3BTRV6I3LYU",3,20,"VCS_250","c","VCS_170","b","VCS_70","a","VCS_330","d",885,62661,"VCS_170","b"
"A3H3BTRV6I3LYU",3,21,"VCS_70","a","VCS_160","b","VCS_340","d","VCS_250","c",756,64419,"VCS_340","d"
"A3H3BTRV6I3LYU",3,22,"VCS_250","c","VCS_150","b","VCS_70","a","VCS_350","d",669,66107,"VCS_150","b"
"A3H3BTRV6I3LYU",3,23,"VCS_90","a","VCS_180","b","VCS_360","d","VCS_270","c",1067,68183,"VCS_360","d"
"A3H3BTRV6I3LYU",3,24,"VCS_260","c","VCS_80","a","VCS_350","d","VCS_170","b",894,70083,"VCS_170","b"
"A3H3BTRV6I3LYU",3,25,"VCS_80","a","VCS_260","c","VCS_160","b","VCS_360","d",870,71969,"VCS_160","b"
"A3H3BTRV6I3LYU",3,26,"VCS_160","b","VCS_250","c","VCS_70","a","VCS_340","d",650,73637,"VCS_250","c"
"A3H3BTRV6I3LYU",3,27,"VCS_340","d","VCS_70","a","VCS_160","b","VCS_250","c",579,75222,"VCS_70","a"
"A3H3BTRV6I3LYU",3,28,"VCS_180","b","VCS_90","a","VCS_360","d","VCS_270","c",904,77142,"VCS_270","c"
"A3H3BTRV6I3LYU",3,29,"VCS_60","a","VCS_150","b","VCS_330","d","VCS_240","c",433,78594,"VCS_330","d"
"A3H3BTRV6I3LYU",3,30,"VCS_170","b","VCS_70","a","VCS_350","d","VCS_270","c",1267,80878,"VCS_270","c"
"A3H3BTRV6I3LYU",3,31,"VCS_260","c","VCS_80","a","VCS_340","d","VCS_180","b",1106,83002,"VCS_180","b"
