subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A3HPLIWSXW3XV8",3,0,"VCS_90","a","VCS_360","d","VCS_180","b","VCS_270","c",3616,25732,"VCS_180","b"
"A3HPLIWSXW3XV8",3,1,"VCS_250","c","VCS_170","b","VCS_330","d","VCS_70","a",3277,30021,"VCS_330","d"
"A3HPLIWSXW3XV8",3,2,"VCS_340","d","VCS_70","a","VCS_250","c","VCS_160","b",1605,32639,"VCS_250","c"
"A3HPLIWSXW3XV8",3,3,"VCS_170","b","VCS_350","d","VCS_90","a","VCS_250","c",2904,36554,"VCS_90","a"
"A3HPLIWSXW3XV8",3,4,"VCS_80","a","VCS_170","b","VCS_260","c","VCS_350","d",2245,39821,"VCS_170","b"
"A3HPLIWSXW3XV8",3,5,"VCS_270","c","VCS_90","a","VCS_360","d","VCS_180","b",2105,42952,"VCS_360","d"
"A3HPLIWSXW3XV8",3,6,"VCS_160","b","VCS_250","c","VCS_340","d","VCS_70","a",1928,45925,"VCS_70","a"
"A3HPLIWSXW3XV8",3,7,"VCS_180","b","VCS_270","c","VCS_90","a","VCS_360","d",1612,48556,"VCS_90","a"
"A3HPLIWSXW3XV8",3,8,"VCS_160","b","VCS_60","a","VCS_340","d","VCS_260","c",1656,51223,"VCS_60","a"
"A3HPLIWSXW3XV8",3,9,"VCS_70","a","VCS_350","d","VCS_250","c","VCS_150","b",1631,53874,"VCS_150","b"
"A3HPLIWSXW3XV8",3,10,"VCS_170","b","VCS_350","d","VCS_80","a","VCS_260","c",1343,56240,"VCS_80","a"
"A3HPLIWSXW3XV8",3,11,"VCS_80","a","VCS_180","b","VCS_340","d","VCS_260","c",1875,59146,"VCS_180","b"
"A3HPLIWSXW3XV8",3,12,"VCS_260","c","VCS_340","d","VCS_80","a","VCS_180","b",2926,63096,"VCS_340","d"
"A3HPLIWSXW3XV8",3,13,"VCS_260","c","VCS_160","b","VCS_360","d","VCS_80","a",2447,66550,"VCS_360","d"
"A3HPLIWSXW3XV8",3,14,"VCS_350","d","VCS_170","b","VCS_270","c","VCS_70","a",1647,69214,"VCS_270","c"
"A3HPLIWSXW3XV8",3,15,"VCS_70","a","VCS_330","d","VCS_250","c","VCS_170","b",2422,72658,"VCS_170","b"
"A3HPLIWSXW3XV8",3,16,"VCS_160","b","VCS_80","a","VCS_240","c","VCS_340","d",2129,75812,"VCS_80","a"
"A3HPLIWSXW3XV8",3,17,"VCS_170","b","VCS_270","c","VCS_70","a","VCS_350","d",2360,79193,"VCS_70","a"
"A3HPLIWSXW3XV8",3,18,"VCS_240","c","VCS_330","d","VCS_60","a","VCS_150","b",4003,84218,"VCS_330","d"
"A3HPLIWSXW3XV8",3,19,"VCS_260","c","VCS_80","a","VCS_350","d","VCS_170","b",3405,88633,"VCS_350","d"
"A3HPLIWSXW3XV8",3,20,"VCS_340","d","VCS_160","b","VCS_240","c","VCS_80","a",1218,90866,"VCS_240","c"
"A3HPLIWSXW3XV8",3,21,"VCS_340","d","VCS_160","b","VCS_260","c","VCS_60","a",1939,93825,"VCS_260","c"
"A3HPLIWSXW3XV8",3,22,"VCS_350","d","VCS_80","a","VCS_260","c","VCS_170","b",2162,97007,"VCS_260","c"
"A3HPLIWSXW3XV8",3,23,"VCS_250","c","VCS_340","d","VCS_160","b","VCS_70","a",2920,100940,"VCS_340","d"
"A3HPLIWSXW3XV8",3,24,"VCS_60","a","VCS_330","d","VCS_150","b","VCS_240","c",1450,103407,"VCS_150","b"
"A3HPLIWSXW3XV8",3,25,"VCS_350","d","VCS_90","a","VCS_250","c","VCS_170","b",1540,105962,"VCS_250","c"
"A3HPLIWSXW3XV8",3,26,"VCS_330","d","VCS_150","b","VCS_60","a","VCS_240","c",4105,111089,"VCS_240","c"
"A3HPLIWSXW3XV8",3,27,"VCS_360","d","VCS_180","b","VCS_270","c","VCS_90","a",4519,116626,"VCS_90","a"
"A3HPLIWSXW3XV8",3,28,"VCS_80","a","VCS_260","c","VCS_360","d","VCS_160","b",2304,119946,"VCS_160","b"
"A3HPLIWSXW3XV8",3,29,"VCS_70","a","VCS_340","d","VCS_160","b","VCS_250","c",1599,122560,"VCS_160","b"
"A3HPLIWSXW3XV8",3,30,"VCS_250","c","VCS_350","d","VCS_150","b","VCS_70","a",1737,125304,"VCS_350","d"
"A3HPLIWSXW3XV8",3,31,"VCS_150","b","VCS_60","a","VCS_330","d","VCS_240","c",2738,129055,"VCS_60","a"
