subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A3I40B0FATY8VH",3,0,"VCS_80","a","VCS_360","d","VCS_160","b","VCS_260","c",1422,15963,"VCS_160","b"
"A3I40B0FATY8VH",3,1,"VCS_360","d","VCS_90","a","VCS_270","c","VCS_180","b",1652,18618,"VCS_270","c"
"A3I40B0FATY8VH",3,2,"VCS_260","c","VCS_180","b","VCS_80","a","VCS_340","d",2325,21948,"VCS_340","d"
"A3I40B0FATY8VH",3,3,"VCS_270","c","VCS_360","d","VCS_180","b","VCS_90","a",1354,24307,"VCS_360","d"
"A3I40B0FATY8VH",3,4,"VCS_260","c","VCS_80","a","VCS_350","d","VCS_170","b",1553,26866,"VCS_350","d"
"A3I40B0FATY8VH",3,5,"VCS_150","b","VCS_60","a","VCS_240","c","VCS_330","d",1996,29867,"VCS_60","a"
"A3I40B0FATY8VH",3,6,"VCS_170","b","VCS_270","c","VCS_70","a","VCS_350","d",1839,32710,"VCS_70","a"
"A3I40B0FATY8VH",3,7,"VCS_70","a","VCS_250","c","VCS_340","d","VCS_160","b",1691,35406,"VCS_160","b"
"A3I40B0FATY8VH",3,8,"VCS_80","a","VCS_260","c","VCS_170","b","VCS_350","d",2072,38484,"VCS_170","b"
"A3I40B0FATY8VH",3,9,"VCS_350","d","VCS_170","b","VCS_270","c","VCS_70","a",2136,41626,"VCS_270","c"
"A3I40B0FATY8VH",3,10,"VCS_340","d","VCS_60","a","VCS_260","c","VCS_160","b",819,43448,"VCS_260","c"
"A3I40B0FATY8VH",3,11,"VCS_170","b","VCS_350","d","VCS_80","a","VCS_260","c",2461,46912,"VCS_80","a"
"A3I40B0FATY8VH",3,12,"VCS_70","a","VCS_330","d","VCS_250","c","VCS_170","b",2465,50382,"VCS_330","d"
"A3I40B0FATY8VH",3,13,"VCS_160","b","VCS_260","c","VCS_60","a","VCS_340","d",2075,53462,"VCS_60","a"
"A3I40B0FATY8VH",3,14,"VCS_330","d","VCS_150","b","VCS_240","c","VCS_60","a",2352,56820,"VCS_240","c"
"A3I40B0FATY8VH",3,15,"VCS_260","c","VCS_160","b","VCS_80","a","VCS_360","d",2945,60768,"VCS_360","d"
"A3I40B0FATY8VH",3,16,"VCS_180","b","VCS_90","a","VCS_360","d","VCS_270","c",1569,63340,"VCS_90","a"
"A3I40B0FATY8VH",3,17,"VCS_350","d","VCS_170","b","VCS_90","a","VCS_250","c",1101,65444,"VCS_250","c"
"A3I40B0FATY8VH",3,18,"VCS_160","b","VCS_70","a","VCS_340","d","VCS_250","c",4224,70672,"VCS_70","a"
"A3I40B0FATY8VH",3,19,"VCS_60","a","VCS_150","b","VCS_240","c","VCS_330","d",1922,73600,"VCS_150","b"
"A3I40B0FATY8VH",3,20,"VCS_250","c","VCS_350","d","VCS_150","b","VCS_70","a",2074,76680,"VCS_350","d"
"A3I40B0FATY8VH",3,21,"VCS_350","d","VCS_80","a","VCS_260","c","VCS_170","b",3480,81163,"VCS_260","c"
"A3I40B0FATY8VH",3,22,"VCS_70","a","VCS_150","b","VCS_250","c","VCS_350","d",2365,84534,"VCS_150","b"
"A3I40B0FATY8VH",3,23,"VCS_250","c","VCS_340","d","VCS_70","a","VCS_160","b",1676,87212,"VCS_340","d"
"A3I40B0FATY8VH",3,24,"VCS_250","c","VCS_70","a","VCS_330","d","VCS_170","b",1356,89572,"VCS_330","d"
"A3I40B0FATY8VH",3,25,"VCS_160","b","VCS_80","a","VCS_240","c","VCS_340","d",1662,92241,"VCS_80","a"
"A3I40B0FATY8VH",3,26,"VCS_240","c","VCS_150","b","VCS_330","d","VCS_60","a",1710,94955,"VCS_330","d"
"A3I40B0FATY8VH",3,27,"VCS_170","b","VCS_350","d","VCS_90","a","VCS_250","c",2611,98570,"VCS_90","a"
"A3I40B0FATY8VH",3,28,"VCS_80","a","VCS_180","b","VCS_340","d","VCS_260","c",2053,101628,"VCS_340","d"
"A3I40B0FATY8VH",3,29,"VCS_90","a","VCS_360","d","VCS_270","c","VCS_180","b",1992,104624,"VCS_360","d"
"A3I40B0FATY8VH",3,30,"VCS_340","d","VCS_70","a","VCS_160","b","VCS_250","c",2364,107995,"VCS_250","c"
"A3I40B0FATY8VH",3,31,"VCS_340","d","VCS_240","c","VCS_160","b","VCS_80","a",2152,111150,"VCS_240","c"
