subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A3LVLZS8S41ZD7",3,0,"VCS_240","c","VCS_150","b","VCS_330","d","VCS_60","a",2182,40104,"VCS_330","d"
"A3LVLZS8S41ZD7",3,1,"VCS_340","d","VCS_80","a","VCS_160","b","VCS_240","c",1475,42600,"VCS_240","c"
"A3LVLZS8S41ZD7",3,2,"VCS_350","d","VCS_70","a","VCS_170","b","VCS_270","c",1312,44928,"VCS_270","c"
"A3LVLZS8S41ZD7",3,3,"VCS_340","d","VCS_70","a","VCS_160","b","VCS_250","c",1655,47614,"VCS_250","c"
"A3LVLZS8S41ZD7",3,4,"VCS_70","a","VCS_170","b","VCS_330","d","VCS_250","c",2755,51400,"VCS_170","b"
"A3LVLZS8S41ZD7",3,5,"VCS_360","d","VCS_90","a","VCS_180","b","VCS_270","c",2235,54648,"VCS_270","c"
"A3LVLZS8S41ZD7",3,6,"VCS_70","a","VCS_160","b","VCS_340","d","VCS_250","c",1908,57576,"VCS_160","b"
"A3LVLZS8S41ZD7",3,7,"VCS_70","a","VCS_150","b","VCS_250","c","VCS_350","d",1024,59616,"VCS_150","b"
"A3LVLZS8S41ZD7",3,8,"VCS_170","b","VCS_250","c","VCS_90","a","VCS_350","d",1068,61696,"VCS_90","a"
"A3LVLZS8S41ZD7",3,9,"VCS_350","d","VCS_170","b","VCS_250","c","VCS_90","a",1101,63816,"VCS_250","c"
"A3LVLZS8S41ZD7",3,10,"VCS_80","a","VCS_170","b","VCS_260","c","VCS_350","d",914,65760,"VCS_170","b"
"A3LVLZS8S41ZD7",3,11,"VCS_180","b","VCS_360","d","VCS_270","c","VCS_90","a",1137,67920,"VCS_90","a"
"A3LVLZS8S41ZD7",3,12,"VCS_270","c","VCS_180","b","VCS_90","a","VCS_360","d",1278,70224,"VCS_360","d"
"A3LVLZS8S41ZD7",3,13,"VCS_250","c","VCS_170","b","VCS_70","a","VCS_330","d",797,72040,"VCS_330","d"
"A3LVLZS8S41ZD7",3,14,"VCS_170","b","VCS_260","c","VCS_80","a","VCS_350","d",1115,74176,"VCS_80","a"
"A3LVLZS8S41ZD7",3,15,"VCS_150","b","VCS_60","a","VCS_330","d","VCS_240","c",920,76112,"VCS_60","a"
"A3LVLZS8S41ZD7",3,16,"VCS_160","b","VCS_250","c","VCS_70","a","VCS_340","d",909,78048,"VCS_70","a"
"A3LVLZS8S41ZD7",3,17,"VCS_80","a","VCS_160","b","VCS_360","d","VCS_260","c",935,80008,"VCS_160","b"
"A3LVLZS8S41ZD7",3,18,"VCS_340","d","VCS_260","c","VCS_160","b","VCS_60","a",827,81856,"VCS_260","c"
"A3LVLZS8S41ZD7",3,19,"VCS_330","d","VCS_240","c","VCS_60","a","VCS_150","b",757,83640,"VCS_240","c"
"A3LVLZS8S41ZD7",3,20,"VCS_160","b","VCS_80","a","VCS_240","c","VCS_340","d",956,85608,"VCS_80","a"
"A3LVLZS8S41ZD7",3,21,"VCS_160","b","VCS_340","d","VCS_260","c","VCS_60","a",900,87528,"VCS_60","a"
"A3LVLZS8S41ZD7",3,22,"VCS_260","c","VCS_340","d","VCS_80","a","VCS_180","b",821,89368,"VCS_340","d"
"A3LVLZS8S41ZD7",3,23,"VCS_350","d","VCS_260","c","VCS_80","a","VCS_170","b",643,91024,"VCS_260","c"
"A3LVLZS8S41ZD7",3,24,"VCS_90","a","VCS_360","d","VCS_180","b","VCS_270","c",849,92896,"VCS_180","b"
"A3LVLZS8S41ZD7",3,25,"VCS_260","c","VCS_170","b","VCS_350","d","VCS_80","a",734,94648,"VCS_350","d"
"A3LVLZS8S41ZD7",3,26,"VCS_260","c","VCS_160","b","VCS_80","a","VCS_360","d",843,96520,"VCS_360","d"
"A3LVLZS8S41ZD7",3,27,"VCS_250","c","VCS_340","d","VCS_160","b","VCS_70","a",1088,98632,"VCS_340","d"
"A3LVLZS8S41ZD7",3,28,"VCS_170","b","VCS_70","a","VCS_270","c","VCS_350","d",1108,100768,"VCS_70","a"
"A3LVLZS8S41ZD7",3,29,"VCS_60","a","VCS_150","b","VCS_330","d","VCS_240","c",719,102512,"VCS_150","b"
"A3LVLZS8S41ZD7",3,30,"VCS_250","c","VCS_70","a","VCS_350","d","VCS_150","b",724,104264,"VCS_350","d"
"A3LVLZS8S41ZD7",3,31,"VCS_80","a","VCS_260","c","VCS_180","b","VCS_340","d",937,106232,"VCS_180","b"
