subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A3Q6YRWUMALT6D",1,0,"VCS_70","a","VCS_350","d","VCS_150","b","VCS_250","c",1751,15086,"VCS_150","b"
"A3Q6YRWUMALT6D",1,1,"VCS_250","c","VCS_330","d","VCS_170","b","VCS_70","a",1909,18013,"VCS_330","d"
"A3Q6YRWUMALT6D",1,2,"VCS_60","a","VCS_240","c","VCS_330","d","VCS_150","b",4376,23413,"VCS_330","d"
"A3Q6YRWUMALT6D",1,3,"VCS_80","a","VCS_180","b","VCS_340","d","VCS_260","c",2145,26582,"VCS_180","b"
"A3Q6YRWUMALT6D",1,4,"VCS_360","d","VCS_90","a","VCS_270","c","VCS_180","b",1301,28901,"VCS_270","c"
"A3Q6YRWUMALT6D",1,5,"VCS_270","c","VCS_90","a","VCS_360","d","VCS_180","b",771,30703,"VCS_360","d"
"A3Q6YRWUMALT6D",1,6,"VCS_330","d","VCS_60","a","VCS_240","c","VCS_150","b",660,32378,"VCS_240","c"
"A3Q6YRWUMALT6D",1,7,"VCS_160","b","VCS_240","c","VCS_80","a","VCS_340","d",1132,34533,"VCS_240","c"
"A3Q6YRWUMALT6D",1,8,"VCS_340","d","VCS_260","c","VCS_160","b","VCS_60","a",997,36552,"VCS_60","a"
"A3Q6YRWUMALT6D",1,9,"VCS_340","d","VCS_70","a","VCS_250","c","VCS_160","b",1430,38984,"VCS_250","c"
"A3Q6YRWUMALT6D",1,10,"VCS_160","b","VCS_250","c","VCS_340","d","VCS_70","a",1067,41070,"VCS_250","c"
"A3Q6YRWUMALT6D",1,11,"VCS_250","c","VCS_160","b","VCS_340","d","VCS_70","a",2446,44525,"VCS_160","b"
"A3Q6YRWUMALT6D",1,12,"VCS_350","d","VCS_90","a","VCS_250","c","VCS_170","b",1353,46909,"VCS_250","c"
"A3Q6YRWUMALT6D",1,13,"VCS_350","d","VCS_80","a","VCS_170","b","VCS_260","c",1919,49860,"VCS_260","c"
"A3Q6YRWUMALT6D",1,14,"VCS_170","b","VCS_350","d","VCS_70","a","VCS_270","c",2496,53380,"VCS_70","a"
"A3Q6YRWUMALT6D",1,15,"VCS_160","b","VCS_260","c","VCS_60","a","VCS_340","d",1708,56115,"VCS_60","a"
"A3Q6YRWUMALT6D",1,16,"VCS_180","b","VCS_90","a","VCS_360","d","VCS_270","c",1255,58389,"VCS_90","a"
"A3Q6YRWUMALT6D",1,17,"VCS_80","a","VCS_260","c","VCS_170","b","VCS_350","d",900,60315,"VCS_170","b"
"A3Q6YRWUMALT6D",1,18,"VCS_80","a","VCS_260","c","VCS_360","d","VCS_160","b",2026,63356,"VCS_160","b"
"A3Q6YRWUMALT6D",1,19,"VCS_350","d","VCS_270","c","VCS_70","a","VCS_170","b",2543,66915,"VCS_270","c"
"A3Q6YRWUMALT6D",1,20,"VCS_170","b","VCS_90","a","VCS_350","d","VCS_250","c",1844,69764,"VCS_90","a"
"A3Q6YRWUMALT6D",1,21,"VCS_240","c","VCS_150","b","VCS_330","d","VCS_60","a",1970,72760,"VCS_330","d"
"A3Q6YRWUMALT6D",1,22,"VCS_260","c","VCS_80","a","VCS_180","b","VCS_340","d",2299,76088,"VCS_340","d"
"A3Q6YRWUMALT6D",1,23,"VCS_260","c","VCS_170","b","VCS_80","a","VCS_350","d",2300,79407,"VCS_350","d"
"A3Q6YRWUMALT6D",1,24,"VCS_170","b","VCS_80","a","VCS_260","c","VCS_350","d",2113,82552,"VCS_80","a"
"A3Q6YRWUMALT6D",1,25,"VCS_340","d","VCS_240","c","VCS_80","a","VCS_160","b",1212,84793,"VCS_240","c"
"A3Q6YRWUMALT6D",1,26,"VCS_250","c","VCS_350","d","VCS_150","b","VCS_70","a",1440,87262,"VCS_350","d"
"A3Q6YRWUMALT6D",1,27,"VCS_70","a","VCS_330","d","VCS_250","c","VCS_170","b",2378,90667,"VCS_170","b"
"A3Q6YRWUMALT6D",1,28,"VCS_90","a","VCS_180","b","VCS_270","c","VCS_360","d",1226,92918,"VCS_180","b"
"A3Q6YRWUMALT6D",1,29,"VCS_260","c","VCS_160","b","VCS_80","a","VCS_360","d",3692,97636,"VCS_360","d"
"A3Q6YRWUMALT6D",1,30,"VCS_150","b","VCS_240","c","VCS_60","a","VCS_330","d",1583,100245,"VCS_60","a"
"A3Q6YRWUMALT6D",1,31,"VCS_70","a","VCS_250","c","VCS_340","d","VCS_160","b",1345,102612,"VCS_160","b"
