subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A3V2XCDF45VN9X",1,0,"VCS_160","b","VCS_70","a","VCS_340","d","VCS_250","c",2273,9694,"VCS_70","a"
"A3V2XCDF45VN9X",1,1,"VCS_250","c","VCS_160","b","VCS_70","a","VCS_340","d",5897,16601,"VCS_340","d"
"A3V2XCDF45VN9X",1,2,"VCS_260","c","VCS_180","b","VCS_340","d","VCS_80","a",1850,19460,"VCS_340","d"
"A3V2XCDF45VN9X",1,3,"VCS_350","d","VCS_70","a","VCS_270","c","VCS_170","b",2302,22769,"VCS_270","c"
"A3V2XCDF45VN9X",1,4,"VCS_330","d","VCS_150","b","VCS_240","c","VCS_60","a",1634,25412,"VCS_240","c"
"A3V2XCDF45VN9X",1,5,"VCS_350","d","VCS_250","c","VCS_170","b","VCS_90","a",1732,28151,"VCS_250","c"
"A3V2XCDF45VN9X",1,6,"VCS_170","b","VCS_70","a","VCS_270","c","VCS_350","d",2581,31740,"VCS_70","a"
"A3V2XCDF45VN9X",1,7,"VCS_80","a","VCS_160","b","VCS_260","c","VCS_360","d",1206,33955,"VCS_160","b"
"A3V2XCDF45VN9X",1,8,"VCS_60","a","VCS_330","d","VCS_150","b","VCS_240","c",1359,36321,"VCS_150","b"
"A3V2XCDF45VN9X",1,9,"VCS_260","c","VCS_170","b","VCS_350","d","VCS_80","a",1889,39218,"VCS_350","d"
"A3V2XCDF45VN9X",1,10,"VCS_340","d","VCS_160","b","VCS_70","a","VCS_250","c",1477,41704,"VCS_250","c"
"A3V2XCDF45VN9X",1,11,"VCS_350","d","VCS_260","c","VCS_80","a","VCS_170","b",1245,43957,"VCS_260","c"
"A3V2XCDF45VN9X",1,12,"VCS_80","a","VCS_340","d","VCS_180","b","VCS_260","c",1309,46275,"VCS_180","b"
"A3V2XCDF45VN9X",1,13,"VCS_270","c","VCS_90","a","VCS_180","b","VCS_360","d",2952,50235,"VCS_360","d"
"A3V2XCDF45VN9X",1,14,"VCS_360","d","VCS_90","a","VCS_270","c","VCS_180","b",1190,52432,"VCS_270","c"
"A3V2XCDF45VN9X",1,15,"VCS_70","a","VCS_330","d","VCS_250","c","VCS_170","b",1926,55365,"VCS_170","b"
"A3V2XCDF45VN9X",1,16,"VCS_180","b","VCS_90","a","VCS_360","d","VCS_270","c",4086,60457,"VCS_90","a"
"A3V2XCDF45VN9X",1,17,"VCS_250","c","VCS_70","a","VCS_150","b","VCS_350","d",2352,63816,"VCS_350","d"
"A3V2XCDF45VN9X",1,18,"VCS_80","a","VCS_170","b","VCS_260","c","VCS_350","d",1345,66169,"VCS_170","b"
"A3V2XCDF45VN9X",1,19,"VCS_260","c","VCS_80","a","VCS_160","b","VCS_360","d",1725,68902,"VCS_360","d"
"A3V2XCDF45VN9X",1,20,"VCS_240","c","VCS_150","b","VCS_60","a","VCS_330","d",2182,72090,"VCS_330","d"
"A3V2XCDF45VN9X",1,21,"VCS_250","c","VCS_330","d","VCS_70","a","VCS_170","b",1965,75064,"VCS_330","d"
"A3V2XCDF45VN9X",1,22,"VCS_70","a","VCS_150","b","VCS_350","d","VCS_250","c",1234,77306,"VCS_150","b"
"A3V2XCDF45VN9X",1,23,"VCS_340","d","VCS_160","b","VCS_240","c","VCS_80","a",1543,79857,"VCS_240","c"
"A3V2XCDF45VN9X",1,24,"VCS_170","b","VCS_350","d","VCS_260","c","VCS_80","a",2490,83354,"VCS_80","a"
"A3V2XCDF45VN9X",1,25,"VCS_160","b","VCS_60","a","VCS_260","c","VCS_340","d",4284,88648,"VCS_60","a"
"A3V2XCDF45VN9X",1,26,"VCS_340","d","VCS_60","a","VCS_260","c","VCS_160","b",1183,90840,"VCS_260","c"
"A3V2XCDF45VN9X",1,27,"VCS_160","b","VCS_240","c","VCS_340","d","VCS_80","a",2020,93868,"VCS_80","a"
"A3V2XCDF45VN9X",1,28,"VCS_90","a","VCS_180","b","VCS_360","d","VCS_270","c",1439,96316,"VCS_180","b"
"A3V2XCDF45VN9X",1,29,"VCS_70","a","VCS_160","b","VCS_250","c","VCS_340","d",1167,98489,"VCS_160","b"
"A3V2XCDF45VN9X",1,30,"VCS_170","b","VCS_350","d","VCS_250","c","VCS_90","a",2361,101856,"VCS_90","a"
"A3V2XCDF45VN9X",1,31,"VCS_150","b","VCS_240","c","VCS_330","d","VCS_60","a",1138,104002,"VCS_60","a"
