subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"A4KNY0W5KXXZZ",1,0,"VCS_170","b","VCS_350","d","VCS_260","c","VCS_80","a",1147,55953,"VCS_260","c"
"A4KNY0W5KXXZZ",1,1,"VCS_250","c","VCS_330","d","VCS_170","b","VCS_70","a",754,57729,"VCS_170","b"
"A4KNY0W5KXXZZ",1,2,"VCS_350","d","VCS_70","a","VCS_270","c","VCS_170","b",814,59561,"VCS_70","a"
"A4KNY0W5KXXZZ",1,3,"VCS_340","d","VCS_80","a","VCS_160","b","VCS_240","c",728,61305,"VCS_80","a"
"A4KNY0W5KXXZZ",1,4,"VCS_340","d","VCS_60","a","VCS_260","c","VCS_160","b",1047,63369,"VCS_60","a"
"A4KNY0W5KXXZZ",1,5,"VCS_350","d","VCS_90","a","VCS_170","b","VCS_250","c",835,65209,"VCS_90","a"
"A4KNY0W5KXXZZ",1,6,"VCS_250","c","VCS_70","a","VCS_350","d","VCS_150","b",757,66985,"VCS_350","d"
"A4KNY0W5KXXZZ",1,7,"VCS_60","a","VCS_240","c","VCS_150","b","VCS_330","d",1291,69297,"VCS_330","d"
"A4KNY0W5KXXZZ",1,8,"VCS_70","a","VCS_160","b","VCS_340","d","VCS_250","c",1085,71393,"VCS_340","d"
"A4KNY0W5KXXZZ",1,9,"VCS_80","a","VCS_160","b","VCS_260","c","VCS_360","d",880,73281,"VCS_360","d"
"A4KNY0W5KXXZZ",1,10,"VCS_170","b","VCS_350","d","VCS_250","c","VCS_90","a",1288,75585,"VCS_250","c"
"A4KNY0W5KXXZZ",1,11,"VCS_250","c","VCS_160","b","VCS_70","a","VCS_340","d",775,77369,"VCS_340","d"
"A4KNY0W5KXXZZ",1,12,"VCS_150","b","VCS_60","a","VCS_240","c","VCS_330","d",868,79257,"VCS_240","c"
"A4KNY0W5KXXZZ",1,13,"VCS_160","b","VCS_260","c","VCS_60","a","VCS_340","d",794,81057,"VCS_260","c"
"A4KNY0W5KXXZZ",1,14,"VCS_260","c","VCS_80","a","VCS_360","d","VCS_160","b",905,82977,"VCS_80","a"
"A4KNY0W5KXXZZ",1,15,"VCS_340","d","VCS_250","c","VCS_70","a","VCS_160","b",781,84785,"VCS_250","c"
"A4KNY0W5KXXZZ",1,16,"VCS_180","b","VCS_270","c","VCS_90","a","VCS_360","d",832,86633,"VCS_270","c"
"A4KNY0W5KXXZZ",1,17,"VCS_80","a","VCS_350","d","VCS_260","c","VCS_170","b",927,88577,"VCS_260","c"
"A4KNY0W5KXXZZ",1,18,"VCS_260","c","VCS_80","a","VCS_180","b","VCS_340","d",723,90314,"VCS_80","a"
"A4KNY0W5KXXZZ",1,19,"VCS_160","b","VCS_80","a","VCS_340","d","VCS_240","c",1935,93258,"VCS_240","c"
"A4KNY0W5KXXZZ",1,20,"VCS_70","a","VCS_250","c","VCS_350","d","VCS_150","b",890,95162,"VCS_350","d"
"A4KNY0W5KXXZZ",1,21,"VCS_360","d","VCS_90","a","VCS_270","c","VCS_180","b",1736,97906,"VCS_90","a"
"A4KNY0W5KXXZZ",1,22,"VCS_80","a","VCS_260","c","VCS_180","b","VCS_340","d",2251,101178,"VCS_340","d"
"A4KNY0W5KXXZZ",1,23,"VCS_160","b","VCS_70","a","VCS_250","c","VCS_340","d",1817,104002,"VCS_250","c"
"A4KNY0W5KXXZZ",1,24,"VCS_330","d","VCS_60","a","VCS_240","c","VCS_150","b",2175,107210,"VCS_60","a"
"A4KNY0W5KXXZZ",1,25,"VCS_240","c","VCS_60","a","VCS_150","b","VCS_330","d",1080,109306,"VCS_150","b"
"A4KNY0W5KXXZZ",1,26,"VCS_70","a","VCS_250","c","VCS_170","b","VCS_330","d",2108,112442,"VCS_330","d"
"A4KNY0W5KXXZZ",1,27,"VCS_170","b","VCS_350","d","VCS_270","c","VCS_70","a",1707,115154,"VCS_270","c"
"A4KNY0W5KXXZZ",1,28,"VCS_350","d","VCS_80","a","VCS_170","b","VCS_260","c",964,117139,"VCS_80","a"
"A4KNY0W5KXXZZ",1,29,"VCS_260","c","VCS_80","a","VCS_350","d","VCS_170","b",1777,119938,"VCS_80","a"
"A4KNY0W5KXXZZ",1,30,"VCS_270","c","VCS_90","a","VCS_360","d","VCS_180","b",1248,122202,"VCS_90","a"
"A4KNY0W5KXXZZ",1,31,"VCS_90","a","VCS_360","d","VCS_180","b","VCS_270","c",1248,124458,"VCS_360","d"
