subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"AB09F0Q4T10TE",1,0,"VCS_180","b","VCS_270","c","VCS_360","d","VCS_90","a",2419,24462,"VCS_270","c"
"AB09F0Q4T10TE",1,1,"VCS_170","b","VCS_70","a","VCS_350","d","VCS_270","c",2453,27934,"VCS_270","c"
"AB09F0Q4T10TE",1,2,"VCS_70","a","VCS_250","c","VCS_170","b","VCS_330","d",6219,35182,"VCS_170","b"
"AB09F0Q4T10TE",1,3,"VCS_340","d","VCS_60","a","VCS_160","b","VCS_260","c",989,37190,"VCS_60","a"
"AB09F0Q4T10TE",1,4,"VCS_150","b","VCS_60","a","VCS_330","d","VCS_240","c",2712,40934,"VCS_240","c"
"AB09F0Q4T10TE",1,5,"VCS_330","d","VCS_150","b","VCS_240","c","VCS_60","a",3063,45014,"VCS_240","c"
"AB09F0Q4T10TE",1,6,"VCS_160","b","VCS_80","a","VCS_340","d","VCS_240","c",1469,47502,"VCS_240","c"
"AB09F0Q4T10TE",1,7,"VCS_250","c","VCS_150","b","VCS_70","a","VCS_350","d",1962,50494,"VCS_150","b"
"AB09F0Q4T10TE",1,8,"VCS_70","a","VCS_340","d","VCS_160","b","VCS_250","c",6465,57966,"VCS_160","b"
"AB09F0Q4T10TE",1,9,"VCS_160","b","VCS_340","d","VCS_260","c","VCS_60","a",7760,66742,"VCS_60","a"
"AB09F0Q4T10TE",1,10,"VCS_340","d","VCS_160","b","VCS_80","a","VCS_240","c",4576,72358,"VCS_240","c"
"AB09F0Q4T10TE",1,11,"VCS_170","b","VCS_80","a","VCS_260","c","VCS_350","d",11999,85382,"VCS_80","a"
"AB09F0Q4T10TE",1,12,"VCS_80","a","VCS_260","c","VCS_340","d","VCS_180","b",24865,111254,"VCS_260","c"
"AB09F0Q4T10TE",1,13,"VCS_250","c","VCS_170","b","VCS_330","d","VCS_70","a",3654,115926,"VCS_330","d"
"AB09F0Q4T10TE",1,14,"VCS_160","b","VCS_340","d","VCS_70","a","VCS_250","c",6983,123934,"VCS_250","c"
"AB09F0Q4T10TE",1,15,"VCS_240","c","VCS_330","d","VCS_60","a","VCS_150","b",2644,127590,"VCS_330","d"
"AB09F0Q4T10TE",1,16,"VCS_360","d","VCS_90","a","VCS_180","b","VCS_270","c",2539,131150,"VCS_270","c"
"AB09F0Q4T10TE",1,17,"VCS_70","a","VCS_350","d","VCS_150","b","VCS_250","c",2011,134182,"VCS_150","b"
"AB09F0Q4T10TE",1,18,"VCS_260","c","VCS_80","a","VCS_170","b","VCS_350","d",2480,137702,"VCS_350","d"
"AB09F0Q4T10TE",1,19,"VCS_270","c","VCS_360","d","VCS_180","b","VCS_90","a",4863,143574,"VCS_360","d"
"AB09F0Q4T10TE",1,20,"VCS_90","a","VCS_180","b","VCS_360","d","VCS_270","c",9792,154374,"VCS_180","b"
"AB09F0Q4T10TE",1,21,"VCS_80","a","VCS_260","c","VCS_170","b","VCS_350","d",3740,159142,"VCS_170","b"
"AB09F0Q4T10TE",1,22,"VCS_260","c","VCS_80","a","VCS_360","d","VCS_160","b",1209,161390,"VCS_360","d"
"AB09F0Q4T10TE",1,23,"VCS_60","a","VCS_150","b","VCS_330","d","VCS_240","c",1784,164206,"VCS_150","b"
"AB09F0Q4T10TE",1,24,"VCS_260","c","VCS_340","d","VCS_180","b","VCS_80","a",1272,166502,"VCS_340","d"
"AB09F0Q4T10TE",1,25,"VCS_170","b","VCS_350","d","VCS_250","c","VCS_90","a",2268,169790,"VCS_250","c"
"AB09F0Q4T10TE",1,26,"VCS_80","a","VCS_160","b","VCS_260","c","VCS_360","d",2452,173262,"VCS_260","c"
"AB09F0Q4T10TE",1,27,"VCS_350","d","VCS_70","a","VCS_270","c","VCS_170","b",10604,184894,"VCS_270","c"
"AB09F0Q4T10TE",1,28,"VCS_350","d","VCS_250","c","VCS_170","b","VCS_90","a",2032,187942,"VCS_250","c"
"AB09F0Q4T10TE",1,29,"VCS_350","d","VCS_260","c","VCS_170","b","VCS_80","a",1466,190438,"VCS_260","c"
"AB09F0Q4T10TE",1,30,"VCS_340","d","VCS_70","a","VCS_160","b","VCS_250","c",2128,193598,"VCS_250","c"
"AB09F0Q4T10TE",1,31,"VCS_250","c","VCS_160","b","VCS_340","d","VCS_70","a",1483,196094,"VCS_340","d"
