subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"AF0W4ZBY7VXOU",1,0,"VCS_70","a","VCS_340","d","VCS_250","c","VCS_160","b",4331,24545,"VCS_160","b"
"AF0W4ZBY7VXOU",1,1,"VCS_250","c","VCS_330","d","VCS_70","a","VCS_170","b",1567,27134,"VCS_330","d"
"AF0W4ZBY7VXOU",1,2,"VCS_170","b","VCS_270","c","VCS_70","a","VCS_350","d",1895,30046,"VCS_70","a"
"AF0W4ZBY7VXOU",1,3,"VCS_340","d","VCS_250","c","VCS_70","a","VCS_160","b",1125,32186,"VCS_250","c"
"AF0W4ZBY7VXOU",1,4,"VCS_80","a","VCS_360","d","VCS_260","c","VCS_160","b",1164,34368,"VCS_160","b"
"AF0W4ZBY7VXOU",1,5,"VCS_160","b","VCS_260","c","VCS_60","a","VCS_340","d",2211,37591,"VCS_60","a"
"AF0W4ZBY7VXOU",1,6,"VCS_60","a","VCS_150","b","VCS_330","d","VCS_240","c",1033,39641,"VCS_150","b"
"AF0W4ZBY7VXOU",1,7,"VCS_330","d","VCS_240","c","VCS_60","a","VCS_150","b",1543,42200,"VCS_240","c"
"AF0W4ZBY7VXOU",1,8,"VCS_70","a","VCS_150","b","VCS_250","c","VCS_350","d",1237,44462,"VCS_150","b"
"AF0W4ZBY7VXOU",1,9,"VCS_150","b","VCS_60","a","VCS_330","d","VCS_240","c",1140,46613,"VCS_60","a"
"AF0W4ZBY7VXOU",1,10,"VCS_90","a","VCS_270","c","VCS_360","d","VCS_180","b",1420,49056,"VCS_180","b"
"AF0W4ZBY7VXOU",1,11,"VCS_80","a","VCS_260","c","VCS_340","d","VCS_180","b",1224,51291,"VCS_180","b"
"AF0W4ZBY7VXOU",1,12,"VCS_250","c","VCS_70","a","VCS_160","b","VCS_340","d",1722,54027,"VCS_340","d"
"AF0W4ZBY7VXOU",1,13,"VCS_340","d","VCS_160","b","VCS_260","c","VCS_60","a",1759,56811,"VCS_260","c"
"AF0W4ZBY7VXOU",1,14,"VCS_350","d","VCS_260","c","VCS_170","b","VCS_80","a",1175,59013,"VCS_260","c"
"AF0W4ZBY7VXOU",1,15,"VCS_250","c","VCS_350","d","VCS_150","b","VCS_70","a",840,60870,"VCS_350","d"
"AF0W4ZBY7VXOU",1,16,"VCS_170","b","VCS_90","a","VCS_350","d","VCS_250","c",2081,63965,"VCS_90","a"
"AF0W4ZBY7VXOU",1,17,"VCS_180","b","VCS_270","c","VCS_360","d","VCS_90","a",2324,67308,"VCS_90","a"
"AF0W4ZBY7VXOU",1,18,"VCS_160","b","VCS_340","d","VCS_240","c","VCS_80","a",2032,70361,"VCS_80","a"
"AF0W4ZBY7VXOU",1,19,"VCS_80","a","VCS_350","d","VCS_260","c","VCS_170","b",1962,73343,"VCS_170","b"
"AF0W4ZBY7VXOU",1,20,"VCS_350","d","VCS_90","a","VCS_250","c","VCS_170","b",1805,76162,"VCS_250","c"
"AF0W4ZBY7VXOU",1,21,"VCS_350","d","VCS_170","b","VCS_270","c","VCS_70","a",992,78177,"VCS_270","c"
"AF0W4ZBY7VXOU",1,22,"VCS_70","a","VCS_250","c","VCS_170","b","VCS_330","d",1992,81186,"VCS_170","b"
"AF0W4ZBY7VXOU",1,23,"VCS_170","b","VCS_350","d","VCS_260","c","VCS_80","a",1615,83816,"VCS_80","a"
"AF0W4ZBY7VXOU",1,24,"VCS_340","d","VCS_160","b","VCS_240","c","VCS_80","a",857,85695,"VCS_240","c"
"AF0W4ZBY7VXOU",1,25,"VCS_270","c","VCS_360","d","VCS_90","a","VCS_180","b",954,87661,"VCS_360","d"
"AF0W4ZBY7VXOU",1,26,"VCS_360","d","VCS_180","b","VCS_90","a","VCS_270","c",1499,90189,"VCS_270","c"
"AF0W4ZBY7VXOU",1,27,"VCS_260","c","VCS_80","a","VCS_350","d","VCS_170","b",913,92116,"VCS_350","d"
"AF0W4ZBY7VXOU",1,28,"VCS_260","c","VCS_180","b","VCS_340","d","VCS_80","a",866,93997,"VCS_340","d"
"AF0W4ZBY7VXOU",1,29,"VCS_160","b","VCS_340","d","VCS_70","a","VCS_250","c",1051,96066,"VCS_70","a"
"AF0W4ZBY7VXOU",1,30,"VCS_240","c","VCS_150","b","VCS_330","d","VCS_60","a",1086,98169,"VCS_330","d"
"AF0W4ZBY7VXOU",1,31,"VCS_260","c","VCS_80","a","VCS_360","d","VCS_160","b",779,99962,"VCS_360","d"
