subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"AJ7MWBQFNH3E4",1,0,"VCS_340","d","VCS_160","b","VCS_70","a","VCS_250","c",3549,18841,"VCS_250","c"
"AJ7MWBQFNH3E4",1,1,"VCS_270","c","VCS_180","b","VCS_360","d","VCS_90","a",1539,21399,"VCS_360","d"
"AJ7MWBQFNH3E4",1,2,"VCS_170","b","VCS_350","d","VCS_270","c","VCS_70","a",1198,23619,"VCS_70","a"
"AJ7MWBQFNH3E4",1,3,"VCS_250","c","VCS_340","d","VCS_160","b","VCS_70","a",758,25393,"VCS_340","d"
"AJ7MWBQFNH3E4",1,4,"VCS_90","a","VCS_360","d","VCS_180","b","VCS_270","c",2620,29034,"VCS_270","c"
"AJ7MWBQFNH3E4",1,5,"VCS_360","d","VCS_90","a","VCS_180","b","VCS_270","c",1117,31166,"VCS_270","c"
"AJ7MWBQFNH3E4",1,6,"VCS_240","c","VCS_60","a","VCS_330","d","VCS_150","b",1421,33611,"VCS_330","d"
"AJ7MWBQFNH3E4",1,7,"VCS_170","b","VCS_350","d","VCS_260","c","VCS_80","a",2101,36725,"VCS_80","a"
"AJ7MWBQFNH3E4",1,8,"VCS_60","a","VCS_240","c","VCS_150","b","VCS_330","d",1057,38800,"VCS_150","b"
"AJ7MWBQFNH3E4",1,9,"VCS_250","c","VCS_330","d","VCS_70","a","VCS_170","b",789,40598,"VCS_330","d"
"AJ7MWBQFNH3E4",1,10,"VCS_350","d","VCS_260","c","VCS_170","b","VCS_80","a",1004,42621,"VCS_260","c"
"AJ7MWBQFNH3E4",1,11,"VCS_250","c","VCS_350","d","VCS_150","b","VCS_70","a",714,44350,"VCS_350","d"
"AJ7MWBQFNH3E4",1,12,"VCS_160","b","VCS_240","c","VCS_80","a","VCS_340","d",756,46133,"VCS_80","a"
"AJ7MWBQFNH3E4",1,13,"VCS_150","b","VCS_240","c","VCS_60","a","VCS_330","d",1426,48584,"VCS_60","a"
"AJ7MWBQFNH3E4",1,14,"VCS_70","a","VCS_250","c","VCS_160","b","VCS_340","d",663,50271,"VCS_160","b"
"AJ7MWBQFNH3E4",1,15,"VCS_180","b","VCS_90","a","VCS_360","d","VCS_270","c",1714,53009,"VCS_90","a"
"AJ7MWBQFNH3E4",1,16,"VCS_260","c","VCS_360","d","VCS_80","a","VCS_160","b",766,54791,"VCS_360","d"
"AJ7MWBQFNH3E4",1,17,"VCS_350","d","VCS_70","a","VCS_170","b","VCS_270","c",1020,56833,"VCS_270","c"
"AJ7MWBQFNH3E4",1,18,"VCS_170","b","VCS_90","a","VCS_350","d","VCS_250","c",988,58844,"VCS_90","a"
"AJ7MWBQFNH3E4",1,19,"VCS_350","d","VCS_90","a","VCS_170","b","VCS_250","c",823,60679,"VCS_90","a"
"AJ7MWBQFNH3E4",1,20,"VCS_330","d","VCS_60","a","VCS_150","b","VCS_240","c",1332,63040,"VCS_240","c"
"AJ7MWBQFNH3E4",1,21,"VCS_70","a","VCS_330","d","VCS_170","b","VCS_250","c",1293,65351,"VCS_170","b"
"AJ7MWBQFNH3E4",1,22,"VCS_80","a","VCS_260","c","VCS_340","d","VCS_180","b",1123,67487,"VCS_340","d"
"AJ7MWBQFNH3E4",1,23,"VCS_260","c","VCS_350","d","VCS_170","b","VCS_80","a",1481,69988,"VCS_350","d"
"AJ7MWBQFNH3E4",1,24,"VCS_80","a","VCS_360","d","VCS_260","c","VCS_160","b",1797,72806,"VCS_160","b"
"AJ7MWBQFNH3E4",1,25,"VCS_80","a","VCS_170","b","VCS_260","c","VCS_350","d",1600,75435,"VCS_170","b"
"AJ7MWBQFNH3E4",1,26,"VCS_160","b","VCS_340","d","VCS_70","a","VCS_250","c",1421,77884,"VCS_70","a"
"AJ7MWBQFNH3E4",1,27,"VCS_260","c","VCS_180","b","VCS_80","a","VCS_340","d",1497,80401,"VCS_340","d"
"AJ7MWBQFNH3E4",1,28,"VCS_340","d","VCS_160","b","VCS_240","c","VCS_80","a",2127,83545,"VCS_240","c"
"AJ7MWBQFNH3E4",1,29,"VCS_160","b","VCS_340","d","VCS_60","a","VCS_260","c",35000,119570,"VCS_60","a"
"AJ7MWBQFNH3E4",1,30,"VCS_340","d","VCS_60","a","VCS_260","c","VCS_160","b",1026,121630,"VCS_260","c"
"AJ7MWBQFNH3E4",1,31,"VCS_70","a","VCS_350","d","VCS_150","b","VCS_250","c",853,123496,"VCS_350","d"
