subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"AK35CJJEYFVYK",1,0,"VCS_70","a","VCS_170","b","VCS_250","c","VCS_330","d",1299,6149,"VCS_250","c"
"AK35CJJEYFVYK",1,1,"VCS_250","c","VCS_150","b","VCS_70","a","VCS_350","d",834,8001,"VCS_350","d"
"AK35CJJEYFVYK",1,2,"VCS_260","c","VCS_80","a","VCS_340","d","VCS_180","b",1434,10457,"VCS_80","a"
"AK35CJJEYFVYK",1,3,"VCS_260","c","VCS_360","d","VCS_80","a","VCS_160","b",1404,12875,"VCS_80","a"
"AK35CJJEYFVYK",1,4,"VCS_170","b","VCS_350","d","VCS_70","a","VCS_270","c",3262,17151,"VCS_70","a"
"AK35CJJEYFVYK",1,5,"VCS_340","d","VCS_70","a","VCS_250","c","VCS_160","b",979,19145,"VCS_70","a"
"AK35CJJEYFVYK",1,6,"VCS_80","a","VCS_260","c","VCS_170","b","VCS_350","d",2726,22895,"VCS_350","d"
"AK35CJJEYFVYK",1,7,"VCS_80","a","VCS_360","d","VCS_260","c","VCS_160","b",1056,24965,"VCS_360","d"
"AK35CJJEYFVYK",1,8,"VCS_70","a","VCS_250","c","VCS_150","b","VCS_350","d",1296,27266,"VCS_350","d"
"AK35CJJEYFVYK",1,9,"VCS_60","a","VCS_150","b","VCS_240","c","VCS_330","d",2105,30389,"VCS_330","d"
"AK35CJJEYFVYK",1,10,"VCS_360","d","VCS_270","c","VCS_90","a","VCS_180","b",2199,33601,"VCS_90","a"
"AK35CJJEYFVYK",1,11,"VCS_80","a","VCS_260","c","VCS_180","b","VCS_340","d",1809,36435,"VCS_340","d"
"AK35CJJEYFVYK",1,12,"VCS_350","d","VCS_170","b","VCS_260","c","VCS_80","a",1528,38993,"VCS_80","a"
"AK35CJJEYFVYK",1,13,"VCS_170","b","VCS_80","a","VCS_260","c","VCS_350","d",1680,41676,"VCS_80","a"
"AK35CJJEYFVYK",1,14,"VCS_70","a","VCS_340","d","VCS_250","c","VCS_160","b",2407,45103,"VCS_160","b"
"AK35CJJEYFVYK",1,15,"VCS_160","b","VCS_340","d","VCS_70","a","VCS_250","c",2653,48767,"VCS_250","c"
"AK35CJJEYFVYK",1,16,"VCS_260","c","VCS_350","d","VCS_80","a","VCS_170","b",752,50537,"VCS_170","b"
"AK35CJJEYFVYK",1,17,"VCS_240","c","VCS_330","d","VCS_150","b","VCS_60","a",1255,52796,"VCS_150","b"
"AK35CJJEYFVYK",1,18,"VCS_150","b","VCS_240","c","VCS_330","d","VCS_60","a",1731,55540,"VCS_240","c"
"AK35CJJEYFVYK",1,19,"VCS_90","a","VCS_180","b","VCS_270","c","VCS_360","d",2392,58943,"VCS_360","d"
"AK35CJJEYFVYK",1,20,"VCS_350","d","VCS_170","b","VCS_250","c","VCS_90","a",1914,61864,"VCS_90","a"
"AK35CJJEYFVYK",1,21,"VCS_160","b","VCS_240","c","VCS_80","a","VCS_340","d",1063,63948,"VCS_240","c"
"AK35CJJEYFVYK",1,22,"VCS_170","b","VCS_350","d","VCS_250","c","VCS_90","a",1194,66152,"VCS_250","c"
"AK35CJJEYFVYK",1,23,"VCS_330","d","VCS_60","a","VCS_240","c","VCS_150","b",640,67812,"VCS_60","a"
"AK35CJJEYFVYK",1,24,"VCS_340","d","VCS_60","a","VCS_160","b","VCS_260","c",913,69743,"VCS_60","a"
"AK35CJJEYFVYK",1,25,"VCS_270","c","VCS_360","d","VCS_90","a","VCS_180","b",1593,72353,"VCS_90","a"
"AK35CJJEYFVYK",1,26,"VCS_350","d","VCS_270","c","VCS_170","b","VCS_70","a",781,74157,"VCS_70","a"
"AK35CJJEYFVYK",1,27,"VCS_250","c","VCS_330","d","VCS_70","a","VCS_170","b",1697,76867,"VCS_170","b"
"AK35CJJEYFVYK",1,28,"VCS_340","d","VCS_160","b","VCS_240","c","VCS_80","a",1461,79337,"VCS_80","a"
"AK35CJJEYFVYK",1,29,"VCS_180","b","VCS_270","c","VCS_360","d","VCS_90","a",2280,82627,"VCS_270","c"
"AK35CJJEYFVYK",1,30,"VCS_250","c","VCS_340","d","VCS_160","b","VCS_70","a",890,84538,"VCS_160","b"
"AK35CJJEYFVYK",1,31,"VCS_160","b","VCS_60","a","VCS_340","d","VCS_260","c",777,86328,"VCS_260","c"
