subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"AKNYT1NTK2UFK",3,0,"VCS_260","c","VCS_360","d","VCS_80","a","VCS_160","b",2307,27962,"VCS_160","b"
"AKNYT1NTK2UFK",3,1,"VCS_340","d","VCS_260","c","VCS_160","b","VCS_60","a",1749,30740,"VCS_260","c"
"AKNYT1NTK2UFK",3,2,"VCS_350","d","VCS_70","a","VCS_270","c","VCS_170","b",3351,35115,"VCS_270","c"
"AKNYT1NTK2UFK",3,3,"VCS_80","a","VCS_260","c","VCS_350","d","VCS_170","b",1481,37619,"VCS_170","b"
"AKNYT1NTK2UFK",3,4,"VCS_70","a","VCS_250","c","VCS_330","d","VCS_170","b",1278,39915,"VCS_170","b"
"AKNYT1NTK2UFK",3,5,"VCS_180","b","VCS_270","c","VCS_360","d","VCS_90","a",4416,45352,"VCS_270","c"
"AKNYT1NTK2UFK",3,6,"VCS_160","b","VCS_340","d","VCS_260","c","VCS_60","a",1461,47837,"VCS_260","c"
"AKNYT1NTK2UFK",3,7,"VCS_260","c","VCS_80","a","VCS_340","d","VCS_180","b",1570,50433,"VCS_340","d"
"AKNYT1NTK2UFK",3,8,"VCS_350","d","VCS_170","b","VCS_260","c","VCS_80","a",923,52382,"VCS_260","c"
"AKNYT1NTK2UFK",3,9,"VCS_330","d","VCS_150","b","VCS_60","a","VCS_240","c",2485,55886,"VCS_240","c"
"AKNYT1NTK2UFK",3,10,"VCS_350","d","VCS_170","b","VCS_250","c","VCS_90","a",1220,58134,"VCS_250","c"
"AKNYT1NTK2UFK",3,11,"VCS_160","b","VCS_340","d","VCS_250","c","VCS_70","a",1001,60151,"VCS_250","c"
"AKNYT1NTK2UFK",3,12,"VCS_80","a","VCS_260","c","VCS_340","d","VCS_180","b",2981,64145,"VCS_180","b"
"AKNYT1NTK2UFK",3,13,"VCS_150","b","VCS_240","c","VCS_60","a","VCS_330","d",1921,67098,"VCS_60","a"
"AKNYT1NTK2UFK",3,14,"VCS_240","c","VCS_60","a","VCS_150","b","VCS_330","d",1499,69623,"VCS_150","b"
"AKNYT1NTK2UFK",3,15,"VCS_340","d","VCS_70","a","VCS_250","c","VCS_160","b",1304,71949,"VCS_250","c"
"AKNYT1NTK2UFK",3,16,"VCS_250","c","VCS_70","a","VCS_350","d","VCS_150","b",2312,75293,"VCS_150","b"
"AKNYT1NTK2UFK",3,17,"VCS_260","c","VCS_170","b","VCS_80","a","VCS_350","d",2904,79214,"VCS_170","b"
"AKNYT1NTK2UFK",3,18,"VCS_170","b","VCS_70","a","VCS_350","d","VCS_270","c",5169,85400,"VCS_270","c"
"AKNYT1NTK2UFK",3,19,"VCS_360","d","VCS_180","b","VCS_90","a","VCS_270","c",1589,88020,"VCS_270","c"
"AKNYT1NTK2UFK",3,20,"VCS_270","c","VCS_360","d","VCS_180","b","VCS_90","a",1177,90219,"VCS_180","b"
"AKNYT1NTK2UFK",3,21,"VCS_340","d","VCS_240","c","VCS_160","b","VCS_80","a",1978,93215,"VCS_80","a"
"AKNYT1NTK2UFK",3,22,"VCS_90","a","VCS_180","b","VCS_270","c","VCS_360","d",2151,96387,"VCS_180","b"
"AKNYT1NTK2UFK",3,23,"VCS_70","a","VCS_160","b","VCS_250","c","VCS_340","d",2010,99420,"VCS_160","b"
"AKNYT1NTK2UFK",3,24,"VCS_160","b","VCS_240","c","VCS_340","d","VCS_80","a",3492,103932,"VCS_240","c"
"AKNYT1NTK2UFK",3,25,"VCS_80","a","VCS_360","d","VCS_160","b","VCS_260","c",1568,106532,"VCS_160","b"
"AKNYT1NTK2UFK",3,26,"VCS_170","b","VCS_350","d","VCS_250","c","VCS_90","a",3057,110609,"VCS_90","a"
"AKNYT1NTK2UFK",3,27,"VCS_250","c","VCS_340","d","VCS_160","b","VCS_70","a",1477,113110,"VCS_160","b"
"AKNYT1NTK2UFK",3,28,"VCS_170","b","VCS_80","a","VCS_350","d","VCS_260","c",832,114965,"VCS_260","c"
"AKNYT1NTK2UFK",3,29,"VCS_250","c","VCS_70","a","VCS_170","b","VCS_330","d",1266,117261,"VCS_170","b"
"AKNYT1NTK2UFK",3,30,"VCS_70","a","VCS_150","b","VCS_350","d","VCS_250","c",2105,120390,"VCS_150","b"
"AKNYT1NTK2UFK",3,31,"VCS_60","a","VCS_150","b","VCS_240","c","VCS_330","d",2634,124053,"VCS_150","b"
