subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"AN4TEA6EBEB2V",3,0,"VCS_260","c","VCS_80","a","VCS_180","b","VCS_340","d",8929,35900,"VCS_340","d"
"AN4TEA6EBEB2V",3,1,"VCS_160","b","VCS_260","c","VCS_340","d","VCS_60","a",6631,43565,"VCS_60","a"
"AN4TEA6EBEB2V",3,2,"VCS_180","b","VCS_270","c","VCS_360","d","VCS_90","a",4258,48843,"VCS_90","a"
"AN4TEA6EBEB2V",3,3,"VCS_160","b","VCS_80","a","VCS_340","d","VCS_240","c",3685,53555,"VCS_80","a"
"AN4TEA6EBEB2V",3,4,"VCS_340","d","VCS_250","c","VCS_70","a","VCS_160","b",4344,58913,"VCS_70","a"
"AN4TEA6EBEB2V",3,5,"VCS_330","d","VCS_240","c","VCS_60","a","VCS_150","b",6958,66885,"VCS_60","a"
"AN4TEA6EBEB2V",3,6,"VCS_250","c","VCS_70","a","VCS_330","d","VCS_170","b",5020,72915,"VCS_170","b"
"AN4TEA6EBEB2V",3,7,"VCS_250","c","VCS_340","d","VCS_70","a","VCS_160","b",3998,77931,"VCS_160","b"
"AN4TEA6EBEB2V",3,8,"VCS_170","b","VCS_80","a","VCS_350","d","VCS_260","c",5420,84375,"VCS_260","c"
"AN4TEA6EBEB2V",3,9,"VCS_250","c","VCS_150","b","VCS_70","a","VCS_350","d",4039,89433,"VCS_70","a"
"AN4TEA6EBEB2V",3,10,"VCS_60","a","VCS_330","d","VCS_240","c","VCS_150","b",12875,103333,"VCS_150","b"
"AN4TEA6EBEB2V",3,11,"VCS_80","a","VCS_350","d","VCS_170","b","VCS_260","c",6801,111166,"VCS_170","b"
"AN4TEA6EBEB2V",3,12,"VCS_260","c","VCS_160","b","VCS_80","a","VCS_360","d",5847,118032,"VCS_360","d"
"AN4TEA6EBEB2V",3,13,"VCS_350","d","VCS_90","a","VCS_170","b","VCS_250","c",4775,123835,"VCS_250","c"
"AN4TEA6EBEB2V",3,14,"VCS_350","d","VCS_170","b","VCS_70","a","VCS_270","c",4720,129579,"VCS_270","c"
"AN4TEA6EBEB2V",3,15,"VCS_170","b","VCS_270","c","VCS_70","a","VCS_350","d",5517,136110,"VCS_70","a"
"AN4TEA6EBEB2V",3,16,"VCS_350","d","VCS_260","c","VCS_80","a","VCS_170","b",13460,150597,"VCS_260","c"
"AN4TEA6EBEB2V",3,17,"VCS_340","d","VCS_260","c","VCS_160","b","VCS_60","a",3470,155097,"VCS_260","c"
"AN4TEA6EBEB2V",3,18,"VCS_270","c","VCS_360","d","VCS_180","b","VCS_90","a",4087,160203,"VCS_360","d"
"AN4TEA6EBEB2V",3,19,"VCS_90","a","VCS_180","b","VCS_270","c","VCS_360","d",9278,170503,"VCS_180","b"
"AN4TEA6EBEB2V",3,20,"VCS_80","a","VCS_340","d","VCS_180","b","VCS_260","c",14177,185701,"VCS_180","b"
"AN4TEA6EBEB2V",3,21,"VCS_70","a","VCS_330","d","VCS_250","c","VCS_170","b",4453,191185,"VCS_170","b"
"AN4TEA6EBEB2V",3,22,"VCS_240","c","VCS_330","d","VCS_60","a","VCS_150","b",4853,197053,"VCS_330","d"
"AN4TEA6EBEB2V",3,23,"VCS_70","a","VCS_250","c","VCS_340","d","VCS_160","b",3394,201473,"VCS_160","b"
"AN4TEA6EBEB2V",3,24,"VCS_160","b","VCS_70","a","VCS_250","c","VCS_340","d",6780,209273,"VCS_70","a"
"AN4TEA6EBEB2V",3,25,"VCS_360","d","VCS_270","c","VCS_90","a","VCS_180","b",2689,212983,"VCS_270","c"
"AN4TEA6EBEB2V",3,26,"VCS_260","c","VCS_350","d","VCS_170","b","VCS_80","a",2285,216285,"VCS_350","d"
"AN4TEA6EBEB2V",3,27,"VCS_340","d","VCS_160","b","VCS_80","a","VCS_240","c",2825,220129,"VCS_240","c"
"AN4TEA6EBEB2V",3,28,"VCS_170","b","VCS_90","a","VCS_350","d","VCS_250","c",2882,224037,"VCS_90","a"
"AN4TEA6EBEB2V",3,29,"VCS_150","b","VCS_330","d","VCS_240","c","VCS_60","a",3510,228575,"VCS_60","a"
"AN4TEA6EBEB2V",3,30,"VCS_80","a","VCS_160","b","VCS_360","d","VCS_260","c",3824,233421,"VCS_160","b"
"AN4TEA6EBEB2V",3,31,"VCS_70","a","VCS_250","c","VCS_350","d","VCS_150","b",3332,237777,"VCS_150","b"
