subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"AR1IWBDA7MC86",1,0,"VCS_350","d","VCS_270","c","VCS_170","b","VCS_70","a",2276,33277,"VCS_270","c"
"AR1IWBDA7MC86",1,1,"VCS_70","a","VCS_250","c","VCS_350","d","VCS_150","b",1895,36185,"VCS_150","b"
"AR1IWBDA7MC86",1,2,"VCS_180","b","VCS_90","a","VCS_270","c","VCS_360","d",1421,38627,"VCS_90","a"
"AR1IWBDA7MC86",1,3,"VCS_250","c","VCS_170","b","VCS_70","a","VCS_330","d",3199,42835,"VCS_170","b"
"AR1IWBDA7MC86",1,4,"VCS_340","d","VCS_160","b","VCS_240","c","VCS_80","a",1557,45407,"VCS_240","c"
"AR1IWBDA7MC86",1,5,"VCS_80","a","VCS_360","d","VCS_160","b","VCS_260","c",1643,48062,"VCS_160","b"
"AR1IWBDA7MC86",1,6,"VCS_250","c","VCS_70","a","VCS_350","d","VCS_150","b",2586,51671,"VCS_350","d"
"AR1IWBDA7MC86",1,7,"VCS_350","d","VCS_170","b","VCS_80","a","VCS_260","c",1501,54184,"VCS_80","a"
"AR1IWBDA7MC86",1,8,"VCS_160","b","VCS_70","a","VCS_340","d","VCS_250","c",2756,57961,"VCS_70","a"
"AR1IWBDA7MC86",1,9,"VCS_90","a","VCS_270","c","VCS_180","b","VCS_360","d",1699,60676,"VCS_180","b"
"AR1IWBDA7MC86",1,10,"VCS_170","b","VCS_250","c","VCS_90","a","VCS_350","d",2920,64622,"VCS_90","a"
"AR1IWBDA7MC86",1,11,"VCS_350","d","VCS_90","a","VCS_170","b","VCS_250","c",2160,67798,"VCS_250","c"
"AR1IWBDA7MC86",1,12,"VCS_160","b","VCS_340","d","VCS_260","c","VCS_60","a",2459,71283,"VCS_60","a"
"AR1IWBDA7MC86",1,13,"VCS_360","d","VCS_90","a","VCS_180","b","VCS_270","c",2597,74906,"VCS_270","c"
"AR1IWBDA7MC86",1,14,"VCS_260","c","VCS_160","b","VCS_360","d","VCS_80","a",3787,79710,"VCS_160","b"
"AR1IWBDA7MC86",1,15,"VCS_160","b","VCS_80","a","VCS_340","d","VCS_240","c",2110,82840,"VCS_80","a"
"AR1IWBDA7MC86",1,16,"VCS_340","d","VCS_60","a","VCS_160","b","VCS_260","c",1150,84994,"VCS_60","a"
"AR1IWBDA7MC86",1,17,"VCS_80","a","VCS_350","d","VCS_170","b","VCS_260","c",2871,88871,"VCS_170","b"
"AR1IWBDA7MC86",1,18,"VCS_70","a","VCS_170","b","VCS_330","d","VCS_250","c",1086,90965,"VCS_170","b"
"AR1IWBDA7MC86",1,19,"VCS_70","a","VCS_340","d","VCS_250","c","VCS_160","b",1560,93532,"VCS_160","b"
"AR1IWBDA7MC86",1,20,"VCS_170","b","VCS_270","c","VCS_70","a","VCS_350","d",2743,97293,"VCS_70","a"
"AR1IWBDA7MC86",1,21,"VCS_240","c","VCS_330","d","VCS_60","a","VCS_150","b",1940,100260,"VCS_150","b"
"AR1IWBDA7MC86",1,22,"VCS_260","c","VCS_350","d","VCS_170","b","VCS_80","a",1619,102909,"VCS_170","b"
"AR1IWBDA7MC86",1,23,"VCS_170","b","VCS_80","a","VCS_350","d","VCS_260","c",1595,105534,"VCS_80","a"
"AR1IWBDA7MC86",1,24,"VCS_260","c","VCS_80","a","VCS_340","d","VCS_180","b",3837,110387,"VCS_80","a"
"AR1IWBDA7MC86",1,25,"VCS_270","c","VCS_360","d","VCS_90","a","VCS_180","b",1523,112917,"VCS_180","b"
"AR1IWBDA7MC86",1,26,"VCS_80","a","VCS_340","d","VCS_260","c","VCS_180","b",2480,116424,"VCS_180","b"
"AR1IWBDA7MC86",1,27,"VCS_60","a","VCS_330","d","VCS_240","c","VCS_150","b",1389,118830,"VCS_150","b"
"AR1IWBDA7MC86",1,28,"VCS_150","b","VCS_330","d","VCS_60","a","VCS_240","c",3200,123049,"VCS_60","a"
"AR1IWBDA7MC86",1,29,"VCS_340","d","VCS_160","b","VCS_250","c","VCS_70","a",1155,125207,"VCS_250","c"
"AR1IWBDA7MC86",1,30,"VCS_330","d","VCS_60","a","VCS_240","c","VCS_150","b",1932,128164,"VCS_240","c"
"AR1IWBDA7MC86",1,31,"VCS_250","c","VCS_340","d","VCS_160","b","VCS_70","a",2012,131198,"VCS_340","d"
