subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"ASF5V3K4IFP4K",2,0,"VCS_160","b","VCS_340","d","VCS_60","a","VCS_260","c",4788,16203,"VCS_260","c"
"ASF5V3K4IFP4K",2,1,"VCS_340","d","VCS_260","c","VCS_160","b","VCS_60","a",1747,18969,"VCS_60","a"
"ASF5V3K4IFP4K",2,2,"VCS_90","a","VCS_360","d","VCS_180","b","VCS_270","c",5056,25043,"VCS_270","c"
"ASF5V3K4IFP4K",2,3,"VCS_180","b","VCS_270","c","VCS_360","d","VCS_90","a",1264,27335,"VCS_270","c"
"ASF5V3K4IFP4K",2,4,"VCS_80","a","VCS_340","d","VCS_180","b","VCS_260","c",3522,31882,"VCS_180","b"
"ASF5V3K4IFP4K",2,5,"VCS_260","c","VCS_350","d","VCS_170","b","VCS_80","a",1966,34882,"VCS_170","b"
"ASF5V3K4IFP4K",2,6,"VCS_70","a","VCS_250","c","VCS_330","d","VCS_170","b",3416,39317,"VCS_170","b"
"ASF5V3K4IFP4K",2,7,"VCS_70","a","VCS_250","c","VCS_340","d","VCS_160","b",2747,43069,"VCS_250","c"
"ASF5V3K4IFP4K",2,8,"VCS_250","c","VCS_330","d","VCS_170","b","VCS_70","a",2491,46584,"VCS_330","d"
"ASF5V3K4IFP4K",2,9,"VCS_350","d","VCS_80","a","VCS_170","b","VCS_260","c",1772,49360,"VCS_260","c"
"ASF5V3K4IFP4K",2,10,"VCS_250","c","VCS_160","b","VCS_340","d","VCS_70","a",3146,53531,"VCS_70","a"
"ASF5V3K4IFP4K",2,11,"VCS_360","d","VCS_180","b","VCS_90","a","VCS_270","c",1972,56519,"VCS_270","c"
"ASF5V3K4IFP4K",2,12,"VCS_80","a","VCS_350","d","VCS_170","b","VCS_260","c",1784,59310,"VCS_170","b"
"ASF5V3K4IFP4K",2,13,"VCS_340","d","VCS_160","b","VCS_80","a","VCS_240","c",2369,62689,"VCS_80","a"
"ASF5V3K4IFP4K",2,14,"VCS_250","c","VCS_350","d","VCS_70","a","VCS_150","b",1298,65003,"VCS_70","a"
"ASF5V3K4IFP4K",2,15,"VCS_240","c","VCS_150","b","VCS_330","d","VCS_60","a",1694,67728,"VCS_330","d"
"ASF5V3K4IFP4K",2,16,"VCS_350","d","VCS_170","b","VCS_270","c","VCS_70","a",1361,70099,"VCS_270","c"
"ASF5V3K4IFP4K",2,17,"VCS_350","d","VCS_250","c","VCS_170","b","VCS_90","a",1548,72679,"VCS_90","a"
"ASF5V3K4IFP4K",2,18,"VCS_160","b","VCS_340","d","VCS_250","c","VCS_70","a",1828,75520,"VCS_70","a"
"ASF5V3K4IFP4K",2,19,"VCS_70","a","VCS_350","d","VCS_150","b","VCS_250","c",1442,77996,"VCS_150","b"
"ASF5V3K4IFP4K",2,20,"VCS_170","b","VCS_90","a","VCS_250","c","VCS_350","d",1228,80248,"VCS_250","c"
"ASF5V3K4IFP4K",2,21,"VCS_260","c","VCS_80","a","VCS_160","b","VCS_360","d",2008,83277,"VCS_360","d"
"ASF5V3K4IFP4K",2,22,"VCS_170","b","VCS_260","c","VCS_80","a","VCS_350","d",1229,85520,"VCS_260","c"
"ASF5V3K4IFP4K",2,23,"VCS_160","b","VCS_240","c","VCS_80","a","VCS_340","d",2014,88544,"VCS_80","a"
"ASF5V3K4IFP4K",2,24,"VCS_260","c","VCS_180","b","VCS_80","a","VCS_340","d",1177,90725,"VCS_340","d"
"ASF5V3K4IFP4K",2,25,"VCS_150","b","VCS_240","c","VCS_60","a","VCS_330","d",1923,93654,"VCS_60","a"
"ASF5V3K4IFP4K",2,26,"VCS_170","b","VCS_70","a","VCS_350","d","VCS_270","c",2021,96690,"VCS_270","c"
"ASF5V3K4IFP4K",2,27,"VCS_330","d","VCS_240","c","VCS_150","b","VCS_60","a",1305,99013,"VCS_60","a"
"ASF5V3K4IFP4K",2,28,"VCS_270","c","VCS_90","a","VCS_360","d","VCS_180","b",1272,101314,"VCS_360","d"
"ASF5V3K4IFP4K",2,29,"VCS_80","a","VCS_260","c","VCS_360","d","VCS_160","b",3282,105611,"VCS_160","b"
"ASF5V3K4IFP4K",2,30,"VCS_340","d","VCS_160","b","VCS_70","a","VCS_250","c",1250,107880,"VCS_70","a"
"ASF5V3K4IFP4K",2,31,"VCS_60","a","VCS_150","b","VCS_330","d","VCS_240","c",1920,110818,"VCS_330","d"
