subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"AU849EHZNGV2Z",1,0,"VCS_240","c","VCS_330","d","VCS_150","b","VCS_60","a",2908,32413,"VCS_330","d"
"AU849EHZNGV2Z",1,1,"VCS_260","c","VCS_340","d","VCS_80","a","VCS_180","b",1308,34725,"VCS_340","d"
"AU849EHZNGV2Z",1,2,"VCS_70","a","VCS_330","d","VCS_170","b","VCS_250","c",2304,38037,"VCS_170","b"
"AU849EHZNGV2Z",1,3,"VCS_170","b","VCS_350","d","VCS_270","c","VCS_70","a",3414,42461,"VCS_270","c"
"AU849EHZNGV2Z",1,4,"VCS_160","b","VCS_60","a","VCS_340","d","VCS_260","c",2256,45725,"VCS_260","c"
"AU849EHZNGV2Z",1,5,"VCS_80","a","VCS_260","c","VCS_340","d","VCS_180","b",2072,48805,"VCS_340","d"
"AU849EHZNGV2Z",1,6,"VCS_260","c","VCS_350","d","VCS_80","a","VCS_170","b",929,50741,"VCS_350","d"
"AU849EHZNGV2Z",1,7,"VCS_80","a","VCS_350","d","VCS_170","b","VCS_260","c",1451,53197,"VCS_260","c"
"AU849EHZNGV2Z",1,8,"VCS_60","a","VCS_150","b","VCS_330","d","VCS_240","c",1040,55245,"VCS_330","d"
"AU849EHZNGV2Z",1,9,"VCS_350","d","VCS_170","b","VCS_270","c","VCS_70","a",1433,57685,"VCS_270","c"
"AU849EHZNGV2Z",1,10,"VCS_330","d","VCS_240","c","VCS_150","b","VCS_60","a",1384,60077,"VCS_60","a"
"AU849EHZNGV2Z",1,11,"VCS_250","c","VCS_70","a","VCS_340","d","VCS_160","b",1107,62189,"VCS_340","d"
"AU849EHZNGV2Z",1,12,"VCS_160","b","VCS_340","d","VCS_250","c","VCS_70","a",1628,64821,"VCS_250","c"
"AU849EHZNGV2Z",1,13,"VCS_150","b","VCS_60","a","VCS_240","c","VCS_330","d",2753,68581,"VCS_60","a"
"AU849EHZNGV2Z",1,14,"VCS_160","b","VCS_340","d","VCS_80","a","VCS_240","c",2119,71709,"VCS_80","a"
"AU849EHZNGV2Z",1,15,"VCS_250","c","VCS_350","d","VCS_150","b","VCS_70","a",1032,73749,"VCS_350","d"
"AU849EHZNGV2Z",1,16,"VCS_260","c","VCS_360","d","VCS_160","b","VCS_80","a",962,75717,"VCS_360","d"
"AU849EHZNGV2Z",1,17,"VCS_340","d","VCS_160","b","VCS_260","c","VCS_60","a",773,77493,"VCS_260","c"
"AU849EHZNGV2Z",1,18,"VCS_70","a","VCS_350","d","VCS_150","b","VCS_250","c",3171,81669,"VCS_350","d"
"AU849EHZNGV2Z",1,19,"VCS_170","b","VCS_250","c","VCS_350","d","VCS_90","a",2553,85229,"VCS_250","c"
"AU849EHZNGV2Z",1,20,"VCS_250","c","VCS_170","b","VCS_70","a","VCS_330","d",972,87205,"VCS_330","d"
"AU849EHZNGV2Z",1,21,"VCS_340","d","VCS_250","c","VCS_70","a","VCS_160","b",843,89053,"VCS_70","a"
"AU849EHZNGV2Z",1,22,"VCS_340","d","VCS_160","b","VCS_80","a","VCS_240","c",650,90725,"VCS_80","a"
"AU849EHZNGV2Z",1,23,"VCS_360","d","VCS_180","b","VCS_270","c","VCS_90","a",711,92445,"VCS_270","c"
"AU849EHZNGV2Z",1,24,"VCS_70","a","VCS_340","d","VCS_160","b","VCS_250","c",2201,95653,"VCS_340","d"
"AU849EHZNGV2Z",1,25,"VCS_90","a","VCS_270","c","VCS_180","b","VCS_360","d",3138,99797,"VCS_360","d"
"AU849EHZNGV2Z",1,26,"VCS_350","d","VCS_90","a","VCS_170","b","VCS_250","c",1992,102797,"VCS_250","c"
"AU849EHZNGV2Z",1,27,"VCS_80","a","VCS_160","b","VCS_260","c","VCS_360","d",3553,107357,"VCS_360","d"
"AU849EHZNGV2Z",1,28,"VCS_350","d","VCS_80","a","VCS_260","c","VCS_170","b",744,109109,"VCS_260","c"
"AU849EHZNGV2Z",1,29,"VCS_180","b","VCS_270","c","VCS_90","a","VCS_360","d",3725,113837,"VCS_270","c"
"AU849EHZNGV2Z",1,30,"VCS_170","b","VCS_260","c","VCS_80","a","VCS_350","d",1503,116349,"VCS_260","c"
"AU849EHZNGV2Z",1,31,"VCS_270","c","VCS_180","b","VCS_360","d","VCS_90","a",1352,118709,"VCS_360","d"
