subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"AURYD2FH3FUOQ",3,0,"VCS_170","b","VCS_270","c","VCS_70","a","VCS_350","d",6698,64777,"VCS_70","a"
"AURYD2FH3FUOQ",3,1,"VCS_60","a","VCS_240","c","VCS_330","d","VCS_150","b",1968,67769,"VCS_240","c"
"AURYD2FH3FUOQ",3,2,"VCS_90","a","VCS_270","c","VCS_180","b","VCS_360","d",2017,70813,"VCS_180","b"
"AURYD2FH3FUOQ",3,3,"VCS_340","d","VCS_60","a","VCS_260","c","VCS_160","b",2637,74477,"VCS_260","c"
"AURYD2FH3FUOQ",3,4,"VCS_350","d","VCS_250","c","VCS_170","b","VCS_90","a",1404,76897,"VCS_250","c"
"AURYD2FH3FUOQ",3,5,"VCS_260","c","VCS_80","a","VCS_180","b","VCS_340","d",1501,79431,"VCS_340","d"
"AURYD2FH3FUOQ",3,6,"VCS_70","a","VCS_330","d","VCS_170","b","VCS_250","c",2558,83008,"VCS_330","d"
"AURYD2FH3FUOQ",3,7,"VCS_80","a","VCS_170","b","VCS_260","c","VCS_350","d",3205,87233,"VCS_170","b"
"AURYD2FH3FUOQ",3,8,"VCS_340","d","VCS_80","a","VCS_240","c","VCS_160","b",2474,90728,"VCS_240","c"
"AURYD2FH3FUOQ",3,9,"VCS_250","c","VCS_70","a","VCS_170","b","VCS_330","d",2144,93885,"VCS_330","d"
"AURYD2FH3FUOQ",3,10,"VCS_180","b","VCS_270","c","VCS_90","a","VCS_360","d",3339,98246,"VCS_90","a"
"AURYD2FH3FUOQ",3,11,"VCS_160","b","VCS_340","d","VCS_80","a","VCS_240","c",1564,100827,"VCS_80","a"
"AURYD2FH3FUOQ",3,12,"VCS_350","d","VCS_170","b","VCS_270","c","VCS_70","a",1234,103072,"VCS_270","c"
"AURYD2FH3FUOQ",3,13,"VCS_170","b","VCS_260","c","VCS_350","d","VCS_80","a",1634,105712,"VCS_260","c"
"AURYD2FH3FUOQ",3,14,"VCS_160","b","VCS_70","a","VCS_340","d","VCS_250","c",1727,108504,"VCS_70","a"
"AURYD2FH3FUOQ",3,15,"VCS_70","a","VCS_150","b","VCS_250","c","VCS_350","d",1539,111059,"VCS_150","b"
"AURYD2FH3FUOQ",3,16,"VCS_350","d","VCS_260","c","VCS_80","a","VCS_170","b",1269,113345,"VCS_80","a"
"AURYD2FH3FUOQ",3,17,"VCS_250","c","VCS_160","b","VCS_70","a","VCS_340","d",1826,116184,"VCS_340","d"
"AURYD2FH3FUOQ",3,18,"VCS_160","b","VCS_60","a","VCS_260","c","VCS_340","d",2046,119238,"VCS_60","a"
"AURYD2FH3FUOQ",3,19,"VCS_80","a","VCS_160","b","VCS_360","d","VCS_260","c",2870,123124,"VCS_160","b"
"AURYD2FH3FUOQ",3,20,"VCS_80","a","VCS_260","c","VCS_340","d","VCS_180","b",1465,125598,"VCS_180","b"
"AURYD2FH3FUOQ",3,21,"VCS_260","c","VCS_80","a","VCS_170","b","VCS_350","d",1403,128010,"VCS_350","d"
"AURYD2FH3FUOQ",3,22,"VCS_260","c","VCS_80","a","VCS_160","b","VCS_360","d",1391,130418,"VCS_360","d"
"AURYD2FH3FUOQ",3,23,"VCS_330","d","VCS_240","c","VCS_150","b","VCS_60","a",1949,133376,"VCS_240","c"
"AURYD2FH3FUOQ",3,24,"VCS_170","b","VCS_350","d","VCS_90","a","VCS_250","c",2144,136533,"VCS_90","a"
"AURYD2FH3FUOQ",3,25,"VCS_240","c","VCS_60","a","VCS_150","b","VCS_330","d",1979,139527,"VCS_330","d"
"AURYD2FH3FUOQ",3,26,"VCS_150","b","VCS_60","a","VCS_240","c","VCS_330","d",2649,143190,"VCS_60","a"
"AURYD2FH3FUOQ",3,27,"VCS_250","c","VCS_150","b","VCS_70","a","VCS_350","d",1958,146172,"VCS_350","d"
"AURYD2FH3FUOQ",3,28,"VCS_340","d","VCS_250","c","VCS_70","a","VCS_160","b",2547,149745,"VCS_250","c"
"AURYD2FH3FUOQ",3,29,"VCS_360","d","VCS_90","a","VCS_180","b","VCS_270","c",2549,153312,"VCS_270","c"
"AURYD2FH3FUOQ",3,30,"VCS_270","c","VCS_360","d","VCS_90","a","VCS_180","b",1585,155907,"VCS_360","d"
"AURYD2FH3FUOQ",3,31,"VCS_70","a","VCS_340","d","VCS_160","b","VCS_250","c",1583,158513,"VCS_160","b"
