subCode,condition,trial_num,top_stim,top_cat,left_stim,left_cat,middle_stim,middle_cat,right_stim,right_cat,rt,time_elapsed,response_stim,response_cat
"AXPZAP62ZYWP8",3,0,"VCS_270","c","VCS_360","d","VCS_180","b","VCS_90","a",2037,11072,"VCS_90","a"
"AXPZAP62ZYWP8",3,1,"VCS_250","c","VCS_340","d","VCS_160","b","VCS_70","a",1328,13417,"VCS_340","d"
"AXPZAP62ZYWP8",3,2,"VCS_340","d","VCS_240","c","VCS_80","a","VCS_160","b",715,15137,"VCS_80","a"
"AXPZAP62ZYWP8",3,3,"VCS_350","d","VCS_70","a","VCS_270","c","VCS_170","b",838,16993,"VCS_70","a"
"AXPZAP62ZYWP8",3,4,"VCS_80","a","VCS_160","b","VCS_360","d","VCS_260","c",1336,19336,"VCS_260","c"
"AXPZAP62ZYWP8",3,5,"VCS_70","a","VCS_250","c","VCS_160","b","VCS_340","d",1350,21701,"VCS_160","b"
"AXPZAP62ZYWP8",3,6,"VCS_260","c","VCS_340","d","VCS_180","b","VCS_80","a",887,23605,"VCS_340","d"
"AXPZAP62ZYWP8",3,7,"VCS_170","b","VCS_350","d","VCS_250","c","VCS_90","a",1607,26235,"VCS_90","a"
"AXPZAP62ZYWP8",3,8,"VCS_340","d","VCS_160","b","VCS_250","c","VCS_70","a",2125,29366,"VCS_250","c"
"AXPZAP62ZYWP8",3,9,"VCS_330","d","VCS_60","a","VCS_240","c","VCS_150","b",652,31033,"VCS_60","a"
"AXPZAP62ZYWP8",3,10,"VCS_340","d","VCS_60","a","VCS_160","b","VCS_260","c",1555,33594,"VCS_260","c"
"AXPZAP62ZYWP8",3,11,"VCS_260","c","VCS_350","d","VCS_170","b","VCS_80","a",2094,36701,"VCS_350","d"
"AXPZAP62ZYWP8",3,12,"VCS_150","b","VCS_60","a","VCS_240","c","VCS_330","d",1614,39332,"VCS_60","a"
"AXPZAP62ZYWP8",3,13,"VCS_160","b","VCS_250","c","VCS_70","a","VCS_340","d",4045,44388,"VCS_250","c"
"AXPZAP62ZYWP8",3,14,"VCS_170","b","VCS_350","d","VCS_270","c","VCS_70","a",1012,46418,"VCS_70","a"
"AXPZAP62ZYWP8",3,15,"VCS_350","d","VCS_260","c","VCS_170","b","VCS_80","a",853,48287,"VCS_260","c"
"AXPZAP62ZYWP8",3,16,"VCS_350","d","VCS_170","b","VCS_250","c","VCS_90","a",379,49693,"VCS_250","c"
"AXPZAP62ZYWP8",3,17,"VCS_240","c","VCS_330","d","VCS_150","b","VCS_60","a",905,51619,"VCS_330","d"
"AXPZAP62ZYWP8",3,18,"VCS_180","b","VCS_90","a","VCS_360","d","VCS_270","c",958,53592,"VCS_90","a"
"AXPZAP62ZYWP8",3,19,"VCS_260","c","VCS_80","a","VCS_160","b","VCS_360","d",1031,55648,"VCS_360","d"
"AXPZAP62ZYWP8",3,20,"VCS_160","b","VCS_240","c","VCS_80","a","VCS_340","d",648,57304,"VCS_80","a"
"AXPZAP62ZYWP8",3,21,"VCS_70","a","VCS_350","d","VCS_250","c","VCS_150","b",946,59264,"VCS_150","b"
"AXPZAP62ZYWP8",3,22,"VCS_80","a","VCS_260","c","VCS_350","d","VCS_170","b",786,61075,"VCS_170","b"
"AXPZAP62ZYWP8",3,23,"VCS_250","c","VCS_70","a","VCS_330","d","VCS_170","b",820,62907,"VCS_330","d"
"AXPZAP62ZYWP8",3,24,"VCS_170","b","VCS_80","a","VCS_260","c","VCS_350","d",1250,65169,"VCS_80","a"
"AXPZAP62ZYWP8",3,25,"VCS_250","c","VCS_350","d","VCS_150","b","VCS_70","a",616,66790,"VCS_70","a"
"AXPZAP62ZYWP8",3,26,"VCS_160","b","VCS_260","c","VCS_340","d","VCS_60","a",751,68551,"VCS_260","c"
"AXPZAP62ZYWP8",3,27,"VCS_90","a","VCS_270","c","VCS_360","d","VCS_180","b",1646,71210,"VCS_180","b"
"AXPZAP62ZYWP8",3,28,"VCS_80","a","VCS_180","b","VCS_340","d","VCS_260","c",1060,73278,"VCS_180","b"
"AXPZAP62ZYWP8",3,29,"VCS_60","a","VCS_240","c","VCS_150","b","VCS_330","d",895,75191,"VCS_150","b"
"AXPZAP62ZYWP8",3,30,"VCS_70","a","VCS_330","d","VCS_170","b","VCS_250","c",581,76790,"VCS_170","b"
"AXPZAP62ZYWP8",3,31,"VCS_360","d","VCS_270","c","VCS_90","a","VCS_180","b",586,78390,"VCS_270","c"
